"N","Q","S","P0","P1","P2","R1","R2","A1","A2","t"
200,8,40,159.982652036705,0,0,0,0,0,0,1
200,8,28,159.996960389772,0,0,6.28087894952641,8.55265786876716,3.99999999980124,2.46229444715823,2
200,8,6,160.011295228612,0.000131733798806471,0,8.20946825842832,9.62350497569062,8.00000000079743,8.66283582467379,3
200,8,0,160.025682642001,0.000359599473368399,0,10.0417804839623,10.6880417389,11.9999999986109,11.9078052689145,4
200,8,0,160.040135940362,0.000612315343978447,0,11.7218436340066,11.7421361198107,13.0000000010157,12.2090247943559,5
200,8,0,160.054618312629,0.000882118519452256,0,13.2089455538218,12.781856011756,14.9999999997417,12.8927510324846,6
200,8,0,160.069054271043,0.00114893916047472,0,14.4701019136506,13.8033674931687,14.9999999997417,13.0314606261507,7
200,8,0,160.083263742566,0.00135763911213448,0,15.4879798462829,14.803029450964,7.16526560763543,13.0314606261507,8
200,8,0,160.096996575958,0.00143024515911119,0,16.2529978124821,15.7773277700273,6.5180942087656,7.95712385980452,9
200,8,0,160.109826892452,0.00123251216004483,0,16.7709281223592,16.7230635186447,5.88580817546728,7.93623745680258,10
200,8,0,160.121248983024,0.000605838226004471,0,17.0551862846626,17.6371852357943,5.27792331119639,7.90620423212756,11
200,8,0,160.130568512559,0,0,17.1348591954563,18.5170596773314,4.70438219920104,7.86229375956274,12
200,8,0,160.136875117165,0,0,17.044648255555,19.3606963439911,4.17504573644567,7.80350354442749,13
200,8,0,160.139143714235,0,0,16.8199574122097,20.1664086975776,3.69902129496807,7.73035152778538,14
200,8,0,160.136070476712,0,0,16.497191029965,20.933151974133,3.28430231195905,7.64570946214074,15
200,8,0,160.126215583016,0,0,16.1115298222221,21.660213175799,2.93449821599574,7.552346676412,16
200,8,0,160.10787397792,0,0,15.6922594805137,22.3475645948786,2.64956570542995,7.45064003845779,17
200,8,0,160.079221076399,0,0,15.264903884044,22.9955274323377,2.42774171368061,7.3417597185889,18
200,8,0,160.038219407887,0,0,14.8458346845716,23.6051332336313,2.263111291045,7.22774132275363,19
200,8,0,159.982757157231,0,0,14.4497292592125,24.1776115259591,2.14795594817029,7.1125980205523,20
200,8,0,159.910652259231,0,0,14.0918626077457,24.7143559510251,2.07149492022477,7.00089799624663,21
200,8,0,159.819758496487,0,0.124333071998135,13.7809934873123,25.2171106742151,2.02169773467556,6.8974519290922,22
200,8,0,159.708035315835,0.0292315598795614,0.279736858648243,13.5216391691661,25.6877818428986,1.98459736366381,6.80600685344294,23
200,8,0,159.573807850065,0.0854967885441721,0.442205253628643,13.3084610058692,26.1285934043221,1.94597573116565,6.72551517581445,24
200,8,0,159.415689051464,0.167093736969792,0.612192666751333,13.1328158061874,26.5419063206721,1.89379267288874,6.65261482111949,25
200,8,0,159.233077464341,0.275285837416437,0.790143089691219,12.9826981223957,26.9303118140167,1.82122331147104,6.58407309631668,26
200,8,0,159.025995228064,0.407335943142064,0.976492857417614,12.845278069487,27.2964725188889,1.72441959473379,6.51836504950076,27
200,8,0,158.796173270213,0.547395313983047,1.17165809621458,12.7077902698189,27.6431064597986,1.6064585749676,6.45535372238956,28
200,8,0,158.545623611288,0.67837666116385,1.37604720521889,12.5584154660703,27.9728757170497,1.47281252638469,6.39874639005735,29
200,8,0,158.275773855269,0.791350094882895,1.59005788366342,12.3890543748422,28.2881632041461,1.3316095064143,6.35404356304372,30
200,8,0,157.987738595823,0.881988416435269,1.81408266970437,12.1939266518804,28.5911926553724,1.19141041196358,6.32925327989672,31
200,8,0,157.681652833906,0.956402803026758,2.04850512028795,11.9722708582233,28.8837910934597,1.05936492835433,6.32993103430473,32
200,8,0,157.356236792247,1.02400781520834,2.29371015903087,11.7225669911074,29.1675395077074,0.940444489462367,6.35948979721137,33
200,8,0,157.009682232595,1.09443831410451,2.55008197158339,11.4436574091712,29.4438600513942,0.838546068080075,6.416057170567,34
200,8,0,156.639314944822,1.17747032114171,2.81799793895895,11.1379814261273,29.7136961796275,0.755215937785641,6.49512541861509,35
200,8,0,156.242476510359,1.28057991117277,3.09782854519651,10.8093335178981,29.9777752754145,0.69094101817413,6.58693082376495,36
200,8,0,155.81743764875,1.40190221245382,3.38992349107392,10.4633318541735,30.2364391315314,0.644321512122283,6.68154443103762,37
200,8,0,155.363044083243,1.53575246994626,3.6946201636827,10.1068162727252,30.4898379578743,0.613259070235043,6.77363231773532,38
200,8,0,154.879512413808,1.67050734202922,4.01222747863017,9.74968958988773,30.7377412230493,0.594747850748467,6.85978324783239,39
200,8,0,154.367390566736,1.79661623419265,4.34304252821496,9.4013733486292,30.9798272509609,0.585752694898499,6.9408620132696,40
200,8,0,153.827204243824,1.91941902905438,4.68734101599816,9.06580151325531,31.2157845805955,0.584224721440805,7.02322858882648,41
200,8,0,153.259561141782,2.05045661139716,5.04538367215566,8.7436630035248,31.4452820019561,0.589096817828346,7.11346530090736,42
200,8,0,152.664952361785,2.20172652256477,5.4174281361631,8.43508021313796,31.6679639789928,0.599614313014178,7.21432262817895,43
200,8,0,152.043309235108,2.38440932173667,5.80372995264249,8.13990745810132,31.8834014610487,0.615488089346545,7.32638839749262,44
200,8,0,151.394779388849,2.60519132094256,6.20454100786366,7.85736747201982,32.0911643026885,0.636112461427488,7.44543167617612,45
200,8,0,150.720935403285,2.8535988257774,6.62010064954113,7.58442473658588,32.2908914939707,0.659149919479033,7.56492204963754,46
200,8,0,150.024037446638,3.11333530775901,7.05064072632072,7.31885198361236,32.4822049823274,0.681609604685327,7.67502553318436,47
200,8,0,149.307671085731,3.36197290853143,7.49637562912863,7.06391319730666,32.6645894091904,0.699619086459007,7.76911574230258,48
200,8,0,148.575341101227,3.57995213589773,7.95751687456843,6.82484196950554,32.8375035632458,0.709174971449279,7.8416370917073,49
200,8,0,147.828903730549,3.76531829217075,8.43428193967258,6.60925907016881,33.0004401281966,0.706967168701677,7.88701480081259,50
200,8,0,147.069303516474,3.92324426019661,8.92689378135664,6.42463507504165,33.1529507440132,0.691117344155283,7.89980604583788,51
200,8,0,146.295233493763,4.06972179830815,9.43559523024807,6.27454158504171,33.2948495200279,0.660739155447246,7.87511502552498,52
200,8,0,145.5038740477,4.2231224381973,9.96064876518348,6.15815913295636,33.4262432053311,0.617571900292883,7.80845386248844,53
200,8,0,144.692407078954,4.39925873877,10.502320984474,6.07323655599566,33.5473584901258,0.564209361874128,7.69786741364911,54
200,8,0,143.859033640366,4.60405397633484,11.0608793058957,6.0154399884455,33.6586596718203,0.504037625161206,7.54746394952014,55
200,8,0,143.002730865238,4.83683519020461,11.6365902439399,5.97988538946636,33.7607025931868,0.440614858725718,7.36409539622742,56
200,8,0,142.124561056542,5.08043375430629,12.2297158804945,5.96157072064115,33.854171671247,0.377155583713205,7.15979605699778,57
200,8,0,141.226104991942,5.31585174457151,12.8405195390204,5.95557594347186,33.9397975291334,0.315889609250401,6.94745738855758,58
200,8,0,140.308932178201,5.53326971033652,13.4692739418745,5.95742701671422,34.0183670401712,0.258612068015979,6.73821708453021,59
200,8,0,139.374100733374,5.72978402050226,14.1162602131069,5.96286007642994,34.0906819953521,0.206338107069472,6.54208570738211,60
200,8,0,138.420527688787,5.92191235742494,14.7817882030405,5.9680730946332,34.1575392372114,0.159767335568011,6.36631905805461,61
200,8,0,137.446194293549,6.13453963907823,15.4661918875492,5.96963121725934,34.2197029876837,0.11911719667825,6.21689844571973,62
200,8,0,136.449086446076,6.39260022252775,16.1698148212473,5.9642611702753,34.2779076710214,0.0844124975281083,6.09705573592094,63
200,8,0,135.427635853224,6.71748018680278,16.8930208001291,5.94906750384557,34.3328019964643,0.0553896670810375,6.00781204050789,64
200,8,0,134.381067842174,7.1216527159325,17.6361809109702,5.92139871850808,34.3849808994635,0.0316844483664817,5.94861160294769,65
200,8,0,133.311336412953,7.58548769198193,18.3996751622911,5.879201292097,34.4349099353276,0.0128095655150502,5.91421614548307,66
200,8,0,132.221391112868,8.07947348120013,19.1838873049018,5.82091103426953,34.4829806693332,0,5.8975437810795,67
200,8,0,131.115435005497,8.56667568853653,19.9892071370248,5.74632310467898,34.5294180867721,0,5.88882070681781,68
200,8,0,129.997506522934,9.01369570751991,20.8160306528643,5.65635522088507,34.5743523051304,0,5.87803006605816,69
200,8,0,128.869732055068,9.40870084729611,21.6647725831384,5.55505598207713,34.6177005506562,0,5.85711343933488,70
200,8,0,127.733135684675,9.75167510720573,22.5358563115499,5.44836798423141,34.6592754816971,0,5.81939727712201,71
200,8,0,126.586244679788,10.0687522203865,23.4297208535196,5.34556085992287,34.6987166020744,0,5.75986062459233,72
200,8,0,125.426963497897,10.3942866858076,24.346808218497,5.25254324242925,34.7357409738675,0,5.67913796102433,73
200,8,0,124.253261509663,10.7585585923759,25.287560989164,5.17332586596276,34.770124177021,0,5.58014899076423,74
200,8,0,123.063366252402,11.1737548342087,26.2524250159598,5.10880014415023,34.8017469595888,0,5.4692988843235,75
200,8,0,121.855817903926,11.640210198891,27.2418455027426,5.05877225720158,34.8305352970704,0,5.35387503505271,76
200,8,0,120.630149037367,12.1289442426682,28.256261799289,5.0218267722444,34.8564909066377,0,5.23968646703265,77
200,8,0,119.385885100795,12.6057492571449,29.2961070750905,4.99618030806471,34.8796487721006,0,5.12646588279875,78
200,8,0,118.121530646694,13.0448237066999,30.3617956325808,4.97979930316466,34.9001012021476,0,5.01161393478519,79
200,8,0,116.834875326176,13.4279400024891,31.453733085129,4.9706208109037,34.9179623089472,0,4.88929025286411,80
200,8,0,115.521882471429,13.7623235603415,32.5722992404792,4.9667820662286,34.9333812248,0,4.75362076600937,81
200,8,0,114.178105301081,14.0749257610374,33.7178302683774,4.9667236315114,34.9465350786302,0,4.6018376221637,82
200,8,0,112.799238345997,14.3960821836812,34.8906385543572,4.96905382553071,34.9576117473255,0,4.43335692141078,83
200,8,0,111.381491822046,14.7554116393065,36.0909810128005,4.97278182519455,34.9668215752619,0,4.25322435342927,84
200,8,0,109.921523615354,15.1739165247711,37.3190884349043,4.97709532657579,34.9743836250924,0,4.0683844578716,85
200,8,0,108.417266608055,15.6388503482992,38.575142590277,4.98149524427718,34.9805293650887,0,3.88759870345954,86
200,8,0,106.867200306053,16.1266466870169,39.8592959295244,4.9856148114674,34.9854952697334,0,3.7195244865661,87
200,8,0,105.270715714314,16.604208282292,41.1716326488286,4.9893033170489,34.9895254327334,0,3.57114309459954,88
200,8,0,103.627181749369,17.0410638804842,42.512200570702,4.99249538403402,34.9928669095667,0,3.44332690403295,89
200,8,0,101.934967474938,17.4267770836824,43.8809702774006,4.99525091614093,34.9957709835682,0,3.33483110285685,90
200,8,0,100.192199009404,17.7621862850662,45.2778752675068,4.9976735687641,34.9984902357516,0,3.24205103606658,91
200,8,0,98.3973272611959,18.0735949324093,46.7027601105787,4.9999191711229,35.001278372139,0,3.16171402280958,92
200,8,0,96.5499970309916,18.3951755344735,48.1553802642166,5.00216577523837,35.0043899880807,0.00474408340787921,3.09498746345108,93
200,8,0,94.6505380825966,18.7569602824198,49.635451589199,5.00458795349601,35.0080793746614,0.0136778740782379,3.04697005971343,94
200,8,0,92.7008331579483,19.1708171131767,51.1426028973635,5.00733656843738,35.0125989572874,0.0249642347181024,3.02311107616775,95
200,8,0,90.7031756133378,19.6367760885256,52.6764276076483,5.01053609862025,35.0181995411359,0.0388633154119467,3.0272526623241,96
200,8,0,88.6599482843394,20.1256800238928,54.2364646163337,5.01422919651109,35.0251273161449,0.0556125273909586,3.06160557917534,97
200,8,0,86.5735632835207,20.6032082933513,55.8222185683776,5.01839274843441,35.0336246571845,0.075370193980408,3.12346214870661,98
200,8,0,84.4464603521396,21.0435737519156,57.4331116261067,5.02282240223808,35.043923294092,0.0981723040313203,3.20893150590869,99
200,8,0,82.2804726037694,21.4286107510136,59.0685370724499,5.02722633687316,35.0562495755727,0.12396802132578,3.31469958417901,100
