"N","Q","S","P0","P1","P2","R1","R2","A1","A2","t"
200,8,40,159.954867828804,0,0,0,0,0,0,1
200,8,12,159.967626897806,0,0,9.00306170012978,7.0517194649863,8.99999999886513,4.06759499317382,2
200,8,2,159.980460398272,0,0,11.1532963769805,7.80418999935576,13.0000000002559,6.76514363677104,3
200,8,0,159.993490121629,0,0,13.1857368432065,8.55208777356252,15.0000000006453,8.76702526831107,4
200,8,0,160.006854417808,0.000114564232110473,0,15.0523023226022,9.29258706156649,16.9999999993036,9.66653224300763,5
200,8,0,160.020707093229,0.000376154481222782,0,16.7286025991522,10.0228349699628,17.0000000002945,9.12805328536578,6
200,8,0,160.035195789551,0.000743763767700302,0,18.1986239107798,10.7400597002943,17.0000000002945,7.30255644839584,7
200,8,0,160.050428032901,0.00122696230817636,0,19.4561677509717,11.4418410012592,6.91018476627811,5.26550338934591,8
200,8,0,160.066473275887,0.00181748560792598,0,20.4992077011445,12.1258746176607,6.52140257190517,3.72213685220822,9
200,8,0,160.083288792575,0.00244963715683153,0,21.3325904388699,12.7899687315655,6.14238766358654,3.50802974036509,10
200,8,0,160.100777094971,0.0030281881473056,0,21.9640468542496,13.4318853861594,5.77731258893877,4.93995276215838,11
200,8,0,160.118693962675,0.00337172760691032,0,22.4082206491989,14.0492126362233,5.42877935962894,7.24466775480938,12
200,8,0,160.136609007054,0.00318173030813053,0,22.6899176955159,14.6399563058744,5.0992085462661,9.1509036342111,13
200,8,0,160.153980472043,0.00210198013268102,0,22.836589562791,15.2025199651505,4.79186549117683,10.3698798665917,14
200,8,0,160.169980582636,0,0,22.8772743803924,15.7364061502402,4.51001639142989,11.2900904880022,15
200,8,0,160.18362563744,0,0,22.8383985237579,16.2416252996545,4.25571302211337,11.2900904880022,16
200,8,0,160.193594248471,0,0,22.7343547928261,16.7191204950429,4.02930454320037,3.49798808770693,17
200,8,0,160.198377323992,0,0,22.5752210548703,17.1701672132027,3.82971147510824,3.68680593629126,18
200,8,0,160.196052643849,0,0,22.3658490220027,17.5964378683833,3.6516320569591,3.89610130163023,19
200,8,0,160.184523744695,0,0,22.1112655151471,17.9996617889097,3.48928308125369,4.13094471930734,20
200,8,0,160.161344222781,0,0,21.8223330618748,18.3813905150132,3.33917783530253,4.38523670388471,21
200,8,0,160.123732329079,0,0,21.5110323023166,18.7430992388627,3.19924125030242,4.64767218706785,22
200,8,0,160.068774138385,0,0,21.1883505229757,19.0862589901972,3.07100011829634,4.89823008384642,23
200,8,0,159.993291404997,0,0,20.8616651308902,19.4123581768094,2.95782587195421,5.11822140636532,24
200,8,0,159.894040446936,0,0,20.5380357767095,19.7228430460328,2.86219421136121,5.29240916921935,25
200,8,0,159.767780157633,0.0440372120895351,0,20.2268609649948,20.0189738253099,2.78199078582053,5.41561922204646,26
200,8,0,159.611402098997,0.167204548883501,0,19.9374537072686,20.3019609065882,2.7132380011412,5.48675087102493,27
200,8,0,159.422325931465,0.349523524679127,0.0192941352934746,19.6764461889856,20.5730013597277,2.64909533993749,5.51073267961892,28
200,8,0,159.1983154466,0.597498925932654,0.194131656140285,19.4476521451743,20.833342952292,2.58253852710612,5.49324402374258,29
200,8,0,158.938179441073,0.904791344337489,0.381599146592773,19.2457753525724,21.0844461764446,2.50933445042318,5.4400625808344,30
200,8,0,158.641725134578,1.25187561097198,0.58238283715915,19.0613034133992,21.3278119993634,2.42843505296486,5.35816616975977,31
200,8,0,158.309031917806,1.61627735282135,0.797164312214465,18.883866230939,21.564909007315,2.34002892420686,5.25546746657283,32
200,8,0,157.940481548921,1.97436507321768,1.02661000480108,18.7017308433435,21.7970898161306,2.2465981570039,5.14241843465602,33
200,8,0,157.536403750712,2.30558061881861,1.27137632087398,18.5038876055525,22.0255935811136,2.15115739352909,5.03016072754696,34
200,8,0,157.096617736992,2.6028163332373,1.53209470937127,18.2835830047905,22.251321585889,2.05655796985013,4.9283290991036,35
200,8,0,156.620773629208,2.86663541523694,1.80938031592418,18.0365740221407,22.4749871525747,1.96556205909933,4.83970767961864,36
200,8,0,156.10835568832,3.11483398722547,2.10380802995328,17.764403481834,22.6968896289377,1.88073848877279,4.76396914383387,37
200,8,0,155.559114976654,3.36971421468375,2.41593257488557,17.4703912814151,22.9171782875631,1.80434116452304,4.69524583617561,38
200,8,0,154.973891374751,3.65013335079188,2.74626689933368,17.1596717409229,23.1357750969194,1.73735092618983,4.62598306412635,39
200,8,0,154.353256038773,3.95820181709982,3.09530838176565,16.8396776824678,23.3523915329217,1.67965513188037,4.54829460545095,40
200,8,0,153.697457355614,4.28924457405519,3.46354748239461,16.51903072126,23.5666534269451,1.6311347077618,4.45749743451838,41
200,8,0,153.006029625962,4.62838938148799,3.85145245661769,16.2091397553634,23.7780079431655,1.59247174853912,4.35129911127987,42
200,8,0,152.277914651389,4.95950868641065,4.25948125438036,15.9215109690467,23.9858793135775,1.56479797451373,4.23346438704635,43
200,8,0,151.510398323215,5.2716508851829,4.68807280863745,15.6652524085447,24.18977870865,1.55024243983488,4.10958085335161,44
200,8,0,150.700245104256,5.56036904986286,5.13764999679147,15.4465488904214,24.3893312718169,1.5511927200643,3.98647027126115,45
200,8,0,149.843789653559,5.84205900595484,5.60859049102629,15.2622904505936,24.5845310998983,1.56959436395545,3.87166357770898,46
200,8,0,148.937621067012,6.14131610113423,6.10124819336562,15.1064157372789,24.7754976807017,1.60548699377082,3.77366922424419,47
200,8,0,147.980266150706,6.49189134978874,6.615918008021,14.9702545154641,24.9624931956383,1.65734811395396,3.69889621859228,48
200,8,0,146.972574234807,6.91932592601262,7.1528458807878,14.8441164052735,25.145853310918,1.71932187211418,3.65185259423735,49
200,8,0,145.916192620198,7.43862966313217,7.7122625104889,14.7186108590423,25.3259123142398,1.78435611434109,3.63194256500711,50
200,8,0,144.813999854332,8.03388570550464,8.29437409761789,14.5859391102752,25.5029586470997,1.84494683747979,3.63575344280291,51
200,8,0,143.668861747968,8.68119017693522,8.89937792791178,14.4400878921908,25.6772140832422,1.89380401149276,3.65395133884808,52
200,8,0,142.482361918518,9.35561780798994,9.52746012641062,14.2805941556944,25.8486795716074,1.92567840832779,3.67663176683801,53
200,8,0,141.255899212451,10.0313402209359,10.1787937571002,14.108349929044,26.0172886910117,1.93857997644675,3.69537355467051,54
200,8,0,139.991415585815,10.6799379980835,10.8535108004461,13.9241173322233,26.1829263645811,1.93212882504138,3.70671843756889,55
200,8,0,138.691133398678,11.2781029531612,11.5517209093353,13.7282992070703,26.3454675395984,1.90945346513719,3.70978520421079,56
200,8,0,137.357969959411,11.8310105511219,12.2734741407015,13.5210348357983,26.5047571747319,1.87475877911731,3.70903794976591,57
200,8,0,135.995452970215,12.3713859907078,13.0187630181437,13.3063112782689,26.6604874530006,1.83304673296131,3.70981169201997,58
200,8,0,134.607159023975,12.9330336811032,13.7875630026643,13.0906309573607,26.8122656582831,1.78943446612342,3.71521657567984,59
200,8,0,133.196394509115,13.5322841308772,14.5798267815157,12.8863831692962,26.9595144416245,1.74870272835989,3.72644431324162,60
200,8,0,131.766267137163,14.1750973959605,15.3954986682188,12.7053649856472,27.1016943527597,1.71514667566962,3.74430268473436,61
200,8,0,130.319360116524,14.8434256223439,16.2345122551165,12.5511177060387,27.2386021690147,1.69123328985456,3.76951676852264,62
200,8,0,128.857684179476,15.5127536386084,17.0967949272161,12.4233680127096,27.370198792332,1.67813930092164,3.80389651504384,63
200,8,0,127.381484656904,16.1567049136349,17.9822599613608,12.3148398903013,27.4967653955265,1.67584843611737,3.85294082839186,64
200,8,0,125.890790425786,16.7444904735562,18.8908101132717,12.2153595559874,27.6187155475388,1.68046116710879,3.92032121495301,65
200,8,0,124.386513486839,17.2396809436888,19.8223073798331,12.1109680104109,27.7366568498324,1.68698531388929,4.00776018866696,66
200,8,0,122.869724889132,17.6424918884348,20.7765556337964,11.9897717841116,27.8511881078504,1.68994134533718,4.11211723888347,67
200,8,0,121.341259497616,17.9677039955328,21.7533375451165,11.8429750788229,27.9628318007002,1.68418168892436,4.22869210348978,68
200,8,0,119.80107328885,18.2477664041589,22.7524021026164,11.6709601580868,28.0718662265744,1.66702103511192,4.3514085391132,69
200,8,0,118.24872467263,18.5163449588333,23.773489094544,11.4773680874077,28.1785071991855,1.63881618073213,4.47432264370132,70
200,8,0,116.683060680098,18.7943038740139,24.8163351879812,11.2696970783302,28.2829647752411,1.60097535794455,4.59259074487357,71
