"P_nought","P_one","P_two","R_one","R_two","A_one","A_two","S","t","phi","p_onetwo","total_passive","lmbda","c","N","mu","p","k_one","k_two","Q","X"
122.85666,0,0,0,0,0.12659,0.12709,11.63788,1,0.10173,0.00396,122.85666,0.01194,4.6,134.74772,0.01065,0.08825,0.04913,0.02636,11,NA
122.85666,0,0,0.00622,0.00337,0.24384,0.24864,11.38997,2,0.10173,0.00396,122.85666,0.01194,4.6,134.74772,0.01065,0.08825,0.04913,0.02636,11,NA
122.85666,0,0,0.01817,0.01,0.35237,0.36486,11.14712,3,0.10173,0.00396,122.85666,0.01194,4.6,134.74772,0.01065,0.08825,0.04913,0.02636,11,NA
122.85666,0,0,0.03541,0.01976,0.45276,0.47594,10.90911,4,0.10173,0.00396,122.85666,0.01194,4.6,134.74772,0.01065,0.08825,0.04913,0.02636,11,NA
122.85666,0,0,0.05752,0.03253,0.54555,0.58208,10.67576,5,0.10173,0.00396,122.85666,0.01194,4.6,134.74772,0.01065,0.08825,0.04913,0.02636,11,NA
122.85666,0,0,0.08409,0.04821,0.63125,0.68346,10.44687,6,0.10173,0.00396,122.85666,0.01194,4.6,134.74772,0.01065,0.08825,0.04913,0.02636,11,NA
122.85666,0,0,0.11477,0.06668,0.71033,0.78027,10.22227,7,0.10173,0.00396,122.85666,0.01194,4.6,134.74772,0.01065,0.08825,0.04913,0.02636,11,NA
122.85666,0,0,0.14921,0.08784,0.78323,0.87268,10.00179,8,0.10173,0.00396,122.85666,0.01194,4.6,134.74772,0.01065,0.08825,0.04913,0.02636,11,NA
122.85666,0,0,0.1871,0.11158,0.85037,0.96085,9.78526,9,0.10173,0.00396,122.85666,0.01194,4.6,134.74772,0.01065,0.08825,0.04913,0.02636,11,NA
122.85666,0,0,0.22814,0.13781,0.91213,1.04495,9.57255,10,0.10173,0.00396,122.85666,0.01194,4.6,134.74772,0.01065,0.08825,0.04913,0.02636,11,NA
122.85666,0,0,0.27204,0.16644,0.96886,1.12513,9.36349,11,0.10173,0.00396,122.85666,0.01194,4.6,134.74772,0.01065,0.08825,0.04913,0.02636,11,NA
122.85666,0,0,0.31857,0.19735,1.02092,1.20155,9.15796,12,0.10173,0.00396,122.85666,0.01194,4.6,134.74772,0.01065,0.08825,0.04913,0.02636,11,NA
122.85666,0,0,0.36746,0.23048,1.06861,1.27435,8.95583,13,0.10173,0.00396,122.85666,0.01194,4.6,134.74772,0.01065,0.08825,0.04913,0.02636,11,NA
122.85666,0,0,0.41851,0.26573,1.11223,1.34368,8.75697,14,0.10173,0.00396,122.85666,0.01194,4.6,134.74772,0.01065,0.08825,0.04913,0.02636,11,NA
