"P_nought","P_one","P_two","R_one","R_two","A_one","A_two","S","t","phi","p_onetwo","total_passive","lmbda","c","N","mu","p","k_one","k_two","Q","X"
115.17871,0,0,0,0,0.20424,0.20535,31.65023,1,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,0.00411,0.00498,0.40075,0.40434,31.24675,2,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,0.01214,0.01479,0.58985,0.59722,30.848,3,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,0.02393,0.02933,0.77185,0.78423,30.45372,4,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,0.03932,0.04846,0.94704,0.96562,30.06367,5,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,0.05814,0.07206,1.1157,1.14161,29.67761,6,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,0.08025,0.10004,1.2781,1.31243,29.29531,7,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,0.1055,0.13227,1.43449,1.47829,28.91656,8,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,0.13377,0.16865,1.58513,1.6394,28.54114,9,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,0.1649,0.20909,1.73024,1.79596,28.16886,10,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,0.19878,0.25349,1.87005,1.94816,27.79951,11,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,0.23529,0.30177,2.00478,2.09619,27.43292,12,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,0.27431,0.35382,2.13463,2.24021,27.0689,13,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,0.31572,0.40958,2.25979,2.38042,26.70727,14,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,0.35942,0.46895,2.38046,2.51696,26.34787,15,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,0.40531,0.53187,2.49681,2.65001,25.99054,16,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,0.45329,0.59826,2.60902,2.77972,25.63513,17,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,0.50327,0.66805,2.71725,2.90624,25.28149,18,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,0.55514,0.74118,2.82166,3.02971,24.92946,19,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,0.60883,0.81758,2.92239,3.15027,24.57893,20,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,0.66426,0.89718,3.01959,3.26806,24.22974,21,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,0.72133,0.97994,3.1134,3.3832,23.88178,22,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,0.77998,1.0658,3.20395,3.49582,23.53492,23,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,0.84013,1.1547,3.29136,3.60604,23.18904,24,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,0.9017,1.2466,3.37575,3.71399,22.84403,25,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,0.96464,1.34144,3.45724,3.81976,22.49977,26,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,1.02887,1.43919,3.53593,3.92347,22.15617,27,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,1.09434,1.53979,3.61193,4.02523,21.81311,28,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,1.16097,1.64322,3.68534,4.12514,21.47051,29,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,1.22872,1.74942,3.75626,4.22329,21.12825,30,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,1.29752,1.85836,3.82477,4.31977,20.78626,31,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,1.36732,1.97002,3.89095,4.41469,20.44444,32,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,1.43807,2.08435,3.9549,4.50813,20.10271,33,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,1.50972,2.20132,4.01669,4.60017,19.76098,34,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,1.58222,2.32091,4.0764,4.6909,19.41917,35,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,1.65553,2.44309,4.13409,4.7804,19.07722,36,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,1.7296,2.56783,4.18984,4.86874,18.73503,37,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,1.80438,2.69511,4.24371,4.956,18.39254,38,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
115.17871,0,0,1.87984,2.8249,4.29576,5.04225,18.04969,39,0.11742,0.00546,115.17871,0.02306,4.6,147.23742,0.00637,0.21773,0.0201,0.02412,6,NA
