"P_nought","P_one","P_two","R_one","R_two","A_one","A_two","S","t","phi","p_onetwo","total_passive","lmbda","c","N","mu","p","k_one","k_two","Q","X"
129.68048,0,0,8.92255,6.80982,4.08964,10.40173,-0.66768,42,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
129.68048,0,0,9.11305,7.10695,3.73665,10.24433,-0.64682,43,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
128.64787,1.03261,0,9.27589,7.40309,3.41356,10.08636,-0.62661,44,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
127.59681,2.08367,0,9.41354,7.69795,3.11784,9.92815,-0.60704,45,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
126.53015,3.15033,0,9.52826,7.99125,2.84721,9.76998,-0.58807,46,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
125.45049,4.22999,0,9.62214,8.28274,2.59953,9.61212,-0.5697,47,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
124.36019,5.32029,0,9.69707,8.57222,2.37289,9.45478,-0.55191,48,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
123.26141,6.41908,0,9.75479,8.85949,2.16551,9.29818,-0.53467,49,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
122.15608,7.52441,0,9.79688,9.14438,1.97577,9.14251,-0.51796,50,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
120.00982,8.6345,1.03616,9.82481,9.42674,1.80219,8.98792,-0.50178,51,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
117.8284,9.74777,2.10432,9.8399,9.70645,1.6434,8.83456,-0.48611,52,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
115.61358,10.86274,3.20417,9.84337,9.98339,1.49815,8.68255,-0.47092,53,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
113.36698,11.9781,4.3354,9.83633,10.25746,1.36531,8.53202,-0.45621,54,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
111.09013,13.09267,5.49768,9.8198,10.52857,1.24382,8.38306,-0.44196,55,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
108.78443,14.20536,6.69069,9.7947,10.79667,1.13273,8.23576,-0.42815,56,0.11331,0.01169,129.68048,0.0518,4.6,159.0845,0.01562,0.18483,0.07208,0.01833,9,NA
