"S","A1","A2","P1","P2","R1","R2","t","Q","N"
43.0256766279062,-0.223640510498146,-0.201962920263888,4.02370773944073e-08,-0.00890391109198739,-0.101876546341363,-0.124027995918721,1,8,200
43.0054367667315,-0.218328898575267,-0.196919381716021,3.98256828534313e-08,-0.0174464396124893,-0.100943974471427,-0.126730054710112,2,8,200
42.9851966699486,-0.212935687793736,-0.191946890310919,3.82479432285001e-08,-0.025904804942161,-0.100031713278249,-0.129325829082628,3,8,200
42.9649538963767,-0.207460183873087,-0.187044754039612,3.47732909740811e-08,-0.0342791904963989,-0.09913926246885,-0.131814805871028,4,8,200
42.9447059967227,-0.201901714665573,-0.182212281755897,2.86955111215692e-08,-0.0425697572494127,-0.0982661179251667,-0.13419646921567,5,8,200
42.9244505139281,-0.196259630348229,-0.177448782977624,1.93323276876319e-08,-0.0507766440327521,-0.097411771699374,-0.136470300479355,6,8,200
42.9041849835175,-0.190533303611254,-0.172753567690616,6.02500493951118e-09,-0.0588999678290715,-0.096575712007477,-0.138635778168687,7,8,200
42.8839069339505,-0.184722129842742,-0.168125946155161,-1.18620370728809e-08,-0.0669398240612738,-0.0957574232212407,-0.140692377859897,8,8,200
42.8636138869757,-0.178825527309808,-0.163565228715064,-3.49415932905826e-08,-0.0748962868771682,-0.094956385858513,-0.142639572129096,9,8,200
42.8433033579878,-0.172842937336142,-0.159070725609182,-6.38040312804951e-08,-0.0827694094297738,-0.0941720765720002,-0.144476830486943,10,8,200
42.8229728563865,-0.166773824476007,-0.154641746785427,-9.90176362709167e-08,-0.0905592241533937,-0.0934039681365504,-0.146203619317664,11,8,200
42.8026198859387,-0.16061767668472,-0.150277601717178,-1.41128944111441e-07,-0.0982657430355819,-0.0926515294350038,-0.147819401822422,12,8,200
42.7822419451424,-0.154374005485644,-0.145977599222076,-1.90663062666011e-07,-0.10588895788512,-0.0919142254426637,-0.149323637966987,13,8,200
42.7618365275936,-0.148042346133692,-0.141741047283156,-2.48123982133564e-07,-0.113428840596118,-0.0911915172104448,-0.150715784433688,14,8,200
42.7414011223558,-0.141622257775386,-0.137567252872275,-3.13994874776961e-07,-0.120885343408344,-0.0904828618467527,-0.151995294577621,15,8,200
42.7209332143311,-0.135113323605474,-0.133455521775818,-3.88738384527648e-07,-0.128258399163893,-0.0897877124981488,-0.153161618387087,16,8,200
42.7004302846343,-0.128515151020113,-0.129405158422622,-4.72796906920863e-07,-0.135547921560298,-0.089105518328855,-0.154214202448232,17,8,200
42.6798898109696,-0.121827371766655,-0.125415465714108,-5.66592859804024e-07,-0.142753805400169,-0.0884357244991498,-0.155152489913873,18,8,200
42.6593092680089,-0.115049642090011,-0.121485744856565,-6.70528945249267e-07,-0.149875926837475,-0.0877777721427083,-0.155975920476487,19,8,200
42.6386861277729,-0.108181642875634,-0.117615295195576,-7.84988403089932e-07,-0.156914143620539,-0.0871310983429398,-0.156683930345346,20,8,200
42.6180178600144,-0.101223079789097,-0.11380341405254,-9.10335256490036e-07,-0.16386829533185,-0.0864951361083715,-0.157275952227769,21,8,200
