"S","A1","A2","P0","P1","P2","R1","R2","Q","t","N"
43.3844866802931,0,0.149649729455025,157.991290308862,1.00085179312465e-05,0,0.00404836617610428,0,8,1,200
43.3393769130696,0,0.162208786384693,157.991356119,9.83968815969864e-06,0,0.00231723784387633,0,8,2,200
43.2942670497503,0,0.174767831609899,157.991421932278,9.67085481487994e-06,0,0.000586108675908501,0,8,3,200
43.2491566349711,0,0.18732681121956,157.991487763481,9.50200103283808e-06,0,0,0,8,4,200
43.2040452133676,0,0.199885671302595,157.991553627399,9.33310994962075e-06,0,0,0,8,5,200
43.1589323295758,0,0.21244435794792,157.991619538816,9.16416470127563e-06,0,0,0,8,6,200
43.1138175282315,0,0.225002817244454,157.991685512522,8.99514842385039e-06,0,0,0,8,7,200
43.0687002320374,0,0.23756097063275,157.991751567906,8.82603927228524e-06,0,0,0,8,8,200
43.0235793759643,0,0.250118640959899,157.991817742775,8.65679547709052e-06,0,0,0,8,9,200
42.9784537730501,0,0.262675626424631,157.991884079539,8.48737028766906e-06,0,0,0,8,10,200
42.9333222363325,0,0.275231725225671,157.991950620608,8.31771695342372e-06,0,0,0,8,11,200
42.8881835788494,0,0.287786735561749,157.992017408392,8.14778872375735e-06,0,0,0,8,12,200
42.8430366136384,0,0.300340455631591,157.992084485301,7.97753884807279e-06,0,0,0,8,13,200
42.7978801537373,0,0.312892683633925,157.992151893746,7.8069205757729e-06,0,0,0,8,14,200
42.7527129154839,0,0.325443179605895,157.992219680965,7.63588235892727e-06,0,0,0,8,15,200
42.7075332284149,0,0.337991550938313,157.992287913513,7.4643534602725e-06,0,0,0,8,16,200
42.662339325367,0,0.350537366860406,157.992356662776,7.29225834521191e-06,0,0,0,8,17,200
42.617129439177,0,0.363080196601402,157.992426000137,7.11952147914884e-06,0,0,0,8,18,200
42.5719018026814,0,0.375619609390527,157.992495996981,6.94606732748662e-06,0,0,0,8,19,200
42.5266546487171,0,0.388155174457011,157.992566724692,6.77182035562859e-06,0,0,0,8,20,200
42.4813862101206,0,0.400686461030081,157.992638254655,6.59670502897808e-06,0,0,0,8,21,200
42.4360946672905,0,0.413212995716165,157.992710662231,6.42064222940298e-06,0,0,0,8,22,200
42.3907779908724,0,0.425734134630503,157.992784038691,6.24353850462938e-06,0,0,0,8,23,200
42.3454340990738,0,0.438249191265533,157.992858479283,6.06529681884793e-06,0,0,0,8,24,200
42.3000609101022,0,0.450757479113695,157.992934079254,5.88582013624926e-06,0,0,0,8,25,200
42.2546563421651,0,0.463258311667428,157.993010933853,5.70501142102403e-06,0,0,0,8,26,200
42.2092183134698,0,0.475751002419173,157.993089138328,5.52277363736288e-06,0,0,0,8,27,200
42.1637447199273,0,0.488234815051308,157.993168791645,5.33900679507257e-06,0,0,0,8,28,200
42.1182333682618,0,0.500708814005975,157.993250007648,5.15359908642438e-06,0,0,0,8,29,200
42.0726820429011,0,0.513172013915252,157.993332903901,4.96643574930569e-06,0,0,0,8,30,200
42.0270885282727,0,0.52562342941122,157.993417597965,4.77740202160389e-06,0,0,0,8,31,200
41.9814506088044,0,0.538062075125958,157.993504207404,4.58638314120638e-06,0,0,0,8,32,200
41.9357660689238,0,0.550486965691547,157.993592849781,4.39326434600054e-06,0,0,0,8,33,200
41.8900326930586,0,0.562897115740067,157.993683642658,4.19793087387376e-06,0,0,0,8,34,200
41.8442482838509,0,0.57529146626918,157.993776707509,4.00026536664508e-06,0,0,0,8,35,200
41.7984107168008,0.00788965819976331,0.587668663738879,157.993872181443,3.80014008186011e-06,0,0,0,8,36,200
41.7525178856227,0.0246195057899386,0.600027280974737,157.993970205481,3.59742468099612e-06,0,0,0,8,37,200
41.7065676840311,0.0413746370872351,0.612365890802331,157.994070920644,3.39198882553038e-06,0,0,0,8,38,200
41.6605580057405,0.0581560712291738,0.624683066047233,157.994174467952,3.18370217694013e-06,0,0,0,8,39,200
41.6144867444653,0.0749648273532763,0.63697737953502,157.994280988426,2.97243439670265e-06,0,0,0,8,40,200
41.56835179392,0.0918019245970635,0.649247404091265,157.994390623086,2.75805514629519e-06,0,0,0,8,41,200
41.5221510541461,0.108668372907399,0.661491682146911,157.994503515974,2.54043257400911e-06,0,0,0,8,42,200
41.4758824504928,0.125565145468517,0.673708634554373,157.994619823224,2.31942877539213e-06,0,0,0.000498397446949836,8,43,200
41.4295439146364,0.142493206273994,0.685896651771433,157.994739703991,2.09490433280604e-06,0,0,0.00901212764410753,8,44,200
41.3831333782531,0.159453519317405,0.698054124255874,157.994863317429,1.86671982861266e-06,0,0,0.0176266641433312,8,45,200
41.3366487730192,0.176447048592328,0.710179442465477,157.994990822694,1.63473584517379e-06,0,0,0.0263454843798874,8,46,200
41.290088030611,0.193474758092339,0.722270996858026,157.995122378941,1.39881296485123e-06,0,0,0.0351720657890431,8,47,200
41.2434490443233,0.210537590282202,0.734327216227025,157.99525814796,1.1588110537019e-06,0,0,0.0441098648471109,8,48,200
41.1967295539263,0.227636401511438,0.746346682708871,157.995398302087,9.14587112563115e-07,0,0,0.0531622541945873,8,49,200
41.1499272608089,0.244772026600755,0.75832801677568,157.995543016292,6.65997425967302e-07,0,0,0.0623325855130145,8,50,200
41.1030398663598,0.261945300370862,0.77026983889957,157.995692465546,4.12898278446889e-07,0,0,0.071624210483935,8,51,200
41.0560650719681,0.279157057642468,0.78217076955266,157.995846824821,1.55145954534303e-07,0,0,0.081040480788891,8,52,200
41.0090005790224,0.296408133236281,0.794029429207068,157.996006269086,0,0,0,0.0905847481094251,8,53,200
40.9618440889117,0.31369936197301,0.805844438334911,157.996170973313,0,0,0,0.100260364127079,8,54,200
40.9145933086852,0.331031541910358,0.817614438291975,157.996341114801,0,0,0,0.110070621784756,8,55,200
40.867245968034,0.348405324054006,0.829338153968713,157.996516880173,0,0,0,0.120018579070798,8,56,200
40.8197998023097,0.365821322646628,0.841014331139244,157.996698458376,0,0,0,0.130107235234908,8,57,200
40.7722525468637,0.3832801519309,0.85264171557769,157.996886038363,0,0,0,0.140339589526788,8,58,200
40.7246019370476,0.400782426149496,0.864219053058169,157.997079809082,0,0,0,0.150718641196141,8,59,200
40.6768457082129,0.418328759545092,0.875745089354802,157.997279959484,0,0,0,0.16124738949267,8,60,200
40.6289815957111,0.435919766360361,0.88721857024171,157.997486678519,0,0,0,0.171928833666076,8,61,200
40.5810072804429,0.453556008203407,0.898638354830291,157.997700156622,0,0,0,0.18276586734516,8,62,200
40.5329202255065,0.471237836144041,0.910003755581056,157.997920590168,0,0,0,0.19376096167511,8,63,200
40.4847178395489,0.488965548617501,0.921314198291796,157.998148177019,0,0,0,0.204916482180209,8,64,200
40.4363975312174,0.506739444059026,0.932569108760302,157.998383115035,0,0,0,0.216234794384743,8,65,200
40.3879567091594,0.524559820903853,0.943767912784363,157.998625602076,0,0,0,0.227718263812996,8,66,200
40.339392782022,0.542426977587223,0.95491003616177,157.998875836003,0,0,0,0.239369255989253,8,67,200
40.2907031584525,0.560341212544373,0.965994904690313,157.999134014677,0,0,0,0.251190136437798,8,68,200
40.2418852098051,0.578302764895799,0.977022059830441,157.999400336469,0,0,0,0.263183136744859,8,69,200
40.1929361582619,0.59631163650303,0.987991505693237,157.999675001795,0,0,0,0.275349952744426,8,70,200
