P_nought, P_one, P_two, R_one, R_two, A_one, A_two, S,
156.0     , 0.0       , 0.0       , 0.0       , 0.0       , 0.676     , 0.68141   , 50.648    , 
156.0     , 0.0       , 0.0       , 0.01014   , 0.01371   , 1.31921   , 1.33721   , 49.33036  , 
156.0     , 0.0       , 0.0       , 0.02985   , 0.04069   , 1.93115   , 1.96855   , 48.04545  , 
156.0     , 0.0       , 0.0       , 0.05858   , 0.08053   , 2.51326   , 2.57654   , 46.79168  , 
156.0     , 0.0       , 0.0       , 0.09581   , 0.13283   , 3.0669    , 3.16222   , 45.56755  , 
156.0     , 0.0       , 0.0       , 0.14104   , 0.1972    , 3.5934    , 3.7266    , 44.37163  , 
156.0     , 0.0       , 0.0       , 0.19382   , 0.27328   , 4.09398   , 4.27067   , 43.20255  , 
156.0     , 0.0       , 0.0       , 0.25367   , 0.36073   , 4.56982   , 4.79536   , 42.05901  , 
156.0     , 0.0       , 0.0       , 0.32019   , 0.4592    , 5.02205   , 5.30155   , 40.93976  , 
156.0     , 0.0       , 0.0       , 0.39296   , 0.56837   , 5.45173   , 5.7901    , 39.8436   , 
156.0     , 0.0       , 0.0       , 0.47159   , 0.68795   , 5.85986   , 6.26185   , 38.7694   , 
156.0     , 0.0       , 0.0       , 0.55572   , 0.81763   , 6.24743   , 6.71757   , 37.71608  , 
156.0     , 0.0       , 0.0       , 0.64498   , 0.95714   , 6.61533   , 7.15804   , 36.68259  , 
156.0     , 0.0       , 0.0       , 0.73905   , 1.10621   , 6.96444   , 7.54747   , 35.70445  , 
155.89048 , 0.0       , 0.10952   , 0.83761   , 1.26386   , 7.29606   , 7.91904   , 34.74849  , 
155.76536 , 0.0       , 0.23464   , 0.94035   , 1.42977   , 7.61101   , 8.27328   , 33.814    , 
155.62382 , 0.0       , 0.37618   , 1.04699   , 1.60361   , 7.87554   , 8.6104    , 32.93484  , 
155.36141 , 0.10365   , 0.53494   , 1.15675   , 1.78507   , 8.12255   , 8.93133   , 32.07853  , 
155.07017 , 0.21817   , 0.71166   , 1.26933   , 1.97385   , 8.35276   , 9.23654   , 31.24449  , 
154.74909 , 0.34383   , 0.90707   , 1.38447   , 2.16966   , 8.56682   , 9.52653   , 30.43213  , 
154.39723 , 0.4809    , 1.12187   , 1.5019    , 2.3722    , 8.7654    , 9.80174   , 29.6409   , 
154.0137  , 0.62958   , 1.35672   , 1.62136   , 2.58121   , 8.94913   , 10.06263  , 28.87023  , 
153.59764 , 0.7901    , 1.61226   , 1.74263   , 2.7964    , 9.11861   , 10.30964  , 28.11961  , 
153.14828 , 0.96262   , 1.8891    , 1.86547   , 3.01752   , 9.27444   , 10.54319  , 27.3885   , 
152.66486 , 1.1473    , 2.18784   , 1.98966   , 3.2443    , 9.41718   , 10.76372  , 26.6764   , 
152.1467  , 1.34428   , 2.50902   , 2.115     , 3.47649   , 9.54738   , 10.97162  , 25.98281  , 
151.59314 , 1.55366   , 2.8532    , 2.24129   , 3.71386   , 9.66556   , 11.16729  , 25.30726  , 
151.00358 , 1.77555   , 3.22087   , 2.36834   , 3.95615   , 9.77225   , 11.35111  , 24.64927  , 
150.37746 , 2.01002   , 3.61253   , 2.49598   , 4.20314   , 9.86793   , 11.52347  , 24.00839  , 
149.71424 , 2.25712   , 4.02864   , 2.62403   , 4.4546    , 9.95308   , 11.68474  , 23.38417  , 
149.01346 , 2.5169    , 4.46964   , 2.75234   , 4.71032   , 10.02815  , 11.83526  , 22.77618  , 
148.27466 , 2.78938   , 4.93596   , 2.88074   , 4.97007   , 10.09359  , 11.9754   , 22.184    , 
147.49743 , 3.07457   , 5.428     , 3.0091    , 5.23365   , 10.14983  , 12.10548  , 21.60722  , 
146.6814  , 3.37247   , 5.94613   , 3.13727   , 5.50085   , 10.19728  , 12.22584  , 21.04543  , 
145.82622 , 3.68306   , 6.49072   , 3.26513   , 5.77149   , 10.23633  , 12.33681  , 20.49825  , 
144.9316  , 4.00631   , 7.06209   , 3.39256   , 6.04537   , 10.26737  , 12.43869  , 19.96529  , 
143.99724 , 4.34217   , 7.66059   , 3.51943   , 6.3223    , 10.29077  , 12.53179  , 19.4462   , 
143.02291 , 4.6906    , 8.28649   , 3.64563   , 6.6021    , 10.30689  , 12.61641  , 18.9406   , 
142.00839 , 5.05151   , 8.9401    , 3.77107   , 6.8846    , 10.31606  , 12.69284  , 18.44814  , 
140.95347 , 5.42485   , 9.62168   , 3.89564   , 7.16962   , 10.31861  , 12.76135  , 17.96849  , 
139.85801 , 5.81052   , 10.33147  , 4.01926   , 7.457     , 10.31487  , 12.82224  , 17.50131  , 
138.72186 , 6.20842   , 11.06971  , 4.14183   , 7.74658   , 10.30515  , 12.87575  , 17.04627  , 
137.54491 , 6.61847   , 11.83662  , 4.26327   , 8.0382    , 10.28973  , 12.92215  , 16.60307  , 
136.32707 , 7.04053   , 12.6324   , 4.38351   , 8.33171   , 10.26891  , 12.9617   , 16.17139  , 
135.06826 , 7.4745    , 13.45724  , 4.50247   , 8.62696   , 10.24295  , 12.99464  , 15.75093  , 
133.76845 , 7.92024   , 14.31131  , 4.6201    , 8.92382   , 10.21213  , 13.02121  , 15.34141  , 
132.4276  , 8.37763   , 15.19477  , 4.73632   , 9.22213   , 10.17668  , 13.04163  , 14.94253  , 
131.04571 , 8.84653   , 16.10776  , 4.85108   , 9.52177   , 10.13687  , 13.05615  , 14.55403  , 
129.6228  , 9.32678   , 17.05042  , 4.96432   , 9.82261   , 10.09293  , 13.06497  , 14.17562  , 
128.15889 , 9.81825   , 18.02286  , 5.076     , 10.12452  , 10.04507  , 13.06832  , 13.80706  , 
126.65404 , 10.32078  , 19.02518  , 5.18607   , 10.42737  , 9.99353   , 13.06639  , 13.44807  , 
125.10831 , 10.8342   , 20.05749  , 5.29449   , 10.73106  , 9.9385    , 13.05939  , 13.09842  , 
123.52178 , 11.35835  , 21.11987  , 5.40121   , 11.03545  , 9.8802    , 13.04753  , 12.75786  , 
121.89455 , 11.89307  , 22.21238  , 5.5062    , 11.34046  , 9.8188    , 13.03098  , 12.42616  , 
120.22673 , 12.43818  , 23.33508  , 5.60943   , 11.64595  , 9.75451   , 13.00994  , 12.10308  , 
118.51845 , 12.99352  , 24.48803  , 5.71088   , 11.95184  , 9.6875    , 12.98458  , 11.7884   , 
116.76984 , 13.5589   , 25.67126  , 5.8105    , 12.25801  , 9.61794   , 12.95508  , 11.4819   , 
114.98106 , 14.13414  , 26.88481  , 5.90829   , 12.56438  , 9.54599   , 12.92161  , 11.18337  , 
113.15226 , 14.71906  , 28.12868  , 6.00421   , 12.87085  , 9.47181   , 12.88434  , 10.8926   , 
111.28363 , 15.31347  , 29.40289  , 6.09825   , 13.17732  , 9.39557   , 12.84342  , 10.6094   , 
109.37535 , 15.9172   , 30.70745  , 6.1904    , 13.48371  , 9.31739   , 12.79901  , 10.33355  , 
107.42761 , 16.53005  , 32.04234  , 6.28064   , 13.78993  , 9.23743   , 12.75127  , 10.06488  , 
105.44063 , 17.15183  , 33.40754  , 6.36895   , 14.09591  , 9.15581   , 12.70033  , 9.80319   , 
103.41461 , 17.78236  , 34.80304  , 6.45534   , 14.40156  , 9.07267   , 12.64635  , 9.54831   , 
101.34977 , 18.42144  , 36.22879  , 6.53979   , 14.70681  , 8.98812   , 12.58945  , 9.30005   , 
99.24636  , 19.06888  , 37.68476  , 6.62229   , 15.01157  , 8.9023    , 12.52978  , 9.05825   , 
97.10461  , 19.72448  , 39.17091  , 6.70285   , 15.31579  , 8.8153    , 12.46747  , 8.82274   , 
94.92476  , 20.38806  , 40.68717  , 6.78145   , 15.61939  , 8.72725   , 12.40263  , 8.59335   , 
92.70708  , 21.05943  , 42.23349  , 6.85811   , 15.92231  , 8.63823   , 12.3354   , 8.36992   , 
90.45182  , 21.73838  , 43.8098   , 6.93282   , 16.22448  , 8.54836   , 12.26589  , 8.1523    , 
88.15924  , 22.42473  , 45.41602  , 7.00558   , 16.52584  , 8.45773   , 12.19421  , 7.94034   , 
85.82963  , 23.11828  , 47.05208  , 7.0764    , 16.82634  , 8.36643   , 12.12048  , 7.73389   , 
83.46326  , 23.81885  , 48.71789  , 7.14529   , 17.12591  , 8.27454   , 12.04481  , 7.53281   , 
81.06041  , 24.52623  , 50.41336  , 7.21224   , 17.4245   , 8.18215   , 11.9673   , 7.33696   , 
78.62137  , 25.24024  , 52.13838  , 7.27728   , 17.72207  , 8.08934   , 11.88805  , 7.1462    , 
76.14644  , 25.96069  , 53.89287  , 7.3404    , 18.01855  , 7.99619   , 11.80715  , 6.9604    , 
73.6359   , 26.68739  , 55.6767   , 7.40162   , 18.31391  , 7.90276   , 11.72472  , 6.77943   , 
71.09007  , 27.42015  , 57.48978  , 7.46095   , 18.60809  , 7.80913   , 11.64083  , 6.60316   , 
68.50923  , 28.15879  , 59.33198  , 7.5184    , 18.90106  , 7.71536   , 11.55558  , 6.43148   , 
65.8937   , 28.90311  , 61.20319  , 7.57398   , 19.19276  , 7.62152   , 11.46905  , 6.26426   , 
63.2438   , 29.65293  , 63.10327  , 7.62771   , 19.48316  , 7.52766   , 11.38132  , 6.10139   , 
60.55982  , 30.40808  , 65.0321   , 7.67961   , 19.77222  , 7.43384   , 11.29249  , 5.94275   , 
57.84209  , 31.16836  , 66.98955  , 7.72968   , 20.05991  , 7.34012   , 11.20261  , 5.78824   , 
55.09092  , 31.9336   , 68.97548  , 7.77794   , 20.34619  , 7.24654   , 11.11178  , 5.63775   , 
52.30663  , 32.70361  , 70.98976  , 7.82441   , 20.63102  , 7.15316   , 11.02006  , 5.49117   , 
49.48954  , 33.47823  , 73.03223  , 7.86912   , 20.91437  , 7.06002   , 10.92752  , 5.3484    , 
46.63998  , 34.25727  , 75.10275  , 7.91206   , 21.19622  , 6.96717   , 10.83424  , 5.20934   , 
43.75826  , 35.04057  , 77.20118  , 7.95328   , 21.47653  , 6.87465   , 10.74027  , 5.07389   , 
40.84471  , 35.82794  , 79.32735  , 7.99277   , 21.75528  , 6.78249   , 10.64569  , 4.94197   , 
37.89965  , 36.61922  , 81.48112  , 8.03056   , 22.03244  , 6.69074   , 10.55055  , 4.81348   , 
34.92341  , 37.41425  , 83.66234  , 8.06668   , 22.30798  , 6.59943   , 10.45491  , 4.68833   , 
31.91632  , 38.21285  , 85.87083  , 8.10114   , 22.58189  , 6.50859   , 10.35883  , 4.56644   , 
28.8787   , 39.01486  , 88.10643  , 8.13396   , 22.85414  , 6.41826   , 10.26236  , 4.44771   , 
25.81088  , 39.82013  , 90.36899  , 8.16516   , 23.1247   , 6.32846   , 10.16556  , 4.33207   , 
22.71319  , 40.62848  , 92.65834  , 8.19477   , 23.39357  , 6.23922   , 10.06848  , 4.21943   , 
19.58594  , 41.43976  , 94.9743   , 8.2228    , 23.66073  , 6.15057   , 9.97117   , 4.10973   , 
16.42947  , 42.25382  , 97.31671  , 8.24927   , 23.92614  , 6.06253   , 9.87367   , 4.00288   , 
13.2441   , 43.07049  , 99.6854   , 8.27422   , 24.18981  , 5.97513   , 9.77603   , 3.8988    , 
10.03017  , 43.88964  , 102.08019 , 8.29765   , 24.45171  , 5.88839   , 9.67831   , 3.79743   , 
6.78798   , 44.71111  , 104.50091 , 8.31959   , 24.71184  , 5.80232   , 9.58052   , 3.6987    , 
3.51787   , 45.53475  , 106.94738 , 8.34007   , 24.97017  , 5.71695   , 9.48273   , 3.60253   , 
