"S","A1","A2","P0","P1","P2","R1","R2","Q","t"
42.367521413774,-3.95987454762049e-07,-0.000117080966327473,158.000084062612,0,0.000139997028848115,1.14628530221291e-06,4.48466383981492e-06,1,1
42.3644300929793,-2.97732333196568e-07,-6.69032545625179e-05,158.000023535735,0,0.000138618528672796,1.21289888817091e-06,-3.53467176809064e-07,1,2
42.3613387720092,-1.99475649522418e-07,-1.67247358354811e-05,157.999963008838,0,0.000137240028100277,1.27951291770414e-06,-5.19162871269847e-06,1,3
42.358247353328,-1.01198253264591e-07,3.34584830667188e-05,157.999902481908,0,0.000135861339544019,1.34609424122302e-06,-1.00297837464869e-05,1,4
42.3551557394,-2.88099394808156e-09,8.36502953571627e-05,157.99984195493,0,0.000134482275417483,1.41260970913796e-06,-1.48678952568077e-05,1,5
42.3520638326895,9.54952789021164e-08,0.000133854594248931,157.999781427888,0,0.000133102648134129,1.47902617185936e-06,-1.97059262222947e-05,1,6
42.3489715356605,1.93949715761009e-07,0.000184075272955105,157.999720900769,0,0.000131722270107418,1.54531047979764e-06,-2.45438396215813e-05,1,7
42.3458787507776,2.92501467103604e-07,0.000234316224688766,157.999660373556,0,0.000130340953750809,1.61142948336321e-06,-2.9381598433301e-05,1,8
42.3427853531336,3.91163859967426e-07,0.000284576641596828,157.999599846371,0,0.000128958459305116,1.67733724014937e-06,-3.42189343027933e-05,1,9
42.3396911083372,4.89926927640088e-07,0.000334836911561544,157.999539319868,0,0.000127574338320567,1.74293663648097e-06,-3.90546535422211e-05,1,10
42.3365957546259,5.88774879971718e-07,0.000385072721399002,157.999478794839,0,0.000126188090174743,1.80811776586573e-06,-4.38873311304531e-05,1,11
42.333499030237,6.87691926812448e-07,0.000435259757925289,157.999418272073,0,0.000124799214245224,1.87277072181141e-06,-4.8715542046358e-05,1,12
42.3304006734079,7.86662278012409e-07,0.000485373707956492,157.999357752361,0,0.00012340720990959,1.93678559782573e-06,-5.35378612688048e-05,1,13
42.327300422376,8.85670143421733e-07,0.000535390258308698,157.999297236493,0,0.000122011576545423,2.00005248741643e-06,-5.83528637766621e-05,1,14
42.3241980153789,9.84699732890549e-07,0.000585285095797995,157.99923672526,0,0.000120611813530303,2.06246148409124e-06,-6.31591245487986e-05,1,15
42.3210931658693,1.08371641619129e-06,0.000635022655721025,157.99917621974,0,0.000119207373578036,2.12388694242221e-06,-6.79547427380183e-05,1,16
42.3179854881625,1.18261020278559e-06,0.00068452236729665,157.999115722164,0,0.00011779752274732,2.18414026123852e-06,-7.27359141928652e-05,1,17
42.3148745717888,1.28125226205738e-06,0.000733692408224289,157.999055235055,0,0.000116381480433081,2.24301710043369e-06,-7.74983589358186e-05,1,18
42.311760006279,1.3795137633906e-06,0.000782440956203359,157.998994760931,0,0.000114958466030242,2.30031311990121e-06,-8.22377969893576e-05,1,19
42.3086413811636,1.47726587616919e-06,0.000830676188933276,157.998934302314,0,0.000113527698933727,2.35582397953458e-06,-8.69499483759616e-05,1,20
42.3055182859731,1.57437976977707e-06,0.00087830628411346,157.998873861724,0,0.000112088398538461,2.4093453392273e-06,-9.16305331181096e-05,1,21
42.3023903102381,1.6707266135982e-06,0.000925239419443328,157.998813441681,0,0.000110639784239368,2.46067285887286e-06,-9.62752712382809e-05,1,22
42.2992570176456,1.76613981192783e-06,0.000971362915656226,157.99875304523,0,0.00010918102765729,2.50958076403125e-06,-0.000100879035260223,1,23
42.2961178685076,1.8603017087066e-06,0.00101648066562121,157.998692677517,0,0.000107711109316737,2.55575754292829e-06,-0.000105433307712758,1,24
42.2929722972927,1.9528568827865e-06,0.00106037570524127,157.99863234421,0,0.000106228961968137,2.59887024945631e-06,-0.000109928723625975,1,25
42.2898197384692,2.0434499130195e-06,0.00110283107041938,157.99857205098,0,0.000104733518361921,2.63858593750761e-06,-0.000114355918029964,1,26
42.2866596265056,2.13172537825757e-06,0.00114362979705853,157.998511803495,0,0.000103223711248516,2.67457166097451e-06,-0.000118705525954815,1,27
42.2834913958703,2.21732785735269e-06,0.00118255492106171,157.998451607426,0,0.000101698473378351,2.70649447374932e-06,-0.000122968182430618,1,28
42.2803144810319,2.29990192915683e-06,0.0012193894783319,157.998391468441,0,0.000100156737501855,2.73402142972435e-06,-0.000127134522487463,1,29
42.2771283164587,2.37909217252198e-06,0.00125391650477209,157.998331392211,0,9.85974363694554e-05,2.7568195827919e-06,-0.000131195181155439,1,30
42.2739323126638,2.45449109945024e-06,0.00128589156909868,157.998271385123,0,9.70194595821517e-05,2.77453221079308e-06,-0.000135139667677592,1,31
42.2707257843383,2.52548295454421e-06,0.0013149603712817,157.998211456445,0,9.54215241432209e-05,2.78670748736408e-06,-0.000138952988148786,1,32
42.2675080222179,2.59139991555665e-06,0.00134074114410463,157.998151616159,0,9.380230390651e-05,2.79286981008985e-06,-0.000142619022876839,1,33
42.2642783170384,2.65157416024028e-06,0.00136285212035093,157.998091874252,0,9.2160472725866e-05,2.79254357655538e-06,-0.00014612165216957,1,34
42.2610359595353,2.70533786634786e-06,0.00138091153280406,157.998032240708,0,9.04947044551362e-05,2.78525318434562e-06,-0.000149444756334799,1,35
42.2577802404445,2.75202321163213e-06,0.00139453761424748,157.997972725511,0,8.88036729481675e-05,2.77052303104556e-06,-0.000152572215680344,1,36
42.2545104505016,2.79096237384582e-06,0.00140334859746465,157.997913338647,0,8.7086052058807e-05,2.74787751424015e-06,-0.000155487910514025,1,37
42.2512258615685,2.82143364584892e-06,0.00140693555967328,157.997854090884,0,8.53404829514766e-05,2.71682028910045e-06,-0.000158174553354723,1,38
42.2479256700113,2.84249978093033e-06,0.00140478095582814,157.997794996122,0,8.35654760328968e-05,2.67677204114179e-06,-0.000160610185565578,1,39
42.2446090533226,2.85316964748623e-06,0.00139634008531821,157.997736069045,0,8.17595090203632e-05,2.62713271346562e-06,-0.000162771680720789,1,40
42.2412751889947,2.85245211391276e-06,0.00138106824753251,157.997677324338,0,7.9921059631171e-05,2.56730224917334e-06,-0.000164635912394559,1,41
42.2379232545199,2.83935604860609e-06,0.00135842074186003,157.997618776684,0,7.80486055826159e-05,2.49668059136639e-06,-0.00016617975416109,1,42
42.2345524273907,2.81289031996236e-06,0.00132785286768977,157.997560440769,0,7.6140624591993e-05,2.41466768314619e-06,-0.000167380079594582,1,43
42.2311618850994,2.77206379637773e-06,0.00128881992441073,157.997502331274,0,7.4195594376598e-05,2.32066346761416e-06,-0.000168213762269237,1,44
42.2277507852169,2.71582422822957e-06,0.00124074896543444,157.997444463984,0,7.2211960420315e-05,2.21404802924673e-06,-0.000168656213464003,1,45
42.224318205627,2.64287489382012e-06,0.00118295406026241,157.997386859071,0,7.01880392733844e-05,2.09412201802024e-06,-0.000168676995276813,1,46
42.2208632042921,2.55185795343281e-06,0.00111472103241868,157.997329537805,0,6.81221152526353e-05,1.96016622528605e-06,-0.000168244207510345,1,47
42.2173848391745,2.44141556735109e-06,0.0010353357054273,157.997272521458,0,6.60124726748968e-05,1.8114614423955e-06,-0.000167325949967278,1,48
42.2138821682368,2.31018989585839e-06,0.000944083902812301,157.997215831301,0,6.38573958569981e-05,1.64728846069994e-06,-0.000165890322450292,1,49
42.210354249441,2.15682309923817e-06,0.000840251448097719,157.997159488605,0,6.16551691157684e-05,1.46692807155073e-06,-0.000163905424762065,1,50
42.2068001407497,1.97995733777387e-06,0.000723124164807594,157.997103514641,0,5.94040767680368e-05,1.2696610662992e-06,-0.000161339356705275,1,51
42.2032189001252,1.77823477174892e-06,0.000591987876465964,157.997047930679,0,5.71024031306324e-05,1.05476823629671e-06,-0.000158160218082603,1,52
42.1996095680163,1.55025794435022e-06,0.000446115051331714,157.996992759269,0,5.47484075313608e-05,8.21521000542612e-07,-0.000154334740492523,1,53
42.1959711148183,1.29447093037839e-06,0.000284724736603115,157.996938028068,0,5.23402493419322e-05,5.69153288628322e-07,-0.000149824182716695,1,54
42.1923024934131,1.00927818753752e-06,0.000107022624213287,157.996883766012,0,4.98760629450336e-05,2.96889657793258e-07,-0.000144588435332575,1,55
42.1886026566823,6.93084173531684e-07,-8.77855939046507e-05,157.996830002037,0,4.73539827233515e-05,3.95466527684048e-09,-0.000138587388917619,1,56
42.1848705575078,3.44293346064958e-07,-0.00030049422581758,157.996776765077,0,4.47721430595727e-05,-3.10427131681509e-07,-0.000131780934049282,1,57
42.1811051487715,-3.86898371585804e-08,-0.000531897579592382,157.996724084068,0,4.21286783363839e-05,-6.47031175842369e-07,-0.000124128961305022,1,58
42.177305383355,-4.57460918434853e-07,-0.000782789963295937,157.996671987947,0,3.94217229364719e-05,-1.00663290996632e-06,-0.000115591361262294,1,59
42.1734702009754,-9.136090987158e-07,-0.00105395202661265,157.996620506897,0,3.66493963660262e-05,-1.39000084769186e-06,-0.000106127137377634,1,60
42.1695984886901,-1.40869821357742e-06,-0.001346109785697,157.996569676104,0,3.3809758625248e-05,-1.79787578616916e-06,-9.5691744623901e-05,1,61
42.1656891203917,-1.94428575725173e-06,-0.001659975598321,157.996519532,0,3.09008548378413e-05,-2.23099159342631e-06,-8.42397508530335e-05,1,62
42.1617409699728,-2.52192922397075e-06,-0.00199626182225667,157.996470111019,0,2.792073012751e-05,-2.69008213749142e-06,-7.17257239169702e-05,1,63
42.1577529113261,-3.14318610796649e-06,-0.002355680815276,157.996421449596,0,2.48674296179583e-05,-3.17588128639257e-06,-5.81042316676498e-05,1,64
42.1537238183441,-3.80961390347097e-06,-0.002738944935151,157.996373584163,0,2.173899843289e-05,-3.68912290815785e-06,-4.33298419570112e-05,1,65
42.1496525649195,-4.52277010471621e-06,-0.00314676653965369,157.996326551155,0,1.85334816960093e-05,-4.23054087081536e-06,-2.7357122636993e-05,1,66
