N, Q, S, P_0, P_1, P_2, R_1, R_2, A_1, A_2, 
200, 8, 40, 160, 0, 0, 0, 0, 0, 0, 
200, 8, 22, 160, 0, 0, 5, 4, 5, 4, 
200, 8, 8, 160, 0, 0, 9, 7, 9, 7, 
200, 8, 0, 160, 0, 0, 11, 9, 11, 9, 
200, 8, -14, 160, 0, 0, 14, 13, 14, 13, 
200, 8, -22, 160, 0, 0, 15, 16, 15, 16, 
200, 8, -19, 160, 0, 0, 15, 19, 11, 14, 
200, 8, -15, 160, 0, 0, 14, 21, 7, 13, 
200, 8, -16, 160, 0, 0, 13, 24, 5, 14, 
200, 8, -11, 160, 0, 0, 12, 25, 2, 12, 
200, 8, -9, 160, 0, 0, 12, 25, 2, 10, 
200, 8, -8, 160, 0, 0, 11, 27, 1, 9, 
200, 8, -10, 160, 0, 0, 12, 27, 3, 8, 
200, 8, -8, 160, 0, 0, 12, 27, 3, 6, 
200, 8, -9, 160, 0, 0, 13, 27, 4, 5, 
200, 8, -7, 160, 0, 0, 13, 27, 3, 4, 
200, 8, -7, 160, 0, 0, 13, 27, 3, 4, 
200, 8, -6, 160, 0, 0, 13, 27, 1, 5, 
200, 8, -6, 160, 0, 0, 13, 27, 1, 5, 
200, 8, -5, 160, 0, 0, 13, 27, 1, 4, 
200, 8, -6, 160, 0, 0, 13, 27, 1, 5, 
200, 8, -7, 160, 0, 0, 11, 29, 3, 4, 
200, 8, -9, 160, 0, 0, 11, 29, 3, 6, 
200, 8, -9, 160, 0, 0, 11, 29, 3, 6, 
200, 8, -9, 160, 0, 0, 11, 29, 2, 7, 
200, 8, -9, 160, 0, 0, 11, 29, 2, 7, 
200, 8, -7, 160, 0, 0, 11, 29, 0, 7, 
200, 8, -5, 160, 0, 0, 11, 29, 0, 5, 
200, 8, -4, 160, 0, 0, 11, 29, 0, 4, 
200, 8, -4, 158, 1, 1, 11, 29, 0, 4, 
200, 8, -3, 158, 1, 1, 11, 29, 0, 3, 
200, 8, -4, 158, 1, 1, 11, 29, 0, 4, 
200, 8, -3, 158, 1, 1, 11, 29, 1, 2, 
200, 8, -4, 157, 1, 2, 11, 29, 1, 3, 
200, 8, -6, 156, 1, 3, 10, 30, 2, 4, 
200, 8, -7, 155, 2, 3, 10, 30, 2, 5, 
200, 8, -9, 155, 2, 3, 10, 30, 4, 5, 
200, 8, -9, 155, 2, 3, 10, 30, 3, 6, 
200, 8, -8, 155, 2, 3, 10, 30, 3, 5, 
200, 8, -6, 153, 3, 4, 10, 30, 3, 3, 
200, 8, -8, 153, 3, 4, 10, 30, 4, 4, 
200, 8, -5, 152, 3, 5, 10, 30, 2, 3, 
200, 8, -5, 151, 3, 6, 9, 31, 3, 2, 
200, 8, -9, 149, 3, 8, 8, 32, 4, 5, 
200, 8, -10, 147, 3, 10, 8, 32, 3, 7, 
200, 8, -7, 146, 4, 10, 7, 33, 2, 5, 
200, 8, -8, 145, 4, 11, 7, 33, 2, 6, 
200, 8, -7, 143, 4, 13, 6, 34, 1, 6, 
200, 8, -6, 143, 4, 13, 6, 34, 0, 6, 
200, 8, -5, 141, 4, 15, 6, 34, 0, 5, 
200, 8, -6, 141, 4, 15, 6, 34, 0, 6, 
200, 8, -6, 140, 4, 16, 6, 34, 0, 6, 
200, 8, -7, 139, 4, 17, 6, 34, 0, 7, 
200, 8, -4, 137, 4, 19, 5, 35, 0, 4, 
200, 8, -4, 134, 5, 21, 5, 35, 0, 4, 
200, 8, -3, 133, 6, 21, 5, 35, 0, 3, 
200, 8, -3, 132, 6, 22, 5, 35, 0, 3, 
200, 8, -3, 129, 7, 24, 5, 35, 0, 3, 
200, 8, -4, 129, 7, 24, 5, 35, 0, 4, 
200, 8, -3, 127, 7, 26, 5, 35, 0, 3, 
200, 8, -6, 127, 7, 26, 5, 35, 0, 6, 
200, 8, -5, 126, 7, 27, 5, 35, 0, 5, 
200, 8, -5, 125, 7, 28, 5, 35, 0, 5, 
200, 8, -4, 123, 7, 30, 5, 35, 0, 4, 
200, 8, -4, 116, 8, 36, 5, 35, 0, 4, 
200, 8, -2, 115, 9, 36, 5, 35, 0, 2, 
200, 8, -2, 114, 9, 37, 5, 35, 0, 2, 
200, 8, -1, 111, 10, 39, 5, 35, 0, 1, 
200, 8, -1, 109, 11, 40, 5, 35, 0, 1, 
