N, Q, S, P_0, P_1, P_2, R_1, R_2, A_1, A_2, 
200, 8, 40, 160, 0, 0, 0, 0, 0, 0, 
200, 8, 24, 160, 0, 0, 4, 4, 4, 4, 
200, 8, 10, 160, 0, 0, 7, 8, 7, 8, 
200, 8, -4, 160, 0, 0, 11, 11, 11, 11, 
200, 8, -16, 160, 0, 0, 15, 13, 15, 13, 
200, 8, -26, 160, 0, 0, 17, 16, 17, 16, 
200, 8, -20, 160, 0, 0, 18, 16, 14, 12, 
200, 8, -17, 160, 0, 0, 19, 17, 12, 9, 
200, 8, -13, 160, 0, 0, 18, 19, 8, 8, 
200, 8, -11, 160, 0, 0, 19, 19, 6, 7, 
200, 8, -7, 160, 0, 0, 18, 20, 4, 5, 
200, 8, -7, 160, 0, 0, 17, 21, 3, 6, 
200, 8, -11, 160, 0, 0, 17, 23, 2, 9, 
200, 8, -12, 160, 0, 0, 16, 24, 2, 10, 
200, 8, -13, 160, 0, 0, 13, 27, 2, 11, 
200, 8, -17, 160, 0, 0, 13, 27, 2, 15, 
200, 8, -17, 160, 0, 0, 13, 27, 3, 14, 
200, 8, -14, 160, 0, 0, 13, 27, 3, 11, 
200, 8, -12, 160, 0, 0, 13, 27, 3, 9, 
200, 8, -8, 160, 0, 0, 11, 29, 1, 7, 
200, 8, -6, 160, 0, 0, 11, 29, 1, 5, 
200, 8, -7, 160, 0, 0, 11, 29, 1, 6, 
200, 8, -6, 160, 0, 0, 11, 29, 1, 5, 
200, 8, -6, 160, 0, 0, 10, 30, 1, 5, 
200, 8, -7, 160, 0, 0, 10, 30, 1, 6, 
200, 8, -6, 160, 0, 0, 10, 30, 1, 5, 
200, 8, -5, 160, 0, 0, 10, 30, 0, 5, 
200, 8, -7, 160, 0, 0, 8, 32, 0, 7, 
200, 8, -10, 160, 0, 0, 8, 32, 1, 9, 
200, 8, -9, 160, 0, 0, 7, 33, 1, 8, 
200, 8, -9, 159, 0, 1, 7, 33, 1, 8, 
200, 8, -9, 159, 0, 1, 4, 36, 1, 8, 
200, 8, -10, 159, 0, 1, 4, 36, 1, 9, 
200, 8, -6, 159, 0, 1, 4, 36, 0, 6, 
200, 8, -6, 159, 0, 1, 4, 36, 0, 6, 
200, 8, -6, 158, 0, 2, 4, 36, 0, 6, 
200, 8, -6, 158, 0, 2, 4, 36, 0, 6, 
200, 8, -4, 158, 0, 2, 3, 37, 0, 4, 
200, 8, -6, 156, 0, 4, 3, 37, 0, 6, 
