N, Q, S, P_0, P_1, P_2, R_1, R_2, A_1, A_2, 
200, 8, 40, 160, 0, 0, 0, 0, 0, 0, 
200, 8, 28, 160, 0, 0, 4, 2, 4, 2, 
200, 8, 14, 160, 0, 0, 8, 5, 8, 5, 
200, 8, 0, 160, 0, 0, 12, 8, 12, 8, 
200, 8, -10, 160, 0, 0, 15, 10, 15, 10, 
200, 8, -18, 160, 0, 0, 19, 10, 19, 10, 
200, 8, -20, 160, 0, 0, 21, 12, 17, 10, 
200, 8, -15, 160, 0, 0, 22, 12, 14, 7, 
200, 8, -12, 160, 0, 0, 23, 13, 12, 4, 
200, 8, -8, 160, 0, 0, 22, 14, 9, 3, 
200, 8, -6, 160, 0, 0, 22, 14, 6, 4, 
200, 8, -3, 160, 0, 0, 20, 16, 4, 3, 
200, 8, -7, 160, 0, 0, 19, 18, 4, 6, 
200, 8, -7, 160, 0, 0, 18, 19, 2, 8, 
200, 8, -8, 160, 0, 0, 17, 20, 3, 8, 
200, 8, -9, 160, 0, 0, 17, 20, 2, 10, 
200, 8, -15, 160, 0, 0, 18, 21, 3, 13, 
200, 8, -13, 160, 0, 0, 17, 22, 3, 11, 
200, 8, -12, 160, 0, 0, 17, 22, 3, 10, 
200, 8, -10, 160, 0, 0, 16, 23, 2, 9, 
200, 8, -8, 160, 0, 0, 15, 24, 2, 7, 
200, 8, -5, 160, 0, 0, 15, 24, 1, 5, 
200, 8, -3, 160, 0, 0, 14, 25, 0, 4, 
200, 8, -3, 160, 0, 0, 13, 26, 0, 4, 
200, 8, -6, 160, 0, 0, 13, 26, 0, 7, 
200, 8, -8, 160, 0, 0, 13, 27, 1, 7, 
200, 8, -9, 160, 0, 0, 13, 27, 1, 8, 
200, 8, -9, 160, 0, 0, 13, 27, 1, 8, 
200, 8, -9, 160, 0, 0, 12, 28, 1, 8, 
200, 8, -7, 160, 0, 0, 12, 28, 1, 6, 
200, 8, -5, 160, 0, 0, 12, 28, 0, 5, 
200, 8, -2, 159, 0, 1, 12, 28, 0, 2, 
200, 8, -4, 158, 0, 2, 12, 28, 0, 4, 
200, 8, -4, 158, 0, 2, 11, 29, 0, 4, 
200, 8, -6, 158, 0, 2, 11, 29, 0, 6, 
200, 8, -7, 158, 0, 2, 11, 29, 0, 7, 
200, 8, -9, 156, 1, 3, 11, 29, 1, 8, 
200, 8, -9, 155, 1, 4, 11, 29, 2, 7, 
200, 8, -9, 155, 1, 4, 11, 29, 2, 7, 
200, 8, -7, 155, 1, 4, 11, 29, 2, 5, 
200, 8, -10, 154, 1, 5, 11, 29, 4, 6, 
200, 8, -12, 153, 1, 6, 11, 29, 4, 8, 
200, 8, -10, 152, 1, 7, 11, 29, 3, 7, 
200, 8, -9, 152, 1, 7, 11, 29, 3, 6, 
200, 8, -8, 151, 2, 7, 10, 30, 3, 5, 
200, 8, -6, 151, 2, 7, 9, 31, 1, 5, 
200, 8, -5, 148, 4, 8, 9, 31, 0, 5, 
200, 8, -5, 147, 4, 9, 9, 31, 0, 5, 
200, 8, -6, 147, 4, 9, 9, 31, 1, 5, 
200, 8, -8, 146, 4, 10, 9, 31, 1, 7, 
200, 8, -8, 146, 4, 10, 9, 31, 1, 7, 
200, 8, -6, 145, 4, 11, 9, 31, 1, 5, 
200, 8, -6, 143, 4, 13, 9, 31, 1, 5, 
200, 8, -9, 143, 4, 13, 9, 31, 1, 8, 
200, 8, -7, 142, 5, 13, 9, 31, 1, 6, 
200, 8, -5, 138, 6, 16, 9, 31, 1, 4, 
200, 8, -6, 135, 8, 17, 8, 32, 1, 5, 
200, 8, -8, 134, 8, 18, 8, 32, 2, 6, 
200, 8, -5, 134, 8, 18, 9, 31, 1, 4, 
200, 8, -7, 133, 8, 19, 9, 31, 2, 5, 
200, 8, -7, 133, 8, 19, 9, 31, 2, 5, 
200, 8, -6, 131, 8, 21, 9, 31, 2, 4, 
200, 8, -3, 129, 8, 23, 9, 31, 1, 2, 
200, 8, -3, 129, 8, 23, 9, 31, 2, 1, 
200, 8, -3, 127, 9, 24, 9, 31, 2, 1, 
200, 8, -4, 123, 10, 27, 9, 31, 2, 2, 
200, 8, -5, 118, 13, 29, 9, 31, 2, 3, 
200, 8, -5, 117, 13, 30, 8, 32, 2, 3, 
200, 8, -7, 117, 13, 30, 8, 32, 1, 6, 
200, 8, -5, 115, 13, 32, 8, 32, 0, 5, 
200, 8, -4, 115, 13, 32, 8, 32, 0, 4, 
200, 8, -3, 113, 13, 34, 8, 32, 0, 3, 
200, 8, -4, 112, 13, 35, 7, 32, 1, 4, 
200, 8, -1, 112, 13, 35, 7, 32, 1, 1, 
200, 8, -2, 110, 14, 36, 7, 32, 1, 2, 
200, 8, -5, 107, 14, 39, 7, 32, 1, 5, 
200, 8, -6, 102, 17, 41, 7, 32, 1, 6, 
200, 8, -4, 101, 17, 42, 7, 32, 0, 5, 
200, 8, -6, 101, 17, 42, 7, 32, 0, 7, 
200, 8, -6, 99, 17, 44, 7, 32, 0, 7, 
200, 8, -3, 99, 17, 44, 7, 32, 0, 4, 
200, 8, -4, 96, 17, 47, 7, 32, 0, 5, 
200, 8, -5, 94, 17, 49, 7, 32, 0, 6, 
200, 8, -4, 94, 17, 49, 7, 32, 0, 5, 
200, 8, -5, 92, 18, 50, 7, 32, 1, 5, 
200, 8, -6, 88, 18, 54, 7, 32, 1, 6, 
200, 8, -5, 85, 20, 55, 7, 32, 1, 5, 
200, 8, -4, 84, 20, 56, 7, 32, 1, 4, 
200, 8, -4, 84, 20, 56, 7, 32, 2, 3, 
200, 8, -2, 82, 20, 58, 7, 32, 1, 2, 
200, 8, -1, 82, 20, 58, 7, 32, 1, 1, 
200, 8, -1, 79, 20, 61, 7, 32, 1, 1, 
200, 8, -1, 76, 20, 64, 7, 32, 1, 1, 
200, 8, 0, 76, 20, 64, 7, 32, 0, 1, 
200, 8, 0, 75, 21, 64, 7, 32, 0, 1, 
200, 8, 0, 71, 21, 68, 7, 32, 0, 1, 
200, 8, 0, 64, 24, 72, 7, 32, 0, 1, 
200, 8, -2, 63, 24, 73, 7, 32, 1, 2, 
200, 8, -2, 63, 24, 73, 7, 32, 1, 2, 
200, 8, -3, 61, 24, 75, 7, 32, 1, 3, 
200, 8, -3, 61, 24, 75, 7, 32, 1, 3, 
200, 8, -3, 57, 24, 79, 7, 32, 1, 3, 
200, 8, -1, 54, 24, 82, 7, 32, 0, 2, 
200, 8, -3, 53, 24, 83, 7, 32, 1, 3, 
200, 8, -3, 52, 25, 83, 7, 32, 1, 3, 
200, 8, -3, 48, 25, 87, 6, 33, 1, 3, 
200, 8, -3, 41, 28, 91, 6, 33, 1, 3, 
200, 8, -3, 40, 28, 92, 6, 33, 1, 3, 
200, 8, -1, 40, 28, 92, 6, 33, 0, 2, 
200, 8, 0, 37, 28, 95, 6, 33, 0, 1, 
200, 8, -1, 37, 28, 95, 6, 33, 0, 2, 
200, 8, 0, 32, 28, 100, 6, 33, 0, 1, 
200, 8, 0, 29, 28, 103, 6, 33, 0, 1, 
200, 8, -2, 27, 29, 104, 6, 33, 1, 2, 
200, 8, -3, 25, 30, 105, 6, 33, 1, 3, 
200, 8, -3, 21, 30, 109, 6, 33, 2, 2, 
200, 8, -4, 15, 32, 113, 6, 33, 3, 2, 
200, 8, -4, 14, 32, 114, 6, 33, 3, 2, 
200, 8, -2, 14, 32, 114, 6, 33, 2, 1, 
200, 8, -1, 11, 32, 117, 6, 33, 2, 0, 
200, 8, 0, 11, 32, 117, 6, 33, 1, 0, 
200, 8, 0, 5, 33, 122, 6, 33, 0, 1, 
200, 8, -1, 3, 33, 124, 6, 33, 0, 2, 
200, 8, -1, 2, 33, 125, 6, 33, 0, 2, 
200, 8, -1, 1, 34, 125, 6, 33, 0, 2, 
