N, Q, S, P_0, P_1, P_2, R_1, R_2, A_1, A_2, 
200, 8, 40, 160, 0, 0, 0, 0, 0, 0, 
200, 8, 12, 160, 0, 0, 9, 5, 9, 5, 
200, 8, 2, 160, 0, 0, 13, 6, 13, 6, 
200, 8, -8, 160, 0, 0, 15, 9, 15, 9, 
200, 8, -14, 160, 0, 0, 17, 10, 17, 10, 
200, 8, -16, 160, 0, 0, 17, 11, 17, 11, 
200, 8, -6, 160, 0, 0, 19, 11, 10, 6, 
200, 8, -5, 160, 0, 0, 20, 12, 7, 6, 
200, 8, -2, 160, 0, 0, 21, 12, 6, 3, 
200, 8, -1, 160, 0, 0, 22, 12, 5, 2, 
200, 8, -7, 160, 0, 0, 23, 14, 6, 4, 
200, 8, -15, 160, 0, 0, 23, 17, 6, 9, 
200, 8, -15, 160, 0, 0, 23, 17, 5, 10, 
200, 8, -14, 160, 0, 0, 22, 18, 4, 10, 
200, 8, -15, 160, 0, 0, 22, 18, 4, 11, 
200, 8, -11, 160, 0, 0, 22, 18, 3, 8, 
200, 8, -5, 160, 0, 0, 22, 18, 2, 3, 
200, 8, -4, 160, 0, 0, 23, 17, 3, 1, 
200, 8, -6, 160, 0, 0, 23, 17, 5, 1, 
200, 8, -5, 160, 0, 0, 22, 18, 5, 0, 
200, 8, -7, 160, 0, 0, 22, 18, 5, 2, 
200, 8, -8, 160, 0, 0, 21, 19, 4, 4, 
200, 8, -11, 160, 0, 0, 21, 19, 3, 8, 
200, 8, -9, 160, 0, 0, 21, 19, 1, 8, 
200, 8, -8, 160, 0, 0, 21, 19, 0, 8, 
200, 8, -9, 160, 0, 0, 20, 20, 2, 7, 
200, 8, -10, 160, 0, 0, 19, 21, 3, 7, 
200, 8, -8, 160, 0, 0, 19, 21, 4, 4, 
200, 8, -10, 160, 0, 0, 19, 21, 4, 6, 
200, 8, -11, 159, 1, 0, 19, 21, 4, 7, 
200, 8, -9, 159, 1, 0, 19, 21, 3, 6, 
200, 8, -8, 158, 2, 0, 19, 21, 3, 5, 
200, 8, -7, 158, 2, 0, 19, 21, 2, 5, 
200, 8, -5, 157, 3, 0, 19, 21, 2, 3, 
200, 8, -4, 157, 3, 0, 19, 21, 2, 2, 
200, 8, -5, 157, 3, 0, 18, 22, 2, 3, 
200, 8, -6, 157, 3, 0, 18, 22, 1, 5, 
200, 8, -5, 155, 3, 2, 18, 22, 1, 4, 
200, 8, -7, 155, 3, 2, 17, 23, 2, 5, 
200, 8, -9, 154, 4, 2, 17, 23, 2, 7, 
200, 8, -9, 153, 4, 3, 17, 23, 2, 7, 
200, 8, -6, 152, 5, 3, 16, 24, 2, 4, 
200, 8, -7, 152, 5, 3, 15, 25, 2, 5, 
200, 8, -6, 151, 6, 3, 15, 25, 1, 5, 
200, 8, -5, 151, 6, 3, 15, 25, 1, 4, 
200, 8, -3, 151, 6, 3, 15, 25, 0, 3, 
200, 8, -3, 151, 6, 3, 15, 25, 0, 3, 
200, 8, -2, 148, 6, 6, 15, 25, 0, 2, 
200, 8, -4, 148, 6, 6, 15, 25, 2, 2, 
200, 8, -3, 146, 7, 7, 15, 25, 2, 1, 
200, 8, -7, 144, 8, 8, 15, 25, 3, 4, 
200, 8, -7, 143, 9, 8, 15, 25, 3, 4, 
200, 8, -9, 143, 9, 8, 14, 26, 4, 5, 
200, 8, -9, 142, 10, 8, 14, 26, 3, 6, 
200, 8, -9, 140, 12, 8, 14, 26, 3, 6, 
200, 8, -5, 139, 12, 9, 14, 26, 2, 3, 
200, 8, -5, 138, 12, 10, 14, 26, 2, 3, 
200, 8, -6, 135, 12, 13, 14, 26, 2, 4, 
200, 8, -3, 135, 12, 13, 13, 27, 1, 2, 
200, 8, -5, 133, 13, 14, 12, 28, 1, 4, 
200, 8, -6, 131, 14, 15, 12, 28, 1, 5, 
200, 8, -6, 129, 15, 16, 12, 28, 1, 5, 
200, 8, -3, 129, 15, 16, 12, 28, 0, 3, 
200, 8, -3, 128, 16, 16, 12, 28, 0, 3, 
200, 8, -4, 126, 18, 16, 12, 28, 2, 2, 
200, 8, -5, 124, 18, 18, 13, 27, 2, 3, 
200, 8, -7, 123, 18, 19, 13, 27, 3, 4, 
200, 8, -7, 120, 18, 22, 12, 28, 3, 4, 
200, 8, -8, 120, 18, 22, 12, 28, 3, 5, 
200, 8, -6, 118, 18, 24, 12, 28, 2, 4, 
200, 8, -4, 116, 19, 25, 11, 28, 2, 3, 
200, 8, -5, 115, 19, 26, 11, 28, 1, 5, 
200, 8, -7, 114, 19, 27, 11, 28, 2, 6, 
200, 8, -7, 114, 19, 27, 10, 29, 2, 6, 
200, 8, -7, 111, 21, 28, 10, 29, 1, 7, 
200, 8, -7, 109, 21, 30, 10, 29, 1, 7, 
200, 8, -5, 108, 21, 31, 10, 29, 1, 5, 
200, 8, -4, 105, 21, 34, 10, 29, 0, 5, 
200, 8, -4, 103, 23, 34, 10, 29, 0, 5, 
200, 8, -4, 101, 23, 36, 10, 29, 1, 4, 
200, 8, -4, 98, 24, 38, 10, 29, 1, 4, 
200, 8, -3, 97, 24, 39, 10, 29, 1, 3, 
200, 8, -3, 96, 24, 40, 10, 29, 1, 3, 
200, 8, -2, 96, 24, 40, 10, 29, 1, 2, 
200, 8, -4, 93, 26, 41, 9, 30, 2, 3, 
200, 8, -5, 92, 26, 42, 9, 30, 3, 3, 
200, 8, -7, 91, 26, 43, 9, 30, 3, 5, 
200, 8, -7, 89, 26, 45, 9, 30, 3, 5, 
200, 8, -8, 87, 28, 45, 9, 30, 3, 6, 
200, 8, -6, 85, 28, 47, 9, 30, 1, 6, 
200, 8, -5, 81, 29, 50, 9, 30, 1, 5, 
200, 8, -3, 79, 29, 52, 9, 30, 1, 3, 
200, 8, -3, 77, 29, 54, 9, 30, 2, 2, 
200, 8, -2, 77, 29, 54, 9, 30, 2, 1, 
200, 8, -2, 76, 29, 55, 9, 30, 2, 1, 
200, 8, -2, 75, 29, 56, 9, 30, 1, 2, 
200, 8, -3, 74, 29, 57, 9, 30, 1, 3, 
200, 8, -2, 72, 29, 59, 9, 30, 0, 3, 
200, 8, -5, 70, 31, 59, 9, 30, 1, 5, 
200, 8, -5, 65, 33, 62, 9, 30, 1, 5, 
200, 8, -5, 61, 34, 65, 8, 31, 1, 5, 
200, 8, -4, 60, 34, 66, 7, 31, 0, 6, 
200, 8, -5, 57, 34, 69, 7, 31, 0, 7, 
200, 8, -4, 57, 34, 69, 7, 31, 0, 6, 
200, 8, -3, 56, 34, 70, 7, 31, 0, 5, 
200, 8, -2, 55, 34, 71, 7, 31, 0, 4, 
200, 8, 0, 54, 34, 72, 7, 31, 0, 2, 
200, 8, 0, 51, 34, 75, 7, 31, 0, 2, 
200, 8, 0, 49, 36, 75, 7, 31, 0, 2, 
200, 8, -1, 44, 38, 78, 7, 31, 1, 2, 
200, 8, -2, 39, 39, 82, 7, 31, 1, 3, 
200, 8, -2, 37, 39, 84, 7, 31, 1, 3, 
200, 8, -1, 35, 39, 86, 7, 31, 1, 2, 
200, 8, -1, 35, 39, 86, 7, 31, 2, 1, 
200, 8, 0, 32, 39, 89, 7, 31, 1, 1, 
200, 8, 0, 31, 39, 90, 7, 31, 1, 1, 
200, 8, -1, 29, 39, 92, 7, 31, 2, 1, 
200, 8, -1, 26, 39, 95, 7, 31, 2, 1, 
200, 8, -1, 24, 41, 95, 7, 31, 1, 2, 
200, 8, -2, 19, 43, 98, 7, 31, 1, 3, 
200, 8, -3, 14, 44, 102, 7, 31, 1, 4, 
