N, Q, S, P_0, P_1, P_2, R_1, R_2, A_1, A_2, 
200, 8, 40, 160, 0, 0, 0, 0, 0, 0, 
200, 8, 22, 160, 0, 0, 3, 6, 3, 6, 
200, 8, 6, 160, 0, 0, 6, 11, 6, 11, 
200, 8, -8, 160, 0, 0, 8, 16, 8, 16, 
200, 8, -16, 160, 0, 0, 11, 17, 11, 17, 
200, 8, -18, 160, 0, 0, 11, 18, 11, 18, 
200, 8, -17, 160, 0, 0, 12, 21, 9, 15, 
200, 8, -12, 160, 0, 0, 12, 22, 7, 11, 
200, 8, -8, 160, 0, 0, 13, 22, 7, 6, 
200, 8, -12, 160, 0, 0, 14, 24, 6, 8, 
200, 8, -11, 160, 0, 0, 14, 24, 6, 7, 
200, 8, -8, 160, 0, 0, 14, 24, 5, 5, 
200, 8, -12, 160, 0, 0, 15, 25, 6, 6, 
200, 8, -12, 160, 0, 0, 15, 25, 5, 7, 
200, 8, -7, 160, 0, 0, 14, 26, 3, 4, 
200, 8, -10, 160, 0, 0, 14, 26, 4, 6, 
200, 8, -10, 160, 0, 0, 14, 26, 4, 6, 
200, 8, -8, 160, 0, 0, 14, 26, 3, 5, 
200, 8, -7, 160, 0, 0, 14, 26, 2, 5, 
200, 8, -7, 160, 0, 0, 14, 26, 2, 5, 
200, 8, -4, 160, 0, 0, 14, 26, 1, 3, 
200, 8, -4, 160, 0, 0, 14, 26, 1, 3, 
200, 8, -5, 160, 0, 0, 14, 26, 1, 4, 
200, 8, -6, 160, 0, 0, 14, 26, 2, 4, 
200, 8, -8, 160, 0, 0, 14, 26, 2, 6, 
200, 8, -9, 160, 0, 0, 14, 26, 2, 7, 
200, 8, -10, 160, 0, 0, 14, 26, 2, 8, 
200, 8, -7, 159, 0, 1, 14, 26, 1, 6, 
200, 8, -7, 159, 0, 1, 12, 28, 0, 7, 
200, 8, -10, 159, 0, 1, 12, 28, 1, 9, 
200, 8, -9, 159, 0, 1, 12, 28, 1, 8, 
200, 8, -7, 159, 0, 1, 12, 28, 1, 6, 
200, 8, -8, 157, 1, 2, 12, 28, 1, 7, 
200, 8, -8, 157, 1, 2, 11, 29, 2, 6, 
200, 8, -4, 156, 1, 3, 11, 29, 1, 3, 
200, 8, -8, 155, 1, 4, 11, 29, 1, 7, 
200, 8, -8, 155, 1, 4, 11, 29, 1, 7, 
200, 8, -7, 154, 1, 5, 11, 29, 1, 6, 
200, 8, -6, 154, 1, 5, 11, 29, 1, 5, 
200, 8, -6, 153, 2, 5, 11, 29, 1, 5, 
200, 8, -5, 152, 3, 5, 11, 29, 1, 4, 
200, 8, -7, 152, 3, 5, 11, 29, 1, 6, 
200, 8, -8, 149, 4, 7, 10, 30, 1, 7, 
200, 8, -8, 149, 4, 7, 10, 30, 0, 8, 
200, 8, -8, 148, 4, 8, 10, 30, 0, 8, 
200, 8, -6, 147, 4, 9, 10, 30, 1, 5, 
200, 8, -4, 146, 4, 10, 10, 30, 1, 3, 
200, 8, -3, 144, 5, 11, 10, 30, 1, 2, 
200, 8, -4, 144, 5, 11, 10, 30, 1, 3, 
200, 8, -3, 142, 6, 12, 10, 30, 1, 2, 
200, 8, -3, 140, 7, 13, 10, 30, 0, 3, 
