N, Q, S, P_0, P_1, P_2, R_1, R_2, A_1, A_2, 
200, 8, 40, 160, 0, 0, 0, 0, 0, 0, 
200, 8, 24, 160, 0, 0, 5, 3, 5, 3, 
200, 8, 4, 160, 0, 0, 12, 6, 12, 6, 
200, 8, -10, 160, 0, 0, 17, 8, 17, 8, 
200, 8, -20, 160, 0, 0, 19, 11, 19, 11, 
200, 8, -28, 160, 0, 0, 19, 15, 19, 15, 
200, 8, -26, 160, 0, 0, 20, 17, 15, 14, 
200, 8, -17, 160, 0, 0, 20, 17, 9, 11, 
200, 8, -10, 160, 0, 0, 20, 17, 4, 9, 
200, 8, -7, 160, 0, 0, 20, 18, 2, 7, 
200, 8, -5, 160, 0, 0, 21, 18, 3, 3, 
200, 8, -3, 160, 0, 0, 21, 18, 3, 1, 
200, 8, -2, 160, 0, 0, 20, 19, 2, 1, 
200, 8, -5, 160, 0, 0, 21, 19, 3, 2, 
200, 8, -4, 160, 0, 0, 20, 20, 3, 1, 
200, 8, -8, 160, 0, 0, 20, 20, 3, 5, 
200, 8, -8, 160, 0, 0, 20, 20, 2, 6, 
200, 8, -9, 160, 0, 0, 20, 20, 2, 7, 
200, 8, -8, 160, 0, 0, 20, 20, 2, 6, 
200, 8, -9, 160, 0, 0, 20, 20, 3, 6, 
200, 8, -6, 160, 0, 0, 20, 20, 3, 3, 
200, 8, -6, 160, 0, 0, 20, 20, 3, 3, 
200, 8, -5, 160, 0, 0, 20, 20, 3, 2, 
200, 8, -4, 160, 0, 0, 20, 20, 2, 2, 
200, 8, -5, 160, 0, 0, 20, 20, 3, 2, 
200, 8, -4, 160, 0, 0, 20, 20, 2, 2, 
200, 8, -5, 160, 0, 0, 20, 20, 2, 3, 
200, 8, -6, 159, 0, 1, 20, 20, 2, 4, 
200, 8, -8, 159, 0, 1, 20, 20, 3, 5, 
200, 8, -7, 159, 0, 1, 20, 20, 2, 5, 
200, 8, -7, 159, 0, 1, 20, 20, 3, 4, 
200, 8, -6, 157, 0, 3, 20, 20, 4, 2, 
200, 8, -7, 156, 1, 3, 19, 21, 5, 2, 
200, 8, -7, 155, 1, 4, 19, 21, 5, 2, 
200, 8, -7, 154, 2, 4, 19, 21, 5, 2, 
200, 8, -7, 153, 2, 5, 18, 22, 4, 3, 
200, 8, -9, 153, 2, 5, 18, 22, 3, 6, 
200, 8, -7, 152, 2, 6, 17, 23, 2, 5, 
200, 8, -7, 151, 3, 6, 17, 23, 1, 6, 
200, 8, -6, 151, 3, 6, 16, 24, 0, 6, 
200, 8, -8, 151, 3, 6, 16, 24, 0, 8, 
200, 8, -5, 149, 3, 8, 16, 24, 0, 5, 
200, 8, -5, 147, 4, 9, 16, 24, 0, 5, 
200, 8, -4, 146, 4, 10, 16, 24, 1, 3, 
200, 8, -4, 145, 5, 10, 16, 24, 1, 3, 
