N, Q, S, P_0, P_1, P_2, R_1, R_2, A_1, A_2, 
200, 8, 40, 160, 0, 0, 0, 0, 0, 0, 
200, 8, 8, 160, 0, 0, 8, 8, 8, 8, 
200, 8, -6, 160, 0, 0, 12, 11, 12, 11, 
200, 8, -18, 160, 0, 0, 15, 14, 15, 14, 
200, 8, -24, 160, 0, 0, 17, 15, 17, 15, 
200, 8, -30, 160, 0, 0, 19, 16, 19, 16, 
200, 8, -16, 160, 0, 0, 18, 18, 11, 9, 
200, 8, -10, 160, 0, 0, 18, 18, 7, 7, 
200, 8, -11, 160, 0, 0, 21, 18, 7, 5, 
200, 8, -11, 160, 0, 0, 21, 19, 6, 5, 
200, 8, -8, 160, 0, 0, 21, 19, 4, 4, 
200, 8, -8, 160, 0, 0, 20, 20, 5, 3, 
200, 8, -11, 160, 0, 0, 20, 20, 6, 5, 
200, 8, -8, 160, 0, 0, 20, 20, 3, 5, 
200, 8, -6, 160, 0, 0, 20, 20, 2, 4, 
200, 8, -7, 160, 0, 0, 20, 20, 2, 5, 
200, 8, -7, 160, 0, 0, 20, 20, 1, 6, 
200, 8, -4, 160, 0, 0, 20, 20, 0, 4, 
200, 8, -3, 160, 0, 0, 20, 20, 0, 3, 
200, 8, -4, 160, 0, 0, 19, 21, 0, 4, 
200, 8, -5, 160, 0, 0, 19, 21, 0, 5, 
200, 8, -5, 160, 0, 0, 19, 21, 0, 5, 
200, 8, -6, 160, 0, 0, 18, 22, 1, 5, 
200, 8, -7, 160, 0, 0, 17, 23, 1, 6, 
200, 8, -8, 160, 0, 0, 17, 23, 1, 7, 
200, 8, -6, 160, 0, 0, 16, 24, 1, 5, 
200, 8, -6, 160, 0, 0, 15, 25, 1, 5, 
200, 8, -7, 160, 0, 0, 15, 25, 0, 7, 
200, 8, -8, 160, 0, 0, 14, 26, 1, 7, 
200, 8, -8, 159, 1, 0, 14, 26, 2, 6, 
200, 8, -8, 159, 1, 0, 14, 26, 2, 6, 
200, 8, -8, 159, 1, 0, 13, 27, 2, 6, 
200, 8, -9, 159, 1, 0, 13, 27, 4, 5, 
200, 8, -8, 159, 1, 0, 13, 27, 3, 5, 
200, 8, -9, 159, 1, 0, 13, 27, 3, 6, 
200, 8, -9, 159, 1, 0, 13, 27, 3, 6, 
200, 8, -9, 158, 1, 1, 13, 27, 3, 6, 
200, 8, -5, 158, 1, 1, 13, 27, 1, 4, 
200, 8, -4, 157, 1, 2, 13, 27, 1, 3, 
200, 8, -3, 156, 2, 2, 13, 27, 0, 3, 
200, 8, -6, 156, 2, 2, 13, 27, 0, 6, 
200, 8, -5, 156, 2, 2, 13, 27, 0, 5, 
200, 8, -5, 156, 2, 2, 13, 27, 0, 5, 
200, 8, -7, 156, 2, 2, 13, 27, 2, 5, 
200, 8, -6, 156, 2, 2, 13, 27, 2, 4, 
200, 8, -3, 156, 2, 2, 13, 27, 2, 1, 
200, 8, -4, 154, 2, 4, 13, 27, 2, 2, 
200, 8, -4, 153, 2, 5, 12, 28, 2, 2, 
200, 8, -4, 150, 2, 8, 12, 28, 0, 4, 
200, 8, -6, 148, 3, 9, 12, 28, 2, 4, 
200, 8, -8, 148, 3, 9, 12, 28, 2, 6, 
200, 8, -7, 147, 4, 9, 12, 28, 2, 5, 
200, 8, -7, 146, 4, 10, 12, 28, 2, 5, 
200, 8, -5, 146, 4, 10, 12, 28, 2, 3, 
200, 8, -2, 145, 4, 11, 12, 28, 0, 2, 
200, 8, -1, 144, 4, 12, 12, 28, 0, 1, 
200, 8, -3, 142, 4, 14, 12, 28, 0, 3, 
200, 8, -4, 140, 5, 15, 12, 28, 0, 4, 
200, 8, -5, 138, 5, 17, 11, 28, 1, 5, 
200, 8, -5, 136, 6, 18, 11, 28, 1, 5, 
200, 8, -4, 135, 7, 18, 10, 29, 1, 4, 
200, 8, -4, 132, 9, 19, 10, 29, 1, 4, 
200, 8, -5, 131, 9, 20, 10, 29, 1, 5, 
200, 8, -3, 131, 9, 20, 10, 29, 0, 4, 
200, 8, -5, 131, 9, 20, 10, 29, 0, 6, 
200, 8, -7, 130, 10, 20, 10, 29, 1, 7, 
200, 8, -6, 128, 10, 22, 10, 29, 1, 6, 
