N, Q, S, P_0, P_1, P_2, R_1, R_2, A_1, A_2, 
200, 8, 40, 160, 0, 0, 0, 0, 0, 0, 
200, 8, 16, 160, 0, 0, 6, 6, 6, 6, 
200, 8, -2, 160, 0, 0, 10, 11, 10, 11, 
200, 8, -10, 160, 0, 0, 12, 13, 12, 13, 
200, 8, -18, 160, 0, 0, 13, 16, 13, 16, 
200, 8, -22, 160, 0, 0, 13, 18, 13, 18, 
200, 8, -12, 160, 0, 0, 14, 18, 8, 12, 
200, 8, -7, 160, 0, 0, 14, 20, 4, 9, 
200, 8, -6, 160, 0, 0, 15, 20, 3, 8, 
200, 8, -5, 160, 0, 0, 15, 21, 3, 6, 
200, 8, -5, 160, 0, 0, 16, 21, 4, 4, 
200, 8, -8, 160, 0, 0, 14, 24, 3, 7, 
200, 8, -8, 160, 0, 0, 13, 25, 3, 7, 
200, 8, -11, 160, 0, 0, 14, 25, 3, 9, 
200, 8, -10, 160, 0, 0, 14, 25, 2, 9, 
200, 8, -10, 160, 0, 0, 14, 25, 2, 9, 
200, 8, -7, 160, 0, 0, 14, 25, 2, 6, 
200, 8, -8, 160, 0, 0, 15, 25, 3, 5, 
200, 8, -5, 160, 0, 0, 15, 25, 2, 3, 
200, 8, -7, 160, 0, 0, 15, 25, 2, 5, 
200, 8, -7, 160, 0, 0, 15, 25, 1, 6, 
200, 8, -7, 160, 0, 0, 15, 25, 1, 6, 
200, 8, -6, 160, 0, 0, 15, 25, 0, 6, 
200, 8, -6, 160, 0, 0, 14, 26, 0, 6, 
200, 8, -6, 160, 0, 0, 13, 27, 0, 6, 
200, 8, -7, 160, 0, 0, 11, 29, 1, 6, 
200, 8, -9, 160, 0, 0, 11, 29, 1, 8, 
200, 8, -8, 160, 0, 0, 11, 29, 1, 7, 
200, 8, -7, 159, 0, 1, 10, 30, 1, 6, 
200, 8, -5, 159, 0, 1, 10, 30, 1, 4, 
200, 8, -3, 159, 0, 1, 10, 30, 0, 3, 
200, 8, -2, 159, 0, 1, 10, 30, 0, 2, 
200, 8, -2, 159, 0, 1, 10, 30, 0, 2, 
200, 8, -4, 159, 0, 1, 10, 30, 0, 4, 
200, 8, -4, 157, 0, 3, 10, 30, 0, 4, 
200, 8, -5, 157, 0, 3, 10, 30, 0, 5, 
200, 8, -5, 157, 0, 3, 10, 30, 1, 4, 
200, 8, -7, 157, 0, 3, 10, 30, 1, 6, 
200, 8, -5, 156, 0, 4, 10, 30, 1, 4, 
200, 8, -5, 155, 0, 5, 10, 30, 1, 4, 
200, 8, -5, 155, 0, 5, 10, 30, 2, 3, 
200, 8, -4, 154, 0, 6, 10, 30, 1, 3, 
200, 8, -2, 154, 0, 6, 10, 30, 1, 1, 
