N, Q, S, P_0, P_1, P_2, R_1, R_2, A_1, A_2, 
200, 8, 40, 160, 0, 0, 0, 0, 0, 0, 
200, 8, 12, 160, 0, 0, 8, 6, 8, 6, 
200, 8, 4, 160, 0, 0, 11, 7, 11, 7, 
200, 8, -14, 160, 0, 0, 18, 9, 18, 9, 
200, 8, -24, 160, 0, 0, 21, 11, 21, 11, 
200, 8, -28, 160, 0, 0, 23, 11, 23, 11, 
200, 8, -20, 160, 0, 0, 25, 12, 17, 6, 
200, 8, -22, 160, 0, 0, 25, 15, 14, 8, 
200, 8, -14, 160, 0, 0, 25, 15, 7, 7, 
200, 8, -9, 160, 0, 0, 24, 16, 4, 5, 
200, 8, -9, 160, 0, 0, 21, 19, 3, 6, 
200, 8, -9, 160, 0, 0, 20, 20, 1, 8, 
200, 8, -8, 160, 0, 0, 20, 20, 2, 6, 
200, 8, -10, 160, 0, 0, 20, 20, 4, 6, 
200, 8, -10, 160, 0, 0, 20, 20, 4, 6, 
200, 8, -8, 160, 0, 0, 20, 20, 3, 5, 
200, 8, -6, 160, 0, 0, 20, 20, 3, 3, 
200, 8, -4, 160, 0, 0, 18, 22, 2, 2, 
200, 8, -5, 160, 0, 0, 17, 23, 1, 4, 
200, 8, -6, 160, 0, 0, 17, 23, 1, 5, 
200, 8, -10, 160, 0, 0, 17, 23, 1, 9, 
200, 8, -9, 160, 0, 0, 17, 23, 1, 8, 
200, 8, -11, 160, 0, 0, 17, 23, 1, 10, 
200, 8, -9, 160, 0, 0, 17, 23, 1, 8, 
200, 8, -9, 160, 0, 0, 17, 23, 2, 7, 
200, 8, -5, 160, 0, 0, 15, 25, 2, 3, 
200, 8, -9, 160, 0, 0, 15, 25, 3, 6, 
200, 8, -7, 160, 0, 0, 15, 25, 3, 4, 
200, 8, -9, 160, 0, 0, 15, 25, 2, 7, 
200, 8, -10, 160, 0, 0, 15, 25, 1, 9, 
200, 8, -11, 159, 1, 0, 15, 25, 1, 10, 
200, 8, -8, 159, 1, 0, 15, 25, 0, 8, 
200, 8, -9, 158, 2, 0, 15, 25, 0, 9, 
200, 8, -5, 158, 2, 0, 15, 25, 0, 5, 
200, 8, -4, 158, 2, 0, 15, 25, 0, 4, 
200, 8, -3, 158, 2, 0, 15, 25, 0, 3, 
200, 8, -2, 156, 2, 2, 15, 25, 0, 2, 
200, 8, -1, 156, 2, 2, 15, 25, 0, 1, 
200, 8, -2, 156, 2, 2, 15, 25, 1, 1, 
200, 8, -2, 155, 3, 2, 15, 25, 2, 0, 
200, 8, -2, 154, 4, 2, 15, 25, 2, 0, 
200, 8, -4, 153, 4, 3, 15, 25, 2, 2, 
200, 8, -5, 152, 5, 3, 15, 25, 2, 3, 
200, 8, -4, 152, 5, 3, 13, 27, 1, 3, 
200, 8, -5, 152, 5, 3, 13, 27, 0, 5, 
200, 8, -5, 149, 6, 5, 12, 28, 0, 5, 
200, 8, -6, 147, 6, 7, 12, 28, 0, 6, 
