N, Q, S, P_0, P_1, P_2, R_1, R_2, A_1, A_2, 
200, 8, 40, 160, 0, 0, 0, 0, 0, 0, 
200, 8, 16, 160, 0, 0, 1, 11, 1, 11, 
200, 8, 2, 160, 0, 0, 2, 17, 2, 17, 
200, 8, -8, 160, 0, 0, 5, 19, 5, 19, 
200, 8, -18, 160, 0, 0, 8, 21, 8, 21, 
200, 8, -24, 160, 0, 0, 11, 21, 11, 21, 
200, 8, -16, 160, 0, 0, 12, 22, 11, 11, 
200, 8, -12, 160, 0, 0, 12, 23, 10, 7, 
200, 8, -11, 160, 0, 0, 12, 25, 7, 7, 
200, 8, -6, 160, 0, 0, 12, 25, 4, 5, 
200, 8, -10, 160, 0, 0, 14, 25, 3, 8, 
200, 8, -9, 160, 0, 0, 14, 25, 2, 8, 
200, 8, -9, 160, 0, 0, 14, 26, 2, 7, 
200, 8, -10, 160, 0, 0, 14, 26, 2, 8, 
200, 8, -10, 160, 0, 0, 14, 26, 2, 8, 
200, 8, -7, 160, 0, 0, 13, 27, 0, 7, 
200, 8, -9, 160, 0, 0, 13, 27, 0, 9, 
200, 8, -8, 160, 0, 0, 13, 27, 0, 8, 
200, 8, -5, 160, 0, 0, 11, 29, 0, 5, 
200, 8, -8, 160, 0, 0, 11, 29, 1, 7, 
200, 8, -7, 160, 0, 0, 11, 29, 1, 6, 
200, 8, -4, 160, 0, 0, 10, 30, 1, 3, 
200, 8, -7, 160, 0, 0, 10, 30, 1, 6, 
200, 8, -7, 160, 0, 0, 10, 30, 1, 6, 
200, 8, -5, 160, 0, 0, 10, 30, 0, 5, 
200, 8, -4, 160, 0, 0, 10, 30, 0, 4, 
200, 8, -6, 160, 0, 0, 10, 30, 1, 5, 
200, 8, -4, 160, 0, 0, 10, 30, 1, 3, 
200, 8, -5, 159, 1, 0, 10, 30, 1, 4, 
200, 8, -6, 159, 1, 0, 10, 30, 1, 5, 
200, 8, -6, 159, 1, 0, 10, 30, 1, 5, 
200, 8, -8, 159, 1, 0, 10, 30, 0, 8, 
200, 8, -7, 159, 1, 0, 10, 30, 0, 7, 
