N, Q, S, P_0, P_1, P_2, R_1, R_2, A_1, A_2, 
200, 8, 40, 160, 0, 0, 0, 0, 0, 0, 
200, 8, 28, 160, 0, 0, 4, 2, 4, 2, 
200, 8, 6, 160, 0, 0, 8, 9, 8, 9, 
200, 8, -8, 160, 0, 0, 12, 12, 12, 12, 
200, 8, -10, 160, 0, 0, 13, 12, 13, 12, 
200, 8, -16, 160, 0, 0, 15, 13, 15, 13, 
200, 8, -14, 160, 0, 0, 15, 15, 11, 13, 
200, 8, -7, 160, 0, 0, 17, 15, 9, 6, 
200, 8, -9, 160, 0, 0, 18, 17, 7, 7, 
200, 8, -10, 160, 0, 0, 18, 18, 6, 8, 
200, 8, -12, 160, 0, 0, 18, 19, 5, 10, 
200, 8, -12, 160, 0, 0, 17, 21, 5, 9, 
200, 8, -11, 160, 0, 0, 17, 21, 3, 10, 
200, 8, -5, 160, 0, 0, 17, 21, 1, 6, 
200, 8, -8, 160, 0, 0, 16, 23, 2, 7, 
200, 8, -8, 160, 0, 0, 15, 24, 1, 8, 
200, 8, -8, 160, 0, 0, 15, 24, 1, 8, 
200, 8, -8, 160, 0, 0, 15, 24, 1, 8, 
200, 8, -8, 160, 0, 0, 15, 24, 1, 8, 
200, 8, -8, 160, 0, 0, 14, 25, 1, 8, 
200, 8, -5, 160, 0, 0, 13, 26, 1, 5, 
200, 8, -6, 160, 0, 0, 13, 26, 2, 5, 
200, 8, -7, 160, 0, 0, 13, 26, 3, 5, 
200, 8, -12, 160, 0, 0, 13, 27, 5, 7, 
200, 8, -12, 160, 0, 0, 13, 27, 4, 8, 
200, 8, -12, 160, 0, 0, 13, 27, 5, 7, 
200, 8, -12, 160, 0, 0, 13, 27, 4, 8, 
200, 8, -12, 158, 1, 1, 13, 27, 3, 9, 
200, 8, -8, 158, 1, 1, 13, 27, 1, 7, 
200, 8, -6, 158, 1, 1, 13, 27, 1, 5, 
200, 8, -5, 157, 1, 2, 12, 28, 0, 5, 
200, 8, -4, 157, 1, 2, 12, 28, 0, 4, 
200, 8, -4, 157, 1, 2, 12, 28, 0, 4, 
200, 8, -4, 157, 1, 2, 12, 28, 0, 4, 
200, 8, -6, 157, 1, 2, 11, 29, 0, 6, 
200, 8, -9, 157, 1, 2, 11, 29, 0, 9, 
200, 8, -9, 157, 1, 2, 11, 29, 0, 9, 
200, 8, -9, 155, 2, 3, 10, 30, 1, 8, 
200, 8, -11, 155, 2, 3, 9, 31, 1, 10, 
200, 8, -9, 155, 2, 3, 9, 31, 1, 8, 
200, 8, -6, 153, 2, 5, 9, 31, 1, 5, 
200, 8, -5, 153, 2, 5, 9, 31, 1, 4, 
200, 8, -6, 153, 2, 5, 8, 32, 0, 6, 
200, 8, -6, 153, 2, 5, 8, 32, 0, 6, 
200, 8, -5, 152, 2, 6, 8, 32, 0, 5, 
200, 8, -9, 151, 3, 6, 8, 32, 0, 9, 
200, 8, -11, 151, 3, 6, 8, 32, 1, 10, 
200, 8, -8, 148, 4, 8, 7, 33, 1, 7, 
200, 8, -8, 147, 4, 9, 7, 33, 1, 7, 
200, 8, -11, 147, 4, 9, 6, 34, 2, 9, 
200, 8, -10, 146, 4, 10, 6, 34, 2, 8, 
200, 8, -10, 146, 4, 10, 6, 34, 1, 9, 
200, 8, -12, 146, 4, 10, 6, 34, 1, 11, 
200, 8, -11, 146, 4, 10, 6, 34, 1, 10, 
200, 8, -10, 145, 4, 11, 6, 34, 0, 10, 
200, 8, -8, 143, 5, 12, 6, 34, 0, 8, 
200, 8, -6, 143, 5, 12, 6, 34, 0, 6, 
200, 8, -6, 140, 6, 14, 6, 34, 0, 6, 
200, 8, -6, 139, 6, 15, 6, 34, 0, 6, 
200, 8, -5, 139, 6, 15, 6, 34, 0, 5, 
200, 8, -5, 138, 6, 16, 6, 34, 0, 5, 
200, 8, -6, 138, 6, 16, 6, 34, 0, 6, 
200, 8, -4, 137, 6, 17, 6, 34, 0, 4, 
200, 8, -4, 137, 6, 17, 6, 34, 0, 4, 
200, 8, -5, 136, 6, 18, 6, 34, 0, 5, 
200, 8, -4, 133, 8, 19, 6, 34, 0, 4, 
200, 8, -6, 133, 8, 19, 6, 34, 0, 6, 
200, 8, -7, 130, 9, 21, 6, 34, 0, 7, 
200, 8, -7, 128, 10, 22, 6, 34, 0, 7, 
200, 8, -6, 128, 10, 22, 6, 34, 0, 6, 
200, 8, -9, 127, 10, 23, 5, 35, 0, 9, 
200, 8, -8, 127, 10, 23, 5, 35, 0, 8, 
200, 8, -7, 125, 10, 25, 5, 35, 0, 7, 
200, 8, -6, 125, 10, 25, 5, 35, 0, 6, 
200, 8, -5, 124, 10, 26, 5, 35, 0, 5, 
200, 8, -2, 121, 12, 27, 5, 35, 0, 2, 
200, 8, -3, 121, 12, 27, 5, 35, 0, 3, 
200, 8, -4, 118, 13, 29, 5, 35, 0, 4, 
200, 8, -5, 117, 14, 29, 5, 35, 0, 5, 
200, 8, -6, 117, 14, 29, 5, 35, 0, 6, 
200, 8, -7, 115, 14, 31, 5, 35, 0, 7, 
200, 8, -7, 115, 14, 31, 5, 35, 0, 7, 
200, 8, -6, 113, 14, 33, 5, 35, 0, 6, 
200, 8, -5, 112, 14, 34, 5, 35, 0, 5, 
200, 8, -4, 111, 14, 35, 5, 35, 0, 4, 
200, 8, -3, 108, 16, 36, 5, 35, 0, 3, 
200, 8, -1, 108, 16, 36, 5, 35, 0, 1, 
200, 8, -1, 104, 17, 39, 5, 35, 0, 1, 
200, 8, -2, 103, 18, 39, 5, 35, 0, 2, 
200, 8, -5, 103, 18, 39, 5, 35, 0, 5, 
200, 8, -5, 100, 18, 42, 5, 35, 0, 5, 
200, 8, -5, 100, 18, 42, 5, 35, 0, 5, 
200, 8, -4, 97, 18, 45, 5, 35, 0, 4, 
200, 8, -3, 95, 18, 47, 5, 35, 0, 3, 
200, 8, 0, 93, 18, 49, 5, 35, 0, 0, 
200, 8, -1, 90, 20, 50, 5, 35, 0, 1, 
200, 8, -3, 90, 20, 50, 5, 35, 0, 3, 
200, 8, -3, 85, 21, 54, 5, 35, 0, 3, 
200, 8, -4, 83, 22, 55, 5, 35, 0, 4, 
200, 8, -4, 83, 22, 55, 5, 35, 0, 4, 
200, 8, -4, 80, 22, 58, 5, 35, 0, 4, 
200, 8, -2, 80, 22, 58, 5, 35, 0, 2, 
200, 8, -2, 76, 22, 62, 5, 35, 0, 2, 
200, 8, -2, 73, 22, 65, 5, 35, 0, 2, 
200, 8, -3, 71, 22, 67, 5, 35, 0, 3, 
200, 8, -5, 68, 24, 68, 5, 35, 0, 5, 
200, 8, -6, 67, 24, 69, 5, 35, 1, 5, 
200, 8, -8, 62, 25, 73, 5, 35, 1, 7, 
200, 8, -8, 59, 26, 75, 5, 35, 1, 7, 
200, 8, -8, 59, 26, 75, 5, 35, 1, 7, 
200, 8, -5, 55, 26, 79, 5, 35, 1, 4, 
200, 8, -4, 55, 26, 79, 5, 35, 0, 4, 
200, 8, -2, 51, 26, 83, 5, 35, 0, 2, 
200, 8, -5, 48, 26, 86, 4, 36, 0, 5, 
200, 8, -7, 47, 26, 87, 4, 36, 0, 7, 
200, 8, -7, 45, 27, 88, 4, 36, 0, 7, 
200, 8, -7, 44, 27, 89, 4, 36, 0, 7, 
200, 8, -7, 38, 28, 94, 4, 36, 0, 7, 
200, 8, -3, 36, 29, 95, 4, 36, 0, 3, 
200, 8, 0, 33, 29, 98, 4, 36, 0, 0, 
200, 8, 0, 28, 30, 102, 4, 36, 0, 0, 
200, 8, -1, 28, 30, 102, 4, 36, 0, 1, 
200, 8, -2, 24, 30, 106, 4, 36, 0, 2, 
200, 8, -4, 21, 30, 109, 4, 36, 0, 4, 
200, 8, -4, 20, 30, 110, 4, 36, 0, 4, 
200, 8, -4, 18, 31, 111, 4, 36, 0, 4, 
200, 8, -3, 17, 31, 112, 4, 36, 0, 3, 
200, 8, -2, 11, 32, 117, 4, 36, 0, 2, 
200, 8, -1, 8, 33, 119, 4, 36, 0, 1, 
200, 8, -1, 4, 33, 123, 4, 36, 0, 1, 
