"S","A","R","P","C","dS","dA","dR","dP","dC","Q","N","uc_F","lc_f","mu","lmda","phi","kappa","epsilon","t"
11.48531,102.72958,0.01845,130.33189,0,10.18563,-11.47672,0.0159,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,1
21.67094,91.25286,0.03435,130.33189,0,9.03988,-10.19593,0.02317,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,2
30.71082,81.05693,0.05752,130.33189,0,8.02194,-9.05878,0.0303,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,3
38.73276,71.99815,0.08782,130.33189,0,7.11744,-8.04917,0.03737,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,4
45.8502,63.94898,0.12519,130.33189,0,6.31368,-7.15289,0.04443,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,5
52.16388,56.79609,0.16962,130.33189,0,5.59932,-6.35724,0.05154,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,6
57.7632,50.43885,0.22116,130.33189,0,4.96433,-5.65101,0.05875,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,7
62.72753,44.78784,0.27991,130.33189,0,4.39979,-5.02419,0.0661,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,8
67.12732,39.76365,0.34601,130.33189,0,3.89776000000001,-4.46791,0.07365,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,9
71.02508,35.29574,0.41966,130.33189,0,3.4512,-3.9743,0.08141,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,10
74.47628,31.32144,0.50107,130.33189,0,3.05387999999999,-3.53633,0.0894,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,11
77.53016,27.78511,0.59047,130.33189,0,2.70021,-3.14778,0.0976399999999999,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,12
80.23037,24.63733,0.68811,130.33189,0,2.38528000000001,-2.80313,0.10614,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,13
82.61565,21.8342,0.79425,130.33189,0,2.10472,-2.49739,0.11485,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,14
84.72037,19.33681,0.9091,130.33189,0,1.85464,-2.22619,0.12374,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,15
86.57501,17.11062,1.03284,130.33189,0,1.63158999999999,-1.98558,0.13272,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,16
88.2066,15.12504,1.16556,130.33189,0,1.43257,-1.77203,0.14171,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,17
89.63917,13.35301,1.30727,130.33189,0,1.25484,-1.58235,0.15051,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,18
90.89401,11.77066,1.45778,130.33189,0,1.09610000000001,-1.41372,0.15898,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,19
91.99011,10.35694,1.61676,130.33189,0,0.954210000000003,-1.26352,0.16684,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,20
92.94432,9.09342,1.7836,130.33189,0,0.827419999999989,-1.12944,0.17383,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,21
93.77174,7.96398,1.95743,130.33189,0,0.714110000000005,-1.00939,0.17967,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,22
94.48585,6.95459,2.1371,130.33189,0,0.612930000000006,-0.901479999999999,0.18405,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,23
95.09878,6.05311,2.32115,130.33189,0,0.5227,-0.80406,0.18668,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,24
95.62148,5.24905,2.50783,130.33189,0,0.442409999999995,-0.715710000000001,0.18736,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,25
96.06389,4.53334,2.69519,130.33189,0,0.37115,-0.63525,0.18601,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,26
96.43504,3.89809,2.8812,130.33189,0,0.308160000000001,-0.56173,0.18259,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,27
96.7432,3.33636,3.06379,130.33189,0,0.252719999999997,-0.49444,0.1773,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,28
96.99592,2.84192,3.24109,130.33189,0,0.204189999999997,-0.43288,0.17039,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,29
97.20011,2.40904,3.41148,130.33189,0,0.16198,-0.37674,0.16224,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,30
97.36209,2.0323,3.57372,130.33189,0,0.125470000000007,-0.32578,0.15328,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,31
97.48756,1.70652,3.727,130.33189,0,0.0941299999999927,-0.27986,0.14395,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,32
97.58169,1.42666,3.87095,130.33189,0,0.0673900000000032,-0.23883,0.13463,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,33
97.64908,1.18783,4.00558,130.33189,0,0.0447199999999981,-0.20253,0.12566,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,34
97.6938,0.9853,4.13124,130.33189,0,0.0256200000000035,-0.17071,0.11726,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,35
97.71942,0.81459,4.2485,130.33189,0,0.00961999999999819,-0.1431,0.10959,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,36
97.72904,0.67149,4.35809,130.33189,0,-0.00372000000000128,-0.11936,0.10276,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,37
97.72532,0.55213,4.46085,130.33189,0,-0.0147899999999908,-0.09913,0.09673,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,38
97.71053,0.453,4.55758,130.33189,0,-0.0239400000000103,-0.08202,0.09152,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,39
97.68659,0.37098,4.6491,130.33189,0,-0.031480000000002,-0.06763,0.0870500000000005,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,40
97.65511,0.30335,4.73615,130.33189,0,-0.0376799999999946,-0.05562,0.0832699999999997,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,41
97.61743,0.24773,4.81942,130.33189,0,-0.0427399999999949,-0.04563,0.0800799999999997,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,42
97.57469,0.2021,4.8995,130.33189,0,-0.0468900000000048,-0.03737,0.0774100000000004,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,43
97.5278,0.16473,4.97691,130.33189,0,-0.0502800000000008,-0.03056,0.0751799999999996,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,44
97.47752,0.13417,5.05209,130.33189,0,-0.0530200000000036,-0.02495,0.0733500000000005,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,45
97.4245,0.10922,5.12544,130.33189,0,-0.055269999999993,-0.02035,0.0718100000000002,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,46
97.36923,0.08887,5.19725,130.33189,0,-0.0570799999999991,-0.01659,0.0705499999999999,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,47
97.31215,0.07228,5.2678,130.33189,0,-0.0585499999999968,-0.01351,0.0695100000000002,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,48
97.2536,0.05877,5.33731,130.33189,0,-0.059740000000005,-0.011,0.0686399999999994,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,49
97.19386,0.04777,5.40595,130.33189,0,-0.0606999999999971,-0.00894,0.0679400000000001,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,50
97.13316,0.03883,5.47389,130.33189,0,-0.0614699999999999,-0.00728,0.0673500000000002,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,51
97.07169,0.03155,5.54124,130.33189,0,-0.0620899999999978,-0.00591,0.0668600000000001,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,52
97.0096,0.02564,5.6081,130.33189,0,-0.0625900000000001,-0.00481,0.0664499999999997,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,53
96.94701,0.02083,5.67455,130.33189,0,-0.0629800000000103,-0.00391,0.0661199999999997,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,54
96.88403,0.01692,5.74067,130.33189,0,-0.0632999999999981,-0.00318,0.0658300000000001,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,55
96.82073,0.01374,5.8065,130.33189,0,-0.0635400000000033,-0.00258,0.0655900000000003,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,56
96.75719,0.01116,5.87209,130.33189,0,-0.0637299999999925,-0.00209,0.0653899999999998,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,57
96.69346,0.00907,5.93748,130.33189,0,-0.0638799999999975,-0.00171,0.0652300000000006,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,58
96.62958,0.00736,6.00271,130.33189,0,-0.063990000000004,-0.00138,0.0650699999999995,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,59
96.56559,0.00598,6.06778,130.33189,0,-0.0640800000000041,-0.00112,0.06494,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,60
96.50151,0.00486,6.13272,130.33189,0,-0.0641299999999916,-0.00092,0.0648299999999997,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,61
96.43738,0.00394,6.19755,130.33189,0,-0.0641700000000043,-0.00074,0.06473,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,62
96.37321,0.0032,6.26228,130.33189,0,-0.0641999999999996,-6e-04,0.0646500000000003,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,63
96.30901,0.0026,6.32693,130.33189,0,-0.0642100000000028,-0.00049,0.0645600000000002,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,64
96.2448,0.00211,6.39149,130.33189,0,-0.0642100000000028,-0.00039,0.0644900000000002,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,65
96.18059,0.00172,6.45598,130.33189,0,-0.0641999999999996,-0.00033,0.0644200000000001,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,66
96.11639,0.00139,6.5204,130.33189,0,-0.0641899999999964,-0.00026,0.0643599999999998,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,67
96.0522,0.00113,6.58476,130.33189,0,-0.0641700000000043,-0.00021,0.0643000000000002,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,68
95.98803,0.00092,6.64906,130.33189,0,-0.0641499999999979,-0.00017,0.0642499999999995,0,0,12,246.00067,0.4702,0.13908,0.1117,0.07623,0.25161,0.00067,0.01,69
