"S","A","R","P","C","dS","dA","dR","dP","dC","Q","N","uc_F","lc_f","mu","lmda","phi","kappa","epsilon","t"
18.45276,101.29622,0.01607,129.77685,0,15.07927,-18.4437,0.0109,0,0,10,253.64181,0.48835,0.10064,0.18207,0.05869,0.13135,3e-04,0.01,1
33.53203,82.85252,0.02697,129.77685,0,12.32806,-15.08634,0.01521,0,0,10,253.64181,0.48835,0.10064,0.18207,0.05869,0.13135,3e-04,0.01,2
45.86009,67.76618,0.04218,129.77685,0,10.0776,-12.3405,0.01909,0,0,10,253.64181,0.48835,0.10064,0.18207,0.05869,0.13135,3e-04,0.01,3
55.93769,55.42568,0.06127,129.77685,0,8.23666,-10.09481,0.02266,0,0,10,253.64181,0.48835,0.10064,0.18207,0.05869,0.13135,3e-04,0.01,4
64.17435,45.33087,0.08393,129.77685,0,6.73066999999999,-8.2582,0.02598,0,0,10,253.64181,0.48835,0.10064,0.18207,0.05869,0.13135,3e-04,0.01,5
70.90502,37.07267,0.10991,129.77685,0,5.49859000000001,-6.75616,0.02913,0,0,10,253.64181,0.48835,0.10064,0.18207,0.05869,0.13135,3e-04,0.01,6
76.40361,30.31651,0.13904,129.77685,0,4.49052,-5.52778,0.03214,0,0,10,253.64181,0.48835,0.10064,0.18207,0.05869,0.13135,3e-04,0.01,7
80.89413,24.78873,0.17118,129.77685,0,3.66566999999999,-4.5232,0.03509,0,0,10,253.64181,0.48835,0.10064,0.18207,0.05869,0.13135,3e-04,0.01,8
84.5598,20.26553,0.20627,129.77685,0,2.99062000000001,-3.70168,0.03797,0,0,10,253.64181,0.48835,0.10064,0.18207,0.05869,0.13135,3e-04,0.01,9
87.55042,16.56385,0.24424,129.77685,0,2.43808,-3.02987,0.04081,0,0,10,253.64181,0.48835,0.10064,0.18207,0.05869,0.13135,3e-04,0.01,10
89.9885,13.53398,0.28505,129.77685,0,1.98575,-2.48048,0.04364,0,0,10,253.64181,0.48835,0.10064,0.18207,0.05869,0.13135,3e-04,0.01,11
91.97425,11.0535,0.32869,129.77685,0,1.61534,-2.03122,0.04641,0,0,10,253.64181,0.48835,0.10064,0.18207,0.05869,0.13135,3e-04,0.01,12
93.58959,9.02228,0.3751,129.77685,0,1.31193999999999,-1.6638,0.04915,0,0,10,253.64181,0.48835,0.10064,0.18207,0.05869,0.13135,3e-04,0.01,13
94.90153,7.35848,0.42425,129.77685,0,1.06334000000001,-1.36329,0.05176,0,0,10,253.64181,0.48835,0.10064,0.18207,0.05869,0.13135,3e-04,0.01,14
95.96487,5.99519,0.47601,129.77685,0,0.859569999999991,-1.11741,0.05422,0,0,10,253.64181,0.48835,0.10064,0.18207,0.05869,0.13135,3e-04,0.01,15
96.82444,4.87778,0.53023,129.77685,0,0.692520000000002,-0.91615,0.05642,0,0,10,253.64181,0.48835,0.10064,0.18207,0.05869,0.13135,3e-04,0.01,16
