"S","A","R","P","C","dS","dA","dR","dP","dC","Q","N","uc_F","lc_f","mu","lmda","phi","kappa","epsilon","t"
53.54377,2.2674,3.85759,181.68515,0,0.118569999999998,-0.351,0.18638,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,32
53.66234,1.9164,4.04397,181.68515,0,0.0925099999999972,-0.30706,0.17205,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,33
53.75485,1.60934,4.21602,181.68515,0,0.0699400000000026,-0.26599,0.157319999999999,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,34
53.82479,1.34335,4.37334,181.68515,0,0.0506000000000029,-0.22822,0.14285,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,35
53.87539,1.11513,4.51619,181.68515,0,0.0341499999999968,-0.19404,0.12909,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,36
53.90954,0.92109,4.64528,181.68515,0,0.0202900000000028,-0.16362,0.116420000000001,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,37
53.92983,0.75747,4.7617,181.68515,0,0.00869999999999749,-0.13694,0.10502,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,38
53.93853,0.62053,4.86672,181.68515,0,-0.000939999999999941,-0.11386,0.0949600000000004,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,39
53.93759,0.50667,4.96168,181.68515,0,-0.00889000000000095,-0.09412,0.0862499999999997,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,40
53.9287,0.41255,5.04793,181.68515,0,-0.0154300000000021,-0.07742,0.0788099999999998,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,41
53.91327,0.33513,5.12674,181.68515,0,-0.0207799999999949,-0.06343,0.0725199999999999,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,42
53.89249,0.2717,5.19926,181.68515,0,-0.0251400000000004,-0.05177,0.0672500000000005,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,43
53.86735,0.21993,5.26651,181.68515,0,-0.0286900000000045,-0.04215,0.0628799999999998,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,44
53.83866,0.17778,5.32939,181.68515,0,-0.0315499999999957,-0.03422,0.0592600000000001,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,45
53.80711,0.14356,5.38865,181.68515,0,-0.0338700000000003,-0.02774,0.0562800000000001,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,46
53.77324,0.11582,5.44493,181.68515,0,-0.0357500000000002,-0.02244,0.0538499999999997,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,47
53.73749,0.09338,5.49878,181.68515,0,-0.0372400000000042,-0.01814,0.0518599999999996,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,48
53.70025,0.07524,5.55064,181.68515,0,-0.0384599999999935,-0.01464,0.0502400000000005,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,49
53.66179,0.0606,5.60088,181.68515,0,-0.0394200000000069,-0.01181,0.0489100000000002,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,50
53.62237,0.04879,5.64979,181.68515,0,-0.0401999999999987,-0.00952,0.0478299999999994,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,51
53.58217,0.03927,5.69762,181.68515,0,-0.0408100000000005,-0.00767,0.0469600000000003,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,52
53.54136,0.0316,5.74458,181.68515,0,-0.0412999999999997,-0.00618,0.0462299999999995,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,53
53.50006,0.02542,5.79081,181.68515,0,-0.0416799999999995,-0.00497,0.0456600000000007,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,54
53.45838,0.02045,5.83647,181.68515,0,-0.0420000000000016,-0.004,0.0451799999999993,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,55
53.41638,0.01645,5.88165,181.68515,0,-0.0422299999999964,-0.00322,0.0447800000000003,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,56
53.37415,0.01323,5.92643,181.68515,0,-0.0424099999999967,-0.00259,0.0444700000000005,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,57
53.33174,0.01064,5.9709,181.68515,0,-0.0425600000000017,-0.00209,0.0441899999999995,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,58
53.28918,0.00855,6.01509,181.68515,0,-0.042660000000005,-0.00167,0.0439800000000004,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,59
53.24652,0.00688,6.05907,181.68515,0,-0.0427399999999949,-0.00135,0.0437899999999996,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,60
53.20378,0.00553,6.10286,181.68515,0,-0.0427999999999997,-0.00108,0.0436399999999999,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,61
53.16098,0.00445,6.1465,181.68515,0,-0.0428400000000053,-0.00088,0.0435000000000008,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,62
53.11814,0.00357,6.19,181.68515,0,-0.0428599999999975,-7e-04,0.0433899999999996,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,63
53.07528,0.00287,6.23339,181.68515,0,-0.0428799999999967,-0.00056,0.0433000000000003,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,64
53.0324,0.00231,6.27669,181.68515,0,-0.0428800000000038,-0.00045,0.0431999999999997,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,65
52.98952,0.00186,6.31989,181.68515,0,-0.0428700000000006,-0.00037,0.0431400000000002,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,66
52.94665,0.00149,6.36303,181.68515,0,-0.0428700000000006,-0.00029,0.0430599999999997,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,67
52.90378,0.0012,6.40609,181.68515,0,-0.0428499999999943,-0.00024,0.0430099999999998,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,68
52.86093,0.00096,6.4491,181.68515,0,-0.0428300000000021,-0.00018,0.0429500000000003,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,69
52.8181,0.00078,6.49205,181.68515,0,-0.0428100000000029,-0.00016,0.0428899999999999,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,70
52.77529,0.00062,6.53494,181.68515,0,-0.0427800000000005,-0.00012,0.0428500000000005,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,71
52.73251,5e-04,6.57779,181.68515,0,-0.0427600000000012,-1e-04,0.0428099999999993,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,72
52.68975,4e-04,6.6206,181.68515,0,-0.0427299999999988,-8e-05,0.0427500000000007,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,73
52.64702,0.00032,6.66335,181.68515,0,-0.0426999999999964,-6e-05,0.0427200000000001,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,74
52.60432,0.00026,6.70607,181.68515,0,-0.0426800000000043,-5e-05,0.0426799999999998,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,75
52.56164,0.00021,6.74875,181.68515,0,-0.0426399999999987,-4e-05,0.0426399999999996,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,76
52.519,0.00017,6.79139,181.68515,0,-0.0426000000000002,-3e-05,0.0426000000000002,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,77
52.4764,0.00014,6.83399,181.68515,0,-0.042580000000001,-3e-05,0.0425599999999999,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,78
52.43382,0.00011,6.87655,181.68515,0,-0.0425399999999954,-2e-05,0.0425300000000002,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,79
52.39128,9e-05,6.91908,181.68515,0,-0.04251,-2e-05,0.0424899999999999,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,80
52.34877,7e-05,6.96157,181.68515,0,-0.0424800000000047,-9.99999999999999e-06,0.0424499999999997,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,81
52.30629,6e-05,7.00402,181.68515,0,-0.0424399999999991,-1e-05,0.0424199999999999,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,82
52.26385,5e-05,7.04644,181.68515,0,-0.0424099999999967,-1e-05,0.0423800000000005,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,83
52.22144,4e-05,7.08882,181.68515,0,-0.0423800000000014,-1e-05,0.0423499999999999,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,84
52.17906,3e-05,7.13117,181.68515,0,-0.0423400000000029,-1e-05,0.0423099999999996,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,85
52.13672,2e-05,7.17348,181.68515,0,-0.0423099999999934,0,0.0422700000000003,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,86
52.09441,2e-05,7.21575,181.68515,0,-0.042270000000002,0,0.0422500000000001,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,87
52.05214,2e-05,7.258,181.68515,0,-0.0422399999999996,-1e-05,0.0422000000000002,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,88
52.0099,1e-05,7.3002,181.68515,0,-0.0422100000000043,0,0.0421800000000001,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,89
51.96769,1e-05,7.34238,181.68515,0,-0.0421699999999987,0,0.0421399999999998,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,90
51.92552,1e-05,7.38452,181.68515,0,-0.0421300000000002,0,0.0420999999999996,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,91
51.88339,1e-05,7.42662,181.68515,0,-0.042110000000001,0,0.0420699999999998,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,92
51.84128,1e-05,7.46869,181.68515,0,-0.0420699999999954,-1e-05,0.0420400000000001,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,93
51.79921,0,7.51073,181.68515,0,-0.042030000000004,0,0.0420000000000007,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,94
51.75718,0,7.55273,181.68515,0,-0.0420000000000016,0,0.0419699999999992,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,95
51.71518,0,7.5947,181.68515,0,-0.0419699999999992,0,0.0419300000000007,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,96
51.67321,0,7.63663,181.68515,0,-0.0419300000000007,0,0.0419,0,0,10,246.71421,0.26358,0.08865,0.08454,0.11156,0.27982,0.00081,0.01,97
