"S","A","R","P","C","dS","dA","dR","dP","dC","Q","N","uc_F","lc_f","mu","lmda","phi","kappa","epsilon","t"
5.56636,116.26364,0.01486,133.54459,0,5.28695,-5.55794,0.009,0,0,11,255.66459,0.47766,0.13028,0.04779,0.10578,0.22948,0.00068,0.01,1
10.85331,110.7057,0.02386,133.54459,0,5.03036,-5.29326999999999,0.01338,0,0,11,255.66459,0.47766,0.13028,0.04779,0.10578,0.22948,0.00068,0.01,2
15.88367,105.41243,0.03724,133.54459,0,4.78596,-5.04172,0.01807,0,0,11,255.66459,0.47766,0.13028,0.04779,0.10578,0.22948,0.00068,0.01,3
20.66963,100.37071,0.05531,133.54459,0,4.55317,-4.80268000000001,0.0231,0,0,11,255.66459,0.47766,0.13028,0.04779,0.10578,0.22948,0.00068,0.01,4
25.2228,95.56803,0.07841,133.54459,0,4.33139,-4.57558999999999,0.0285,0,0,11,255.66459,0.47766,0.13028,0.04779,0.10578,0.22948,0.00068,0.01,5
29.55419,90.99244,0.10691,133.54459,0,4.12005,-4.35993000000001,0.03432,0,0,11,255.66459,0.47766,0.13028,0.04779,0.10578,0.22948,0.00068,0.01,6
33.67424,86.63251,0.14123,133.54459,0,3.91866,-4.15518,0.04062,0,0,11,255.66459,0.47766,0.13028,0.04779,0.10578,0.22948,0.00068,0.01,7
37.5929,82.47733,0.18185,133.54459,0,3.72669,-3.96087999999999,0.04744,0,0,11,255.66459,0.47766,0.13028,0.04779,0.10578,0.22948,0.00068,0.01,8
41.31959,78.51645,0.22929,133.54459,0,3.54365,-3.77657000000001,0.05486,0,0,11,255.66459,0.47766,0.13028,0.04779,0.10578,0.22948,0.00068,0.01,9
44.86324,74.73988,0.28415,133.54459,0,3.36908,-3.60185,0.06292,0,0,11,255.66459,0.47766,0.13028,0.04779,0.10578,0.22948,0.00068,0.01,10
48.23232,71.13803,0.34707,133.54459,0,3.20257,-3.4363,0.0717,0,0,11,255.66459,0.47766,0.13028,0.04779,0.10578,0.22948,0.00068,0.01,11
