"S","A","R","P","C","dS","dA","dR","dP","dC","Q","N","uc_F","lc_f","mu","lmda","phi","kappa","epsilon","t"
0.4968,47.46247,0.01122,192.17048,0,0.48156,-0.487900000000003,0.00158,0,0,6,240.14579,0.19978,0.08176,0.01026,0.09773,0.19231,0.00049,0.01,1
0.97836,46.97457,0.0128,192.17048,0,0.47636,-0.483060000000002,0.00197,0,0,6,240.14579,0.19978,0.08176,0.01026,0.09773,0.19231,0.00049,0.01,2
1.45472,46.49151,0.01477,192.17048,0,0.47123,-0.478290000000001,0.00239,0,0,6,240.14579,0.19978,0.08176,0.01026,0.09773,0.19231,0.00049,0.01,3
1.92595,46.01322,0.01716,192.17048,0,0.46614,-0.473609999999994,0.00285,0,0,6,240.14579,0.19978,0.08176,0.01026,0.09773,0.19231,0.00049,0.01,4
2.39209,45.53961,0.02001,192.17048,0,0.46109,-0.469040000000007,0.00336,0,0,6,240.14579,0.19978,0.08176,0.01026,0.09773,0.19231,0.00049,0.01,5
2.85318,45.07057,0.02337,192.17048,0,0.4561,-0.464559999999999,0.00391,0,0,6,240.14579,0.19978,0.08176,0.01026,0.09773,0.19231,0.00049,0.01,6
3.30928,44.60601,0.02728,192.17048,0,0.45116,-0.460169999999998,0.00452,0,0,6,240.14579,0.19978,0.08176,0.01026,0.09773,0.19231,0.00049,0.01,7
3.76044,44.14584,0.0318,192.17048,0,0.44626,-0.4559,0.00518,0,0,6,240.14579,0.19978,0.08176,0.01026,0.09773,0.19231,0.00049,0.01,8
4.2067,43.68994,0.03698,192.17048,0,0.44141,-0.451720000000002,0.0059,0,0,6,240.14579,0.19978,0.08176,0.01026,0.09773,0.19231,0.00049,0.01,9
4.64811,43.23822,0.04288,192.17048,0,0.4366,-0.447669999999995,0.00669,0,0,6,240.14579,0.19978,0.08176,0.01026,0.09773,0.19231,0.00049,0.01,10
5.08471,42.79055,0.04957,192.17048,0,0.431839999999999,-0.443720000000006,0.00754999999999999,0,0,6,240.14579,0.19978,0.08176,0.01026,0.09773,0.19231,0.00049,0.01,11
5.51655,42.34683,0.05712,192.17048,0,0.4271,-0.439909999999998,0.0085,0,0,6,240.14579,0.19978,0.08176,0.01026,0.09773,0.19231,0.00049,0.01,12
5.94365,41.90692,0.06562,192.17048,0,0.42243,-0.436230000000002,0.00954000000000001,0,0,6,240.14579,0.19978,0.08176,0.01026,0.09773,0.19231,0.00049,0.01,13
6.36608,41.47069,0.07516,192.17048,0,0.41778,-0.432679999999998,0.01067,0,0,6,240.14579,0.19978,0.08176,0.01026,0.09773,0.19231,0.00049,0.01,14
6.78386,41.03801,0.08583,192.17048,0,0.41317,-0.429290000000002,0.01192,0,0,6,240.14579,0.19978,0.08176,0.01026,0.09773,0.19231,0.00049,0.01,15
7.19703,40.60872,0.09775,192.17048,0,0.40859,-0.42604,0.01327,0,0,6,240.14579,0.19978,0.08176,0.01026,0.09773,0.19231,0.00049,0.01,16
7.60562,40.18268,0.11102,192.17048,0,0.404059999999999,-0.422959999999996,0.01476,0,0,6,240.14579,0.19978,0.08176,0.01026,0.09773,0.19231,0.00049,0.01,17
8.00968,39.75972,0.12578,192.17048,0,0.399550000000001,-0.420050000000003,0.0164,0,0,6,240.14579,0.19978,0.08176,0.01026,0.09773,0.19231,0.00049,0.01,18
8.40923,39.33967,0.14218,192.17048,0,0.395069999999999,-0.417339999999996,0.01818,0,0,6,240.14579,0.19978,0.08176,0.01026,0.09773,0.19231,0.00049,0.01,19
8.8043,38.92233,0.16036,192.17048,0,0.39062,-0.414819999999999,0.02013,0,0,6,240.14579,0.19978,0.08176,0.01026,0.09773,0.19231,0.00049,0.01,20
9.19492,38.50751,0.18049,192.17048,0,0.386200000000001,-0.412520000000001,0.02227,0,0,6,240.14579,0.19978,0.08176,0.01026,0.09773,0.19231,0.00049,0.01,21
9.58112,38.09499,0.20276,192.17048,0,0.3818,-0.410430000000005,0.02462,0,0,6,240.14579,0.19978,0.08176,0.01026,0.09773,0.19231,0.00049,0.01,22
9.96292,37.68456,0.22738,192.17048,0,0.377419999999999,-0.408609999999996,0.02718,0,0,6,240.14579,0.19978,0.08176,0.01026,0.09773,0.19231,0.00049,0.01,23
