"S","A","R","P","C","dS","dA","dR","dP","dC","Q","N","uc_F","lc_f","mu","lmda","phi","kappa","epsilon","t"
11.0759,57.82634,0.01535,168.93631,0,8.94335,-11.06681,0.00951,0,0,1,240.46804,0.29747,0.12354,0.19136,0.05852,0.12073,0.00043,0.01,1
20.01925,46.75953,0.02486,168.93631,0,7.22687,-8.94956,0.01317,0,0,1,240.46804,0.29747,0.12354,0.19136,0.05852,0.12073,0.00043,0.01,2
27.24612,37.80997,0.03803,168.93631,0,5.83873,-7.23771,0.01645,0,0,1,240.46804,0.29747,0.12354,0.19136,0.05852,0.12073,0.00043,0.01,3
33.08485,30.57226,0.05448,168.93631,0,4.71604,-5.85363,0.01944,0,0,1,240.46804,0.29747,0.12354,0.19136,0.05852,0.12073,0.00043,0.01,4
37.80089,24.71863,0.07392,168.93631,0,3.80797,-4.73458,0.02221,0,0,1,240.46804,0.29747,0.12354,0.19136,0.05852,0.12073,0.00043,0.01,5
41.60886,19.98405,0.09613,168.93631,0,3.07345,-3.82984,0.02481,0,0,1,240.46804,0.29747,0.12354,0.19136,0.05852,0.12073,0.00043,0.01,6
44.68231,16.15421,0.12094,168.93631,0,2.47921,-3.09836,0.0273,0,0,1,240.46804,0.29747,0.12354,0.19136,0.05852,0.12073,0.00043,0.01,7
47.16152,13.05585,0.14824,168.93631,0,1.99838,-2.50701,0.0297,0,0,1,240.46804,0.29747,0.12354,0.19136,0.05852,0.12073,0.00043,0.01,8
49.1599,10.54884,0.17794,168.93631,0,1.60927,-2.02891,0.03204,0,0,1,240.46804,0.29747,0.12354,0.19136,0.05852,0.12073,0.00043,0.01,9
50.76917,8.51993,0.20998,168.93631,0,1.29428,-1.64241,0.03432,0,0,1,240.46804,0.29747,0.12354,0.19136,0.05852,0.12073,0.00043,0.01,10
52.06345,6.87752,0.2443,168.93631,0,1.03922,-1.32992,0.03653,0,0,1,240.46804,0.29747,0.12354,0.19136,0.05852,0.12073,0.00043,0.01,11
53.10267,5.5476,0.28083,168.93631,0,0.832619999999999,-1.07725,0.03866,0,0,1,240.46804,0.29747,0.12354,0.19136,0.05852,0.12073,0.00043,0.01,12
53.93529,4.47035,0.31949,168.93631,0,0.665230000000001,-0.87292,0.04066,0,0,1,240.46804,0.29747,0.12354,0.19136,0.05852,0.12073,0.00043,0.01,13
54.60052,3.59743,0.36015,168.93631,0,0.529529999999994,-0.70758,0.04245,0,0,1,240.46804,0.29747,0.12354,0.19136,0.05852,0.12073,0.00043,0.01,14
55.13005,2.88985,0.4026,168.93631,0,0.419510000000002,-0.57369,0.04397,0,0,1,240.46804,0.29747,0.12354,0.19136,0.05852,0.12073,0.00043,0.01,15
55.54956,2.31616,0.44657,168.93631,0,0.330330000000004,-0.46514,0.04509,0,0,1,240.46804,0.29747,0.12354,0.19136,0.05852,0.12073,0.00043,0.01,16
55.87989,1.85102,0.49166,168.93631,0,0.258049999999997,-0.37696,0.04572,0,0,1,240.46804,0.29747,0.12354,0.19136,0.05852,0.12073,0.00043,0.01,17
56.13794,1.47406,0.53738,168.93631,0,0.199550000000002,-0.30513,0.04577,0,0,1,240.46804,0.29747,0.12354,0.19136,0.05852,0.12073,0.00043,0.01,18
56.33749,1.16893,0.58315,168.93631,0,0.152290000000001,-0.24646,0.0452100000000001,0,0,1,240.46804,0.29747,0.12354,0.19136,0.05852,0.12073,0.00043,0.01,19
56.48978,0.92247,0.62836,168.93631,0,0.114269999999998,-0.1984,0.04403,0,0,1,240.46804,0.29747,0.12354,0.19136,0.05852,0.12073,0.00043,0.01,20
56.60405,0.72407,0.67239,168.93631,0,0.0837900000000005,-0.15896,0.04236,0,0,1,240.46804,0.29747,0.12354,0.19136,0.05852,0.12073,0.00043,0.01,21
56.68784,0.56511,0.71475,168.93631,0,0.0595299999999952,-0.12661,0.04031,0,0,1,240.46804,0.29747,0.12354,0.19136,0.05852,0.12073,0.00043,0.01,22
56.74737,0.4385,0.75506,168.93631,0,0.0403400000000005,-0.10015,0.0381,0,0,1,240.46804,0.29747,0.12354,0.19136,0.05852,0.12073,0.00043,0.01,23
56.78771,0.33835,0.79316,168.93631,0,0.0252800000000022,-0.07863,0.03588,0,0,1,240.46804,0.29747,0.12354,0.19136,0.05852,0.12073,0.00043,0.01,24
56.81299,0.25972,0.82904,168.93631,0,0.013539999999999,-0.06127,0.03382,0,0,1,240.46804,0.29747,0.12354,0.19136,0.05852,0.12073,0.00043,0.01,25
56.82653,0.19845,0.86286,168.93631,0,0.00446000000000168,-0.04742,0.03196,0,0,1,240.46804,0.29747,0.12354,0.19136,0.05852,0.12073,0.00043,0.01,26
