"S","A","R","P","C","dS","dA","dR","dP","dC","Q","N","uc_F","lc_f","mu","lmda","phi","kappa","epsilon","t"
2.51215,29.55488,0.01088,211.45647,0,2.28996,-2.50277,0.00122,0,0,11,243.76556,0.13254,0.08404,0.08466,0.05712,0.2064,0.00012,0.01,1
4.80211,27.05211,0.0121,211.45647,0,2.09572,-2.29096,0.00154,0,0,11,243.76556,0.13254,0.08404,0.08466,0.05712,0.2064,0.00012,0.01,2
6.89783,24.76115,0.01364,211.45647,0,1.91792,-2.09709,0.00187,0,0,11,243.76556,0.13254,0.08404,0.08466,0.05712,0.2064,0.00012,0.01,3
8.81575,22.66406,0.01551,211.45647,0,1.75515,-1.91966,0.00219,0,0,11,243.76556,0.13254,0.08404,0.08466,0.05712,0.2064,0.00012,0.01,4
10.5709,20.7444,0.0177,211.45647,0,1.60618,-1.75725,0.00251,0,0,11,243.76556,0.13254,0.08404,0.08466,0.05712,0.2064,0.00012,0.01,5
12.17708,18.98715,0.02021,211.45647,0,1.46978,-1.60863,0.00284,0,0,11,243.76556,0.13254,0.08404,0.08466,0.05712,0.2064,0.00012,0.01,6
13.64686,17.37852,0.02305,211.45647,0,1.34493,-1.47261,0.00317,0,0,11,243.76556,0.13254,0.08404,0.08466,0.05712,0.2064,0.00012,0.01,7
14.99179,15.90591,0.02622,211.45647,0,1.23063,-1.34811,0.00349,0,0,11,243.76556,0.13254,0.08404,0.08466,0.05712,0.2064,0.00012,0.01,8
16.22242,14.5578,0.02971,211.45647,0,1.12599,-1.23417,0.00384,0,0,11,243.76556,0.13254,0.08404,0.08466,0.05712,0.2064,0.00012,0.01,9
17.34841,13.32363,0.03355,211.45647,0,1.03019,-1.12991,0.00418,0,0,11,243.76556,0.13254,0.08404,0.08466,0.05712,0.2064,0.00012,0.01,10
18.3786,12.19372,0.03773,211.45647,0,0.942490000000003,-1.03449,0.00454,0,0,11,243.76556,0.13254,0.08404,0.08466,0.05712,0.2064,0.00012,0.01,11
19.32109,11.15923,0.04227,211.45647,0,0.862179999999999,-0.94716,0.00489,0,0,11,243.76556,0.13254,0.08404,0.08466,0.05712,0.2064,0.00012,0.01,12
