"S","P0","P1","P2","R1","R2","A1","A2","Q","t"
36.9990132667606,157.891691195699,0.000241162804766209,0.0101592474812,1.11741545549558,1.98343251086365,1.47615363349349,2.18471754810139,8,193
36.9489297559664,157.885824586941,0.000242104360820031,0.0102393105137784,1.13335900409005,2.00544250729044,1.48433933690563,2.19421594946,8,194
36.8986636446782,157.879834449807,0.000242970241482986,0.0103173546052516,1.14940054795988,2.02755798291091,1.49251958303235,2.20370201032941,8,195
36.8482168574322,157.873719758088,0.000243757714475464,0.0103932813629189,1.16554015917264,2.0497792120456,1.50069430872022,2.21317557997233,8,196
36.7975913064265,157.867479510974,0.000244463992677342,0.0104669900742247,1.18177789297781,2.07210645426463,1.50886345059947,2.22263650726017,8,197
36.7467889038591,157.861112707655,0.000245086288968493,0.0105383800266138,1.1981138046249,2.09453996913814,1.51702694530032,2.23208464106433,8,198
36.6958115619279,157.854618347322,0.000245621816228794,0.0106073505075309,1.21454794936339,2.11708001623623,1.52518472945299,2.24151983025619,8,199
36.6446611928311,157.847995429163,0.000246067787338119,0.0106738008044204,1.23108038244278,2.13972685512905,1.5333367396877,2.25094192370717,8,200
36.5933397087665,157.84124295237,0.000246421415176343,0.0107376302047272,1.24771115911257,2.16248074538671,1.54148291263468,2.26035077028866,8,201
36.5418490239197,157.834359949378,0.000246679864363431,0.0107987358940581,1.26444032117027,2.18534193351896,1.54962318462656,2.26974621845073,8,202
36.4901910604265,157.827345585605,0.00024684010647971,0.0108570066506694,1.28126785660553,2.20831061379394,1.55775749080561,2.27912811495804,8,203
36.4383677424102,157.820199059713,0.000246899064845595,0.0109123291509797,1.29819373995601,2.23138696741942,1.5658857660165,2.28849630615394,8,204
36.3863809939942,157.812919570365,0.000246853662781502,0.0109645900714076,1.31521794575937,2.25457117560318,1.57400794510391,2.29785063838177,8,205
36.3342327393018,157.805506316226,0.000246700823607848,0.0110136760883716,1.3323404485533,2.27786341955297,1.58212396291252,2.30719095798487,8,206
36.2819249024563,157.797958495958,0.000246437470645048,0.0110594738782903,1.34956122287544,2.30126388047657,1.590233754287,2.31651711130658,8,207
36.2294593702223,157.790275317363,0.000246060478298449,0.0111018679220366,1.36688022731687,2.32477272497591,1.59833725407619,2.3258289446128,8,208
36.1768378799293,157.782456024799,0.000245566525313119,0.0111407339183008,1.38429735668221,2.34839006122958,1.60643439714551,2.33512630385974,8,209
36.1240621315482,157.774499871762,0.000244952241519054,0.0111759453702275,1.40181248982948,2.37211598281035,1.61452511836453,2.34440903492614,8,210
36.0711338250499,157.766406111747,0.000244214256746253,0.0112073757809614,1.41942550561671,2.39595058329097,1.62260935260284,2.35367698369077,8,211
36.0180546604051,157.758173998252,0.000243349200824713,0.0112348986536471,1.43713628290193,2.41989395624421,1.63068703473001,2.36292999603239,8,212
35.9648263375848,157.749802784771,0.000242353703584432,0.0112583874914292,1.45494470054314,2.44394619524282,1.63875809961562,2.37216791782976,8,213
35.9114505565597,157.741291724803,0.000241224394855408,0.0112777157974524,1.47285063739838,2.46810739385958,1.64682248212925,2.38139059496163,8,214
35.8579288992818,157.732640084054,0.000239957849856658,0.0112927545202868,1.49085395154644,2.49237762469422,1.65488011758445,2.39059787372575,8,215
35.8042624756273,157.723847177085,0.000238550425363276,0.0113033643902044,1.5089544179492,2.51675687645443,1.66293094307067,2.3997896020958,8,216
35.7504522774535,157.714912330665,0.000236998423539375,0.0113094035829028,1.52715179078932,2.54124511687487,1.67097489612132,2.40896562846443,8,217
35.696499296618,157.705834871568,0.000235298146549069,0.0113107302740796,1.54544582424946,2.56584231369019,1.67901191426982,2.41812580122432,8,218
35.6424045249779,157.696614126563,0.000233445896556471,0.0113072026394324,1.56383627251225,2.59054843463508,1.6870419350496,2.42726996876811,8,219
35.5881689543907,157.687249422422,0.000231437975725695,0.0112986788546587,1.58232288976037,2.61536344744418,1.69506489599407,2.43639797948848,8,220
