"S","A1","A2","P0","P1","P2","R1","R2","Q","t","N"
43.0459186861975,0,0,157.983463013678,0,0,0,0,8,1,200
43.0327116108476,0.00783542493789773,-0.000272071295729995,157.984089809137,0,-1.07221623667475e-08,0,-0.00155582844428959,8,2,200
43.019335338084,0.0147491508376681,-0.000545121849299397,157.984716604662,0,1.90002775326449e-08,0,-0.00306269872677264,8,3,200
43.0057894402078,0.0207960334246749,-0.000819029867846546,157.985343421182,0,8.94706055900407e-08,0,-0.00452002290837167,8,4,200
42.9920734958805,0.0260308410448604,-0.00109368105179872,157.985970279628,0,2.00999478860793e-07,0,-0.00592721275425176,8,5,200
42.9781870901081,0.0305081905386212,-0.00136896862565414,157.98659720093,0,3.53905031434726e-07,0,-0.00728367977678435,8,6,200
42.9641298142244,0.0342824805430531,-0.00164479334899596,157.987224206018,0,5.48512981709056e-07,0,-0.00858883527850141,8,7,200
42.9499012658761,0.037407822210558,-0.0019210635096198,157.987851315822,0,7.85156741064742e-07,0,-0.00984209039503806,8,8,200
42.9355010490059,0.0399379673368145,-0.00219769490024354,157.98847855596,0,1.06417752394677e-06,0,-0.0110428561380613,8,9,200
42.9209287738372,0.0419262338964175,-0.00247461077989973,157.989105970803,0,1.38592445934784e-06,0,-0.0121905434381821,8,10,200
42.9061840568577,0.0434254289901259,-0.0027517418207897,157.989733609411,0,1.75075470369397e-06,0,-0.013284563187849,8,11,200
42.8912665208036,0.044487769213599,-0.00302902604110716,157.990361520844,0,2.15903355512924e-06,0,-0.0143243262842198,8,12,200
42.8761757946437,0.045164798463787,-0.00330640872411706,157.99098975416,0,2.61113456919614e-06,0,-0.0153092436720109,8,13,200
42.8609115135634,0.045507303205738,-0.00358384232359938,157.99161835842,0,3.10743967590658e-06,0,-0.0162387263863191,8,14,200
42.8454733189486,0.0455652252295369,-0.00386128635563551,157.992247382683,0,3.64833929819758e-06,0,-0.0171121855954161,8,15,200
42.8298608583698,0.045387571934363,-0.00413870727662007,157.992876879163,0,4.23423247176461e-06,0,-0.017929032643512,8,16,200
42.8140737855663,0.0450223241842829,-0.00441607834731949,157.993506912697,0,4.86552696626422e-06,0,-0.0186886790934847,8,17,200
42.7981117604302,0.0445163417883545,-0.00469337948276429,157.994137551277,0,5.54263940787657e-06,0,-0.0193905367695748,8,18,200
42.78197444899,0.0439152666659315,-0.00497059708774784,157.994768862896,0,6.26599540321709e-06,0,-0.0200340178000419,8,19,200
42.7656615233954,0.0432634237667061,-0.00524772387770641,157.995400915545,0,7.03602966458548e-06,0,-0.0206185346597797,8,20,200
42.7491726619005,0.0426037198240283,-0.005524758684767,157.996033777217,0,7.85318613653908e-06,0,-0.0211435002128894,8,21,200
42.7325075488486,0.0419775400293751,-0.00580170624876626,157.996667515903,0,8.71791812377611e-06,0,-0.021608327755207,8,22,200
42.7156658746557,0.0414246427255196,-0.00607857699306218,157.997302199596,0,9.63068842031347e-06,0,-0.0220124310567824,8,23,200
42.6986473357947,0.0409830522259625,-0.00635538678497608,157.99793789752,0,1.05919694399425e-05,0,-0.0223552244043091,8,24,200
42.6814516347796,0.0406889498785288,-0.00663215668071425,157.998574683827,0,1.16022433479444e-05,0,-0.0226361226435008,8,25,200
42.6640784801492,0.040576563501696,-0.00690891265462324,157.999212633902,0,1.26620021940473e-05,0,-0.0228545412214128,8,26,200
42.6465275864515,0.0406780553332016,-0.00718568531263132,157.99985182313,0,1.37717480466031e-05,0,-0.0230098962287058,8,27,200
42.6287986742275,0.0410234086417639,-0.0074625095897187,158.000492326897,0,1.49319931279647e-05,0,-0.0231016044418499,8,28,200
42.6108914699952,0.0416403131643331,0.000638969209292811,158.001134220587,0,1.61432599510399e-05,0,-0.0231290833652662,8,29,200
42.592805706234,0.0425540495431581,0.00874031482314262,158.001777579584,0,1.74060814569986e-05,0,-0.0230917512734034,8,30,200
42.5745411213681,0.0437873729490918,0.0168414813073114,158.002422478621,0,1.87210011541101e-05,0,-0.0229890272527468,8,31,200
42.5560974597512,0.0453603960899547,0.0249424197618587,158.003068989821,0,2.00885732576831e-05,0,-0.0228203312437581,8,32,200
42.5374744716501,0.0472904718154056,0.0330430787168701,158.003717184652,0,2.15093628310841e-05,0,-0.0225850840827429,8,33,200
42.5186719132288,0.0495920755426296,0.0411434045352692,158.004367134585,0,2.29839459278054e-05,0,-0.022282707543643,8,34,200
42.4996895465328,0.0522766877401977,0.0492433418332951,158.005018911088,0,2.45129097345561e-05,0,-0.0219126243797526,8,35,200
42.4805271394729,0.0553526767206965,0.0573428339189512,158.005672585631,0,2.6096852715347e-05,0,-0.0214742583653539,8,36,200
42.4611844658091,0.0588251820061009,0.065441823248716,158.006328229684,0,2.77363847565404e-05,0,-0.0209670343372723,8,37,200
42.4416613051351,0.0626959985433845,0.0735402519027777,158.006985911954,0,2.9432127312835e-05,0,-0.0203903782363454,8,38,200
42.4219574428617,0.0669634620614725,0.0816380620790073,158.0076456901,0,3.1184713554157e-05,0,-0.019743717148807,8,39,200
42.4020726702016,0.0716223358743224,0.0897351966058113,158.008307619019,0,3.29947885134262e-05,0,-0.0190264793475809,8,40,200
42.3820067841525,0.0766636994486387,0.0978315994739156,158.008971753609,0,3.48630092351678e-05,0,-0.0182380943334829,8,41,200
42.3617595874822,0.0820748390684495,0.105927216387015,158.009638148767,0,3.67900449249393e-05,0,-0.0173779928763302,8,42,200
42.3413308887118,0.0878391409424567,0.114021995331086,158.010306859388,0,3.87765770995438e-05,0,-0.0164456070559525,8,43,200
42.3207205020999,0.0939359871136856,0.122115887161999,158.010977940372,0,4.0823299737999e-05,0,-0.0154403703031057,8,44,200
42.2999282476271,0.100340654544457,0.130208846210907,158.011651446614,0,4.29309194332346e-05,0,-0.0143617174402838,8,45,200
42.2789539509795,0.107024217763045,0.138300830906679,158.012327428143,0,4.51001555444895e-05,0,-0.0132090847224273,8,46,200
42.2577974435328,0.113953455471508,0.146391804414491,158.013005915511,0,4.73317403503827e-05,0,-0.0119819098775253,8,47,200
42.2364585623368,0.121090761527091,0.154481735289471,158.0136869344,0,4.96264192026324e-05,0,-0.0106796321471097,8,48,200
42.2149371500988,0.128394060722122,0.162570598144165,158.014370510493,0,5.19849506803999e-05,0,-0.00930169232663802,8,49,200
42.193233055168,0.135816729799604,0.170658374328415,158.015056669473,0,5.44081067452356e-05,0,-0.00784753280576375,8,50,200
42.1713461315197,0.143307524153484,0.178745052620173,158.015745437023,0,5.68966728966094e-05,0,-0.00631659760849043,8,51,200
42.1492762387388,0.150810510673908,0.186830629925723,158.016436838825,0,5.94514483280066e-05,0,-0.0047083324332082,8,52,200
42.1270232420044,0.158265007208612,0.194915111987779,158.017130894558,0,6.2073246083576e-05,0,-0.00302218469261012,8,53,200
42.1045870120732,0.165605529121811,0.202998514100085,158.01782759988,0,6.476289321532e-05,0,-0.00125760355348567,8,54,200
42.0819674252645,0.172761743441482,0.211080861827257,158.018526944443,0,6.75212309408175e-05,0,0.000585960023610665,8,55,200
42.059164363443,0.179745059373022,0.219162179120678,158.019228917903,0,7.03491148014788e-05,0,0.00250905324481812,8,56,200
42.036177714004,0.186718902694553,0.227242466178214,158.019933509911,0,7.32474148213321e-05,0,0.00451222144355801,8,57,200
42.0130073698566,0.193683667229258,0.235321723152708,158.020640710122,0,7.62170156663479e-05,0,0.00659600804125413,8,58,200
41.9896532294082,0.200639756757121,0.243399950150163,158.021350508189,0,7.92588168043138e-05,0,0.00876095450818754,8,59,200
41.9661151965484,0.207587585075829,0.251477147227907,158.022062884611,0,8.23737326652764e-05,0,0.0110076003244878,8,60,200
41.9423931806329,0.214527576059198,0.259553314392775,158.022777783267,0,8.55626928025748e-05,0,0.0133364829412634,8,61,200
41.9184870964678,0.22146016371303,0.267628451599283,158.023495138884,0,8.88266420544963e-05,0,0.015748137741873,8,62,200
41.8943968642934,0.228385792228306,0.275702558747817,158.024214886187,0,9.21665407065932e-05,0,0.0182430980033408,8,63,200
41.8701224097684,0.235304916031626,0.283775635682813,158.0249369599,0,9.55833646547075e-05,0,0.020821894857917,8,64,200
