A, S, R, P, C,
0.00064   , 27.47275  , 6.68812   , 213.825   , 0.0       , 
0.00055   , 27.44531  , 6.71562   , 213.825   , 0.0       , 
0.00047   , 27.41788  , 6.74308   , 213.825   , 0.0       , 
0.0004    , 27.39049  , 6.77051   , 213.825   , 0.0       , 
0.00034   , 27.36311  , 6.79791   , 213.825   , 0.0       , 
0.00029   , 27.33576  , 6.82527   , 213.825   , 0.0       , 
0.00024   , 27.30844  , 6.8526    , 213.825   , 0.0       , 
0.00021   , 27.28114  , 6.87991   , 213.825   , 0.0       , 
0.00018   , 27.25387  , 6.90718   , 213.825   , 0.0       , 
0.00015   , 27.22662  , 6.93442   , 213.825   , 0.0       , 
0.00013   , 27.1994   , 6.96163   , 213.825   , 0.0       , 
0.00011   , 27.17221  , 6.98881   , 213.825   , 0.0       , 
9e-05     , 27.14504  , 7.01597   , 213.825   , 0.0       , 
8e-05     , 27.1179   , 7.04309   , 213.825   , 0.0       , 
7e-05     , 27.09079  , 7.07019   , 213.825   , 0.0       , 
6e-05     , 27.0637   , 7.09726   , 213.825   , 0.0       , 
5e-05     , 27.03664  , 7.1243    , 213.825   , 0.0       , 
4e-05     , 27.0096   , 7.15132   , 213.825   , 0.0       , 
3e-05     , 26.98259  , 7.1783    , 213.825   , 0.0       , 
3e-05     , 26.95561  , 7.20526   , 213.825   , 0.0       , 
2e-05     , 26.92866  , 7.23219   , 213.825   , 0.0       , 
2e-05     , 26.90173  , 7.25909   , 213.825   , 0.0       , 
2e-05     , 26.87483  , 7.28597   , 213.825   , 0.0       , 
2e-05     , 26.84796  , 7.31282   , 213.825   , 0.0       , 
1e-05     , 26.82111  , 7.33964   , 213.825   , 0.0       , 
1e-05     , 26.79429  , 7.36644   , 213.825   , 0.0       , 
1e-05     , 26.76749  , 7.39321   , 213.825   , 0.0       , 
1e-05     , 26.74073  , 7.41995   , 213.825   , 0.0       , 
1e-05     , 26.71399  , 7.44666   , 213.825   , 0.0       , 
1e-05     , 26.68727  , 7.47335   , 213.825   , 0.0       , 
0.0       , 26.66059  , 7.50001   , 213.825   , 0.0       , 
0.0       , 26.63393  , 7.52665   , 213.825   , 0.0       , 
0.0       , 26.60729  , 7.55325   , 213.825   , 0.0       , 
0.0       , 26.58068  , 7.57984   , 213.825   , 0.0       , 
0.0       , 26.5541   , 7.60639   , 213.825   , 0.0       , 
0.0       , 26.52755  , 7.63292   , 213.825   , 0.0       , 
0.0       , 26.50102  , 7.65942   , 213.825   , 0.0       , 
0.0       , 26.47452  , 7.68589   , 213.825   , 0.0       , 
0.0       , 26.44805  , 7.71234   , 213.825   , 0.0       , 
0.0       , 26.4216   , 7.73876   , 213.825   , 0.0       , 
0.0       , 26.39518  , 7.76516   , 213.825   , 0.0       , 
0.0       , 26.36878  , 7.79153   , 213.825   , 0.0       , 
0.0       , 26.34241  , 7.81787   , 213.825   , 0.0       , 
0.0       , 26.31607  , 7.84419   , 213.825   , 0.0       , 
0.0       , 26.28976  , 7.87048   , 213.825   , 0.0       , 
0.0       , 26.26347  , 7.89674   , 213.825   , 0.0       , 
0.0       , 26.2372   , 7.92298   , 213.825   , 0.0       , 
0.0       , 26.21096  , 7.94919   , 213.825   , 0.0       , 
0.0       , 26.18475  , 7.97537   , 213.825   , 0.0       , 
0.0       , 26.15857  , 8.00153   , 213.825   , 0.0       , 
0.0       , 26.13241  , 8.02766   , 213.825   , 0.0       , 
0.0       , 26.10628  , 8.05377   , 213.825   , 0.0       , 
0.0       , 26.08017  , 8.07985   , 213.825   , 0.0       , 
0.0       , 26.05409  , 8.1059    , 213.825   , 0.0       , 
0.0       , 26.02804  , 8.13193   , 213.825   , 0.0       , 
0.0       , 26.00201  , 8.15793   , 213.825   , 0.0       , 
0.0       , 25.97601  , 8.18391   , 213.825   , 0.0       , 
0.0       , 25.95003  , 8.20986   , 213.825   , 0.0       , 
0.0       , 25.92408  , 8.23578   , 213.825   , 0.0       , 
0.0       , 25.89816  , 8.26168   , 213.825   , 0.0       , 
0.0       , 25.87226  , 8.28755   , 213.825   , 0.0       , 
0.0       , 25.84639  , 8.3134    , 213.825   , 0.0       , 
0.0       , 25.82054  , 8.33922   , 213.825   , 0.0       , 
0.0       , 25.79472  , 8.36502   , 213.825   , 0.0       , 
0.0       , 25.76893  , 8.39079   , 213.825   , 0.0       , 
0.0       , 25.74316  , 8.41653   , 213.825   , 0.0       , 
0.0       , 25.71741  , 8.44225   , 213.825   , 0.0       , 
0.0       , 25.6917   , 8.46794   , 213.825   , 0.0       , 
0.0       , 25.666    , 8.4936    , 213.825   , 0.0       , 
0.0       , 25.64034  , 8.51924   , 213.825   , 0.0       , 
0.0       , 25.6147   , 8.54486   , 213.825   , 0.0       , 
0.0       , 25.58908  , 8.57045   , 213.825   , 0.0       , 
0.0       , 25.56349  , 8.59601   , 213.825   , 0.0       , 
0.0       , 25.53793  , 8.62155   , 213.825   , 0.0       , 
0.0       , 25.51239  , 8.64706   , 213.825   , 0.0       , 
0.0       , 25.48688  , 8.67255   , 213.825   , 0.0       , 
0.0       , 25.46139  , 8.69801   , 213.825   , 0.0       , 
0.0       , 25.43593  , 8.72345   , 213.825   , 0.0       , 
0.0       , 25.4105   , 8.74886   , 213.825   , 0.0       , 
0.0       , 25.38509  , 8.77424   , 213.825   , 0.0       , 
0.0       , 25.3597   , 8.7996    , 213.825   , 0.0       , 
0.0       , 25.33434  , 8.82494   , 213.825   , 0.0       , 
0.0       , 25.30901  , 8.85024   , 213.825   , 0.0       , 
0.0       , 25.2837   , 8.87553   , 213.825   , 0.0       , 
0.0       , 25.25841  , 8.90079   , 213.825   , 0.0       , 
0.0       , 25.23316  , 8.92602   , 213.825   , 0.0       , 
0.0       , 25.20792  , 8.95123   , 213.825   , 0.0       , 
0.0       , 25.18271  , 8.97641   , 213.825   , 0.0       , 
0.0       , 25.15753  , 9.00157   , 213.825   , 0.0       , 
0.0       , 25.13237  , 9.0267    , 213.825   , 0.0       , 
0.0       , 25.10724  , 9.05181   , 213.825   , 0.0       , 
0.0       , 25.08213  , 9.07689   , 213.825   , 0.0       , 
0.0       , 25.05705  , 9.10195   , 213.825   , 0.0       , 
0.0       , 25.032    , 9.12698   , 213.825   , 0.0       , 
0.0       , 25.00696  , 9.15199   , 213.825   , 0.0       , 
0.0       , 24.98196  , 9.17697   , 213.825   , 0.0       , 
0.0       , 24.95697  , 9.20192   , 213.825   , 0.0       , 
0.0       , 24.93202  , 9.22686   , 213.825   , 0.0       , 
0.0       , 24.90709  , 9.25176   , 213.825   , 0.0       , 
0.0       , 24.88218  , 9.27665   , 213.825   , 0.0       , 
0.0       , 24.8573   , 9.3015    , 213.825   , 0.0       , 
0.0       , 24.83244  , 9.32634   , 213.825   , 0.0       , 
0.0       , 24.80761  , 9.35114   , 213.825   , 0.0       , 
0.0       , 24.7828   , 9.37593   , 213.825   , 0.0       , 
0.0       , 24.75802  , 9.40068   , 213.825   , 0.0       , 
0.0       , 24.73326  , 9.42542   , 213.825   , 0.0       , 
0.0       , 24.70852  , 9.45013   , 213.825   , 0.0       , 
0.0       , 24.68382  , 9.47481   , 213.825   , 0.0       , 
0.0       , 24.65913  , 9.49947   , 213.825   , 0.0       , 
0.0       , 24.63447  , 9.5241    , 213.825   , 0.0       , 
0.0       , 24.60984  , 9.54871   , 213.825   , 0.0       , 
0.0       , 24.58523  , 9.5733    , 213.825   , 0.0       , 
0.0       , 24.56064  , 9.59786   , 213.825   , 0.0       , 
0.0       , 24.53608  , 9.62239   , 213.825   , 0.0       , 
0.0       , 24.51155  , 9.64691   , 213.825   , 0.0       , 
0.0       , 24.48704  , 9.67139   , 213.825   , 0.0       , 
0.0       , 24.46255  , 9.69586   , 213.825   , 0.0       , 
0.0       , 24.43809  , 9.72029   , 213.825   , 0.0       , 
0.0       , 24.41365  , 9.74471   , 213.825   , 0.0       , 
0.0       , 24.38923  , 9.7691    , 213.825   , 0.0       , 
0.0       , 24.36484  , 9.79346   , 213.825   , 0.0       , 
0.0       , 24.34048  , 9.8178    , 213.825   , 0.0       , 
0.0       , 24.31614  , 9.84212   , 213.825   , 0.0       , 
0.0       , 24.29182  , 9.86641   , 213.825   , 0.0       , 
0.0       , 24.26753  , 9.89068   , 213.825   , 0.0       , 
0.0       , 24.24326  , 9.91492   , 213.825   , 0.0       , 
0.0       , 24.21902  , 9.93914   , 213.825   , 0.0       , 
0.0       , 24.1948   , 9.96333   , 213.825   , 0.0       , 
0.0       , 24.17061  , 9.98751   , 213.825   , 0.0       , 
0.0       , 24.14644  , 10.01165  , 212.10351 , 1.72087   , 
0.0       , 24.05152  , 10.10639  , 210.36709 , 3.45663   , 
0.0       , 23.9563   , 10.20143  , 208.61576 , 5.20728   , 
0.0       , 23.8608   , 10.29675  , 206.84952 , 6.97281   , 
0.0       , 23.76501  , 10.39236  , 205.06839 , 8.75321   , 
0.0       , 23.66894  , 10.48824  , 203.27236 , 10.54846  , 
0.0       , 23.5726   , 10.5844   , 201.46146 , 12.35856  , 
0.0       , 23.47598  , 10.68083  , 199.63571 , 14.18347  , 
