A, S, R, P, C,
3.6035    , 29.15317  , 1.8185    , 208.58225 , 5.24271   , 
3.42333   , 29.27806  , 1.86489   , 208.24954 , 5.57541   , 
3.25216   , 29.39386  , 1.91182   , 207.90854 , 5.9164    , 
3.08955   , 29.501    , 1.95928   , 207.55916 , 6.26578   , 
2.93507   , 29.59988  , 2.00726   , 207.20132 , 6.62362   , 
2.78832   , 29.69089  , 2.05575   , 206.83492 , 6.99001   , 
2.6489    , 29.77442  , 2.10475   , 206.45988 , 7.36504   , 
2.51646   , 29.85081  , 2.15427   , 206.07612 , 7.7488    , 
2.39064   , 29.9204   , 2.20428   , 205.68354 , 8.14136   , 
2.2711    , 29.98351  , 2.2548    , 205.28208 , 8.54282   , 
2.15755   , 30.04043  , 2.30581   , 204.87165 , 8.95324   , 
2.04967   , 30.09146  , 2.35732   , 204.45215 , 9.37272   , 
1.94719   , 30.13686  , 2.40932   , 204.02353 , 9.80134   , 
1.84983   , 30.17691  , 2.46181   , 203.58569 , 10.23917  , 
1.75734   , 30.21184  , 2.51478   , 203.13855 , 10.6863   , 
1.66947   , 30.24188  , 2.56824   , 202.68203 , 11.1428   , 
1.586     , 30.26727  , 2.62218   , 202.21607 , 11.60875  , 
1.5067    , 30.28821  , 2.67661   , 201.74057 , 12.08423  , 
1.43136   , 30.30489  , 2.7315    , 201.25547 , 12.56932  , 
1.35979   , 30.31752  , 2.78688   , 200.76069 , 13.06409  , 
1.2918    , 30.32627  , 2.84273   , 200.25614 , 13.56861  , 
1.22721   , 30.33132  , 2.89905   , 199.74176 , 14.08298  , 
1.16585   , 30.33282  , 2.95585   , 199.21746 , 14.60725  , 
1.10756   , 30.33093  , 3.01311   , 198.68318 , 15.14151  , 
1.05218   , 30.3258   , 3.07084   , 198.13884 , 15.68583  , 
0.99957   , 30.31756  , 3.12905   , 197.58437 , 16.24027  , 
0.9496    , 30.30636  , 3.18771   , 197.01969 , 16.80493  , 
0.90212   , 30.29232  , 3.24685   , 196.44474 , 17.37986  , 
0.85701   , 30.27555  , 3.30645   , 195.85943 , 17.96514  , 
0.81416   , 30.25618  , 3.36651   , 195.2637  , 18.56084  , 
0.77345   , 30.2343   , 3.42704   , 194.65747 , 19.16703  , 
0.73478   , 30.21002  , 3.48803   , 194.04068 , 19.78379  , 
0.69804   , 30.18344  , 3.54948   , 193.41325 , 20.41118  , 
0.66314   , 30.15466  , 3.61139   , 192.77511 , 21.04928  , 
0.62998   , 30.12375  , 3.67376   , 192.1262  , 21.69815  , 
0.59848   , 30.09081  , 3.73659   , 191.46645 , 22.35786  , 
0.56856   , 30.0559   , 3.79988   , 190.79578 , 23.02848  , 
0.54013   , 30.01912  , 3.86363   , 190.11413 , 23.71008  , 
0.51312   , 29.98053  , 3.92784   , 189.42143 , 24.40273  , 
0.48747   , 29.94019  , 3.9925    , 188.71761 , 25.10649  , 
0.46309   , 29.89818  , 4.05762   , 188.00262 , 25.82143  , 
0.43994   , 29.85455  , 4.12319   , 187.27637 , 26.54762  , 
0.41794   , 29.80936  , 4.18923   , 186.53881 , 27.28512  , 
0.39705   , 29.76268  , 4.25571   , 185.78987 , 28.03399  , 
0.37719   , 29.71454  , 4.32265   , 185.02948 , 28.79431  , 
0.35833   , 29.66501  , 4.39005   , 184.25759 , 29.56613  , 
0.34042   , 29.61412  , 4.45789   , 183.47412 , 30.34951  , 
0.3234    , 29.56193  , 4.52619   , 182.67902 , 31.14453  , 
0.30723   , 29.50848  , 4.59494   , 181.87222 , 31.95124  , 
0.29186   , 29.4538   , 4.66415   , 181.05367 , 32.7697   , 
0.27727   , 29.39795  , 4.7338    , 180.2233  , 33.59998  , 
0.26341   , 29.34095  , 4.8039    , 179.38104 , 34.44212  , 
0.25024   , 29.28284  , 4.87445   , 178.52685 , 35.29621  , 
0.23773   , 29.22365  , 4.94545   , 177.66067 , 36.16228  , 
0.22584   , 29.16343  , 5.0169    , 176.78243 , 37.0404   , 
0.21455   , 29.10218  , 5.08879   , 175.89207 , 37.93063  , 
0.20382   , 29.03996  , 5.16113   , 174.98955 , 38.83302  , 
0.19363   , 28.97678  , 5.23392   , 174.07481 , 39.74762  , 
0.18395   , 28.91267  , 5.30715   , 173.14778 , 40.6745   , 
0.17475   , 28.84765  , 5.38082   , 172.20843 , 41.6137   , 
0.16601   , 28.78175  , 5.45494   , 171.25668 , 42.56528  , 
0.15771   , 28.715    , 5.52949   , 170.29251 , 43.52929  , 
0.14983   , 28.64741  , 5.60449   , 169.31584 , 44.50577  , 
0.14234   , 28.579    , 5.67992   , 168.32664 , 45.49479  , 
0.13522   , 28.5098   , 5.7558    , 167.32485 , 46.49638  , 
0.12846   , 28.43983  , 5.83211   , 166.31043 , 47.51059  , 
0.12203   , 28.36909  , 5.90885   , 165.28333 , 48.53747  , 
0.11593   , 28.29762  , 5.98603   , 164.2435  , 49.57707  , 
0.11014   , 28.22542  , 6.06364   , 163.19091 , 50.62942  , 
0.10463   , 28.15251  , 6.14169   , 162.1255  , 51.69458  , 
0.0994    , 28.07891  , 6.22016   , 161.04724 , 52.77257  , 
0.09443   , 28.00463  , 6.29906   , 159.95609 , 53.86344  , 
0.08971   , 27.92969  , 6.37839   , 158.852   , 54.96723  , 
0.08522   , 27.85409  , 6.45814   , 157.73495 , 56.08397  , 
0.08096   , 27.77786  , 6.53832   , 156.6049  , 57.2137   , 
0.07691   , 27.701    , 6.61892   , 155.46181 , 58.35645  , 
0.07307   , 27.62353  , 6.69994   , 154.30564 , 59.51226  , 
0.06941   , 27.54546  , 6.78137   , 153.13638 , 60.68114  , 
0.06594   , 27.46679  , 6.86323   , 151.95399 , 61.86314  , 
0.06265   , 27.38755  , 6.94549   , 150.75845 , 63.05827  , 
0.05951   , 27.30773  , 7.02817   , 149.54973 , 64.26655  , 
0.05654   , 27.22735  , 7.11126   , 148.32781 , 65.48802  , 
0.05371   , 27.14643  , 7.19476   , 147.09266 , 66.72268  , 
0.05103   , 27.06496  , 7.27866   , 145.84428 , 67.97057  , 
0.04847   , 26.98296  , 7.36297   , 144.58264 , 69.23168  , 
0.04605   , 26.90043  , 7.44768   , 143.30773 , 70.50603  , 
0.04375   , 26.81739  , 7.53278   , 142.01954 , 71.79364  , 
0.04156   , 26.73384  , 7.61828   , 140.71806 , 73.0945   , 
0.03948   , 26.64979  , 7.70418   , 139.40329 , 74.40863  , 
0.03751   , 26.56525  , 7.79047   , 138.07523 , 75.73602  , 
0.03563   , 26.48023  , 7.87714   , 136.73386 , 77.07667  , 
0.03385   , 26.39473  , 7.9642    , 135.37921 , 78.43058  , 
0.03216   , 26.30876  , 8.05165   , 134.01127 , 79.79773  , 
0.03055   , 26.22233  , 8.13947   , 132.63006 , 81.17812  , 
0.02902   , 26.13545  , 8.22767   , 131.23558 , 82.57173  , 
0.02757   , 26.04812  , 8.31625   , 129.82786 , 83.97855  , 
0.02619   , 25.96034  , 8.40519   , 128.40692 , 85.39853  , 
0.02488   , 25.87213  , 8.49451   , 126.97278 , 86.83167  , 
0.02364   , 25.78349  , 8.58419   , 125.52548 , 88.27792  , 
0.02246   , 25.69443  , 8.67423   , 124.06504 , 89.73724  , 
0.02133   , 25.60495  , 8.76462   , 122.5915  , 91.20961  , 
0.02027   , 25.51506  , 8.85537   , 121.10492 , 92.69497  , 
0.01925   , 25.42477  , 8.94648   , 119.60533 , 94.19326  , 
0.01829   , 25.33409  , 9.03793   , 118.0928  , 95.70443  , 
0.01738   , 25.24301  , 9.12972   , 116.56738 , 97.22842  , 
0.01651   , 25.15154  , 9.22186   , 115.02914 , 98.76516  , 
0.01568   , 25.0597   , 9.31433   , 113.47815 , 100.31456 , 
0.0149    , 24.96748  , 9.40713   , 111.91449 , 101.87655 , 
0.01415   , 24.87489  , 9.50026   , 110.33825 , 103.45103 , 
0.01345   , 24.78194  , 9.59372   , 108.74951 , 105.03791 , 
0.01277   , 24.68863  , 9.6875    , 107.14839 , 106.63708 , 
0.01214   , 24.59498  , 9.7816    , 105.53499 , 108.24842 , 
0.01153   , 24.50098  , 9.876     , 103.90943 , 109.8718  , 
0.01095   , 24.40663  , 9.97072   , 102.27184 , 111.5071  , 
0.0104    , 24.31196  , 10.06574  , 100.62235 , 113.15417 , 
0.00988   , 24.21696  , 10.16106  , 98.96112  , 114.81285 , 
0.00939   , 24.12163  , 10.25668  , 97.28829  , 116.48298 , 
0.00892   , 24.02599  , 10.35258  , 95.60405  , 118.16438 , 
0.00847   , 23.93004  , 10.44878  , 93.90857  , 119.85684 , 
0.00805   , 23.83378  , 10.54525  , 92.20206  , 121.56018 , 
0.00765   , 23.73722  , 10.642    , 90.48471  , 123.27415 , 
0.00727   , 23.64037  , 10.73903  , 88.75677  , 124.99854 , 
0.0069    , 23.54323  , 10.83632  , 87.01846  , 126.73308 , 
0.00656   , 23.44581  , 10.93388  , 85.27005  , 128.47749 , 
0.00623   , 23.34811  , 11.03169  , 83.51181  , 130.2315  , 
0.00592   , 23.25014  , 11.12976  , 81.74405  , 131.99478 , 
0.00562   , 23.1519   , 11.22808  , 79.96707  , 133.767   , 
0.00534   , 23.0534   , 11.32664  , 78.18123  , 135.5478  , 
0.00507   , 22.95465  , 11.42543  , 76.38688  , 137.33679 , 
0.00482   , 22.85565  , 11.52447  , 74.58441  , 139.13356 , 
0.00458   , 22.75641  , 11.62372  , 72.77425  , 140.93768 , 
0.00435   , 22.65694  , 11.7232   , 70.95684  , 142.74865 , 
0.00413   , 22.55723  , 11.8229   , 69.13266  , 144.56598 , 
0.00393   , 22.4573   , 11.92281  , 67.30223  , 146.38911 , 
0.00373   , 22.35715  , 12.02293  , 65.46611  , 148.21746 , 
0.00354   , 22.25678  , 12.12325  , 63.62489  , 150.05039 , 
0.00337   , 22.15621  , 12.22376  , 61.77921  , 151.88723 , 
0.0032    , 22.05544  , 12.32447  , 59.92976  , 153.72724 , 
0.00304   , 21.95447  , 12.42535  , 58.07727  , 155.56963 , 
0.00289   , 21.85331  , 12.52642  , 56.22255  , 157.41356 , 
0.00274   , 21.75197  , 12.62766  , 54.36646  , 159.25811 , 
0.0026    , 21.65046  , 12.72907  , 52.50991  , 161.10229 , 
0.00247   , 21.54877  , 12.83064  , 50.6539   , 162.94503 , 
0.00235   , 21.44692  , 12.93237  , 48.79952  , 164.7852  , 
0.00223   , 21.3449   , 13.03424  , 46.94791  , 166.62153 , 
0.00212   , 21.24274  , 13.13626  , 45.10034  , 168.4527  , 
0.00202   , 21.14043  , 13.23842  , 43.25817  , 170.27725 , 
0.00191   , 21.03798  , 13.34072  , 41.42285  , 172.0936  , 
0.00182   , 20.93539  , 13.44313  , 39.59597  , 173.90006 , 
0.00173   , 20.83268  , 13.54567  , 37.77924  , 175.69478 , 
0.00164   , 20.72984  , 13.64833  , 35.97452  , 177.47579 , 
0.00156   , 20.62689  , 13.75109  , 34.18382  , 179.24092 , 
0.00148   , 20.52383  , 13.85396  , 32.40929  , 180.98787 , 
0.00141   , 20.42067  , 13.95692  , 30.65326  , 182.71413 , 
0.00134   , 20.31741  , 14.05997  , 28.91827  , 184.41699 , 
0.00127   , 20.21406  , 14.16311  , 27.20702  , 186.09357 , 
0.00121   , 20.11063  , 14.26632  , 25.52242  , 187.74077 , 
0.00115   , 20.00712  , 14.36961  , 23.86759  , 189.35528 , 
0.00109   , 19.90353  , 14.47296  , 22.24586  , 190.93358 , 
0.00103   , 19.79988  , 14.57637  , 20.66074  , 192.47198 , 
0.00098   , 19.69618  , 14.67984  , 19.11596  , 193.96659 , 
0.00093   , 19.59242  , 14.78335  , 17.61541  , 195.41339 , 
0.00089   , 19.48861  , 14.8869   , 16.16311  , 196.80828 , 
0.00084   , 19.38477  , 14.99049  , 14.76319  , 198.14712 , 
0.0008    , 19.28089  , 15.09411  , 13.41978  , 199.42582 , 
0.00076   , 19.17698  , 15.19775  , 12.13696  , 200.64046 , 
0.00072   , 19.07306  , 15.3014   , 10.91865  , 201.78739 , 
0.00069   , 18.96912  , 15.40507  , 9.7685    , 202.86341 , 
0.00065   , 18.86517  , 15.50873  , 8.68968   , 203.86587 , 
0.00062   , 18.76122  , 15.6124   , 7.68483   , 204.79285 , 
0.00059   , 18.65727  , 15.71605  , 6.75582   , 205.64331 , 
0.00056   , 18.55334  , 15.81969  , 5.90368   , 206.41718 , 
0.00053   , 18.44943  , 15.92331  , 5.12844   , 207.11542 , 
0.0005    , 18.34553  , 16.0269   , 4.42911   , 207.74004 , 
0.00048   , 18.24167  , 16.13046  , 3.80361   , 208.29405 , 
0.00046   , 18.13785  , 16.23397  , 3.24893   , 208.78134 , 
0.00043   , 18.03406  , 16.33744  , 2.76113   , 209.20649 , 
0.00041   , 17.93033  , 16.44085  , 2.33559   , 209.5746  , 
0.00039   , 17.82665  , 16.54421  , 1.96719   , 209.89106 , 
0.00037   , 17.72304  , 16.6475   , 1.65052   , 210.16136 , 
0.00035   , 17.61949  , 16.75072  , 1.38007   , 210.39086 , 
0.00033   , 17.51602  , 16.85386  , 1.15046   , 210.58471 , 
0.00032   , 17.41262  , 16.95691  , 0.95653   , 210.7477  , 
0.0003    , 17.30932  , 17.05988  , 0.7935    , 210.88418 , 
0.00029   , 17.2061   , 17.16275  , 0.65698   , 210.99807 , 
0.00027   , 17.10299  , 17.26551  , 0.54306   , 211.09284 , 
0.00026   , 16.99998  , 17.36817  , 0.44827   , 211.1715  , 
0.00025   , 16.89708  , 17.47072  , 0.3696    , 211.23665 , 
0.00023   , 16.7943   , 17.57314  , 0.30444   , 211.29052 , 
0.00022   , 16.69164  , 17.67544  , 0.25057   , 211.33499 , 
0.00021   , 16.58912  , 17.7776   , 0.2061    , 211.37167 , 
0.0002    , 16.48672  , 17.87963  , 0.16942   , 211.40187 , 
0.00019   , 16.38447  , 17.98151  , 0.13921   , 211.42674 , 
0.00018   , 16.28237  , 18.08324  , 0.11434   , 211.44719 , 
0.00017   , 16.18041  , 18.18482  , 0.09389   , 211.46401 , 
0.00016   , 16.07862  , 18.28623  , 0.07708   , 211.47782 , 
0.00016   , 15.97699  , 18.38748  , 0.06326   , 211.48917 , 
0.00015   , 15.87553  , 18.48855  , 0.05191   , 211.49849 , 
0.00014   , 15.77425  , 18.58944  , 0.04259   , 211.50614 , 
0.00013   , 15.67315  , 18.69015  , 0.03494   , 211.51242 , 
0.00013   , 15.57224  , 18.79067  , 0.02867   , 211.51757 , 
0.00012   , 15.47152  , 18.89099  , 0.02351   , 211.5218  , 
0.00011   , 15.371    , 18.99111  , 0.01929   , 211.52526 , 
0.00011   , 15.27068  , 19.09103  , 0.01582   , 211.52811 , 
0.0001    , 15.17057  , 19.19073  , 0.01297   , 211.53044 , 
0.0001    , 15.07068  , 19.29022  , 0.01064   , 211.53236 , 
9e-05     , 14.97101  , 19.38948  , 0.00873   , 211.53393 , 
