S Underlying,S Approximation,P1 Underlying,P1 Approximation,P2 Underlying,P2 Approximation,A1 Underlying,A1 Approximation,A2 Underlying,A2 Approximation,R1 Underlying,R1 Approximation,R2 Underlying,R2 Approximation
42.63097028249733,42.8387883812758,0.0006425088798680959,2.29720719299923e-08,3.481644084232465e-13,0,0.054167052734638836,0,0.0627000216623144,0,-0.014826025684360599,0,-0.012750805624770243,0
42.410123785176594,42.585215546937,0.0011355740374881663,1.79813147646007e-09,7.37050609781228e-13,0,0.10719100844352598,0,0.12688195412065417,0,-0.02368997601431038,0,-0.017370886603855634,0
42.1762187994474,42.3533947646835,0.0014208061075361806,0,1.5556141905891743e-12,0,0.15970660285871557,0,0.19261569363548553,0.0314720663708823,-0.02621416001097663,0,-0.01348370089614009,0
41.92916850483799,42.0954176490855,0.0015857465608747152,0,3.2727773323153747e-12,1.92905044899803e-05,0.2124428295120571,0.0342817385068867,0.259964523620018,0.119590308978149,-0.022022487542287306,0,-0.0007122894084784833,0
41.66881858966873,41.8323927951845,0.0016880213947112757,0,6.862115619259575e-12,0.000108909518142269,0.26622391403937373,0.106465561186201,0.3289835197819311,0.208388903652446,-0.010739993258865913,0,0.02132041475326788,0
41.394934669187435,41.5871502894545,0.0017558895623356829,0,1.433645883748329e-11,0.000197785208458481,0.321966636321585,0.173211282061135,0.39971788372409844,0.289783265359691,0.008007815853929531,0,0.05299130560237644,0
41.107190091892775,41.3088571393955,0.001803457998869975,0,2.9838776573195944e-11,0.000305344822196199,0.3806726527416225,0.248080436818716,0.4722012549781451,0.379958647334895,0.03459576352114874,0.0149606413630712,0.09467683017570538,0
40.805154930343164,41.0468512817728,0.0018382598506639285,0,6.185651095255014e-11,0.000412734438424726,0.4434140951867913,0.317517468457081,0.546454072640517,0.462221440702855,0.06939990334717881,0.0476773551495275,0.14675268298277905,0.0101773110060816
40.488287208528746,40.7478365821171,0.001864599622676232,0,1.2769134928142483e-10,0.000540910702240111,0.51131032150788,0.395314685264658,0.6224820851465285,0.55236223109277,0.11279842266993353,0.0927260097965602,0.20959341078136431,0.0621784161929125
40.15592772567548,40.436934249972,0.0018850857876944788,0,2.6242855182139437e-10,0.000677156191895557,0.585493373118254,0.474704965125244,0.7002751408540464,0.641025000970151,0.16517241342888322,0.148675784209584,0.28357184481042175,0.130478171015684
39.807300182264655,40.1436179648062,0.0019013789618341158,0,5.368226528321636e-10,0.000803764022842587,0.667059685752957,0.548801082221182,0.7798064320663642,0.719041881998821,0.22690631641599043,0.209852552672669,0.3690582484539528,0.208779712474383
39.44151865220395,39.8085916836627,0.0019145808333384117,0,1.0927256199266528e-09,0.000938430774111404,0.7570062865083421,0.633474168317115,0.8610324066613851,0.800744933666566,0.2983877804303754,0.288781075933414,0.4664190353371359,0.314445199469164
39.05760467535596,39.4915795307315,0.001925448045226318,0,2.2127650343019285e-09,0.00104691587771446,0.8561516410049683,0.714590429061491,0.9438935946416249,0.870899644884412,0.38000660756923055,0.370562086515373,0.5760148781560593,0.428955365189415
38.654516190823315,39.1271433905337,0.001934515722062501,0,4.45634539000264e-09,0.00113583364701095,0.9650450660895146,0.810117031009851,1.0283166034776026,0.944120759714559,0.47215238815763416,0.469689055573207,0.6981979965716664,0.574644888618953
38.23118993751815,38.7436719042368,0.0019421719029439365,0,8.922955599633101e-09,0.00117228772784634,1.0838744356612262,0.914205217385354,1.1142174889232406,1.01483764882586,0.5752103785081285,0.575347584895351,0.8333083912219034,0.738403924314632
37.78659752627233,38.3762221684635,0.0019487040730183454,0,1.7757548347803756e-08,0.00113762590885512,1.21238902382165,1.01756287867685,1.2015065754420053,1.07918422513246,0.6895551652477485,0.675328429198187,0.9816687925831398,0.89845200087435
37.31981295509276,37.9489636434326,0.001954329201586221,1.00647661214176e-07,3.5111603543011494e-08,0.000995329965047472,1.349860264643422,1.14151250950998,1.2900945606411265,1.15314190184523,0.815541722435047,0.789548200361543,1.1435781339626248,1.07962970528997
36.830086061003485,37.5379801767032,0.001959213688904926,2.39869726960851e-07,6.895280897729877e-08,0.000740980243663315,1.4951036511897957,1.26334081166537,1.3798994042917234,1.22589332436859,0.9534936341766468,0.898387136649037,1.3193034532944528,1.24330434158309
36.31691304436343,37.0598087142315,0.0019634869495164437,4.38734606887683e-07,1.3443711150790513e-07,0.000285141234036167,1.6465754209325636,1.40658303702276,1.4708531502261035,1.3141365688839,1.1036885441767683,1.02581948662118,1.5090702868579262,1.419012839697
35.780093165659295,36.5534920697837,0.0019672508747551553,6.90289564292996e-07,2.6012242633317124e-07,0,1.8025369669166764,1.55830715095331,1.5629076021157147,1.4121152058527,1.2663412879213318,1.16408287495476,1.7130518291002268,1.59029624751854
35.219761568903934,36.0687996978843,0.001970586562783338,9.67121491675185e-07,4.992846182170907e-07,0,1.9612539626710295,1.70225439210244,1.6560378364810293,1.5096028650701,1.4415855944220364,1.30145899887164,1.931357358826033,1.74452668839423
34.63639269675288,35.5100511403247,0.0019735591970028547,1.32423627886448e-06,9.502709030080824e-07,0,2.1211781872616178,1.86525692011323,1.7502429740617294,1.62484210415067,1.6294555971926712,1.46722711003712,2.1640206115485037,1.91697251184604
34.030776009686306,34.9271439181196,0.001976221643359859,1.73153587650655e-06,1.7926327850269969e-06,0,2.2810593648324717,2.03064495085936,1.8455443572441632,1.74602385931058,1.829868545961046,1.64881446938851,2.4109888465859335,2.0981204860862
